# seed=42 mode=bolter file=generated_pinknoise.flac filesize=404799
trial	mode	filesize	off	bit	span	detected
0	bolter	404799	92006	-	1	true
1	bolter	404799	387644	-	1	true
2	bolter	404799	226989	-	1	true
3	bolter	404799	287178	-	1	true
4	bolter	404799	247539	-	1	true
5	bolter	404799	96487	-	1	true
6	bolter	404799	301545	-	1	true
7	bolter	404799	313337	-	1	true
8	bolter	404799	242798	-	1	true
9	bolter	404799	320064	-	1	true
10	bolter	404799	20029	-	1	true
11	bolter	404799	155701	-	1	true
12	bolter	404799	119331	-	1	true
13	bolter	404799	7327	-	1	false
14	bolter	404799	252962	-	1	true
15	bolter	404799	298455	-	1	true
16	bolter	404799	301117	-	1	true
17	bolter	404799	363742	-	1	true
18	bolter	404799	374840	-	1	true
19	bolter	404799	74323	-	1	true
20	bolter	404799	242718	-	1	true
21	bolter	404799	230010	-	1	true
22	bolter	404799	126222	-	1	true
23	bolter	404799	334255	-	1	true
24	bolter	404799	202496	-	1	true
25	bolter	404799	12969	-	1	true
26	bolter	404799	72522	-	1	true
27	bolter	404799	54905	-	1	true
28	bolter	404799	73120	-	1	true
29	bolter	404799	392681	-	1	true
30	bolter	404799	64353	-	1	true
31	bolter	404799	16202	-	1	true
32	bolter	404799	301474	-	1	true
33	bolter	404799	372022	-	1	true
34	bolter	404799	304675	-	1	true
35	bolter	404799	18235	-	1	true
36	bolter	404799	218787	-	1	true
37	bolter	404799	277151	-	1	true
38	bolter	404799	351005	-	1	true
39	bolter	404799	268531	-	1	true
40	bolter	404799	238655	-	1	true
41	bolter	404799	112431	-	1	true
42	bolter	404799	155604	-	1	true
43	bolter	404799	132461	-	1	true
44	bolter	404799	137782	-	1	true
45	bolter	404799	92726	-	1	true
46	bolter	404799	316688	-	1	true
47	bolter	404799	292355	-	1	true
48	bolter	404799	271026	-	1	true
49	bolter	404799	228108	-	1	true
50	bolter	404799	403176	-	1	true
51	bolter	404799	63665	-	1	true
52	bolter	404799	358319	-	1	true
53	bolter	404799	387997	-	1	true
54	bolter	404799	378265	-	1	true
55	bolter	404799	297919	-	1	true
56	bolter	404799	360045	-	1	true
57	bolter	404799	220786	-	1	true
58	bolter	404799	232717	-	1	true
59	bolter	404799	138154	-	1	true
60	bolter	404799	344367	-	1	true
61	bolter	404799	237477	-	1	true
62	bolter	404799	311042	-	1	true
63	bolter	404799	159555	-	1	true
64	bolter	404799	38548	-	1	true
65	bolter	404799	274506	-	1	true
66	bolter	404799	362422	-	1	true
67	bolter	404799	178521	-	1	true
68	bolter	404799	77794	-	1	true
69	bolter	404799	361973	-	1	true
70	bolter	404799	40292	-	1	true
71	bolter	404799	21222	-	1	true
72	bolter	404799	328623	-	1	true
73	bolter	404799	116045	-	1	true
74	bolter	404799	285647	-	1	true
75	bolter	404799	131213	-	1	true
76	bolter	404799	396920	-	1	true
77	bolter	404799	15793	-	1	true
78	bolter	404799	20832	-	1	true
79	bolter	404799	212903	-	1	true
80	bolter	404799	376383	-	1	true
81	bolter	404799	58074	-	1	true
82	bolter	404799	182960	-	1	true
83	bolter	404799	396526	-	1	true
84	bolter	404799	226423	-	1	true
85	bolter	404799	3772	-	1	false
86	bolter	404799	50508	-	1	true
87	bolter	404799	22707	-	1	true
88	bolter	404799	404690	-	1	true
89	bolter	404799	137642	-	1	true
90	bolter	404799	65	-	1	false
91	bolter	404799	2022	-	1	false
92	bolter	404799	104877	-	1	true
93	bolter	404799	73082	-	1	true
94	bolter	404799	98928	-	1	true
95	bolter	404799	11822	-	1	true
96	bolter	404799	358232	-	1	true
97	bolter	404799	312612	-	1	true
98	bolter	404799	84401	-	1	true
99	bolter	404799	115677	-	1	true
