# seed=42 mode=sniper file=sample.flp filesize=122
trial	mode	filesize	off	bit	span	detected
0	sniper	122	102	1	1	false
1	sniper	122	57	3	1	false
2	sniper	122	47	2	1	false
3	sniper	122	42	7	1	false
4	sniper	122	50	5	1	false
5	sniper	122	23	1	1	false
6	sniper	122	72	6	1	false
7	sniper	122	97	3	1	false
8	sniper	122	72	4	1	false
9	sniper	122	89	4	1	false
10	sniper	122	104	7	1	false
11	sniper	122	30	3	1	false
12	sniper	122	7	1	1	true
13	sniper	122	54	3	1	false
14	sniper	122	120	0	1	false
15	sniper	122	20	3	1	false
16	sniper	122	84	6	1	false
17	sniper	122	29	0	1	false
18	sniper	122	40	7	1	false
19	sniper	122	68	6	1	false
20	sniper	122	80	3	1	false
21	sniper	122	115	4	1	false
22	sniper	122	52	2	1	false
23	sniper	122	108	0	1	false
24	sniper	122	105	5	1	false
25	sniper	122	96	0	1	false
26	sniper	122	120	5	1	false
27	sniper	122	78	4	1	false
28	sniper	122	1	4	1	true
29	sniper	122	3	7	1	true
30	sniper	122	76	1	1	false
31	sniper	122	89	3	1	false
32	sniper	122	74	0	1	false
33	sniper	122	47	0	1	false
34	sniper	122	92	4	1	false
35	sniper	122	45	7	1	false
36	sniper	122	98	6	1	false
37	sniper	122	112	5	1	false
38	sniper	122	119	6	1	false
39	sniper	122	74	0	1	false
40	sniper	122	119	7	1	false
41	sniper	122	42	7	1	false
42	sniper	122	95	6	1	false
43	sniper	122	83	0	1	false
44	sniper	122	10	0	1	false
45	sniper	122	34	6	1	false
46	sniper	122	17	3	1	true
47	sniper	122	11	5	1	false
48	sniper	122	97	2	1	false
49	sniper	122	49	2	1	false
50	sniper	122	101	2	1	false
51	sniper	122	9	3	1	false
52	sniper	122	60	7	1	false
53	sniper	122	106	2	1	false
54	sniper	122	90	6	1	false
55	sniper	122	107	7	1	false
56	sniper	122	53	6	1	false
57	sniper	122	71	6	1	false
58	sniper	122	91	1	1	false
59	sniper	122	31	2	1	false
60	sniper	122	119	4	1	false
61	sniper	122	62	2	1	false
62	sniper	122	36	5	1	false
63	sniper	122	28	7	1	false
64	sniper	122	62	0	1	false
65	sniper	122	22	0	1	false
66	sniper	122	81	3	1	false
67	sniper	122	88	7	1	false
68	sniper	122	52	1	1	false
69	sniper	122	11	3	1	false
70	sniper	122	111	2	1	false
71	sniper	122	9	6	1	false
72	sniper	122	29	2	1	false
73	sniper	122	65	4	1	false
74	sniper	122	37	2	1	false
75	sniper	122	5	2	1	true
76	sniper	122	102	0	1	false
77	sniper	122	89	4	1	false
78	sniper	122	1	2	1	true
79	sniper	122	54	4	1	false
80	sniper	122	51	2	1	false
81	sniper	122	89	3	1	false
82	sniper	122	111	0	1	false
83	sniper	122	43	2	1	false
84	sniper	122	34	2	1	false
85	sniper	122	53	3	1	false
86	sniper	122	115	6	1	false
87	sniper	122	50	6	1	false
88	sniper	122	62	0	1	false
89	sniper	122	24	5	1	false
90	sniper	122	100	6	1	false
91	sniper	122	33	4	1	false
92	sniper	122	71	2	1	false
93	sniper	122	63	3	1	false
94	sniper	122	53	4	1	false
95	sniper	122	73	7	1	false
96	sniper	122	91	6	1	false
97	sniper	122	83	2	1	false
98	sniper	122	77	0	1	false
99	sniper	122	60	7	1	false
