# seed=42 mode=sniper file=Bomberman Max 2 - Blue (E) (M3).gba filesize=8388608
trial	mode	filesize	off	bit	span	detected
0	sniper	8388608	7699414	1	1	false
1	sniper	8388608	3650203	3	1	false
2	sniper	8388608	3104429	2	1	false
3	sniper	8388608	4665644	7	1	false
4	sniper	8388608	7079944	5	1	false
5	sniper	8388608	663001	1	1	false
6	sniper	8388608	5918172	6	1	false
7	sniper	8388608	7796817	3	1	false
8	sniper	8388608	8186586	4	1	false
9	sniper	8388608	4700707	4	1	false
10	sniper	8388608	564296	7	1	false
11	sniper	8388608	6104784	3	1	false
12	sniper	8388608	7220099	1	1	false
13	sniper	8388608	1711018	3	1	false
14	sniper	8388608	1574676	0	1	false
15	sniper	8388608	7725296	3	1	false
16	sniper	8388608	4651190	6	1	false
17	sniper	8388608	1327861	0	1	false
18	sniper	8388608	8153242	7	1	false
19	sniper	8388608	6149846	6	1	false
20	sniper	8388608	5968290	3	1	false
21	sniper	8388608	4286447	4	1	false
22	sniper	8388608	7082734	2	1	false
23	sniper	8388608	6139194	0	1	false
24	sniper	8388608	2391705	5	1	false
25	sniper	8388608	2109590	0	1	false
26	sniper	8388608	40738	5	1	false
27	sniper	8388608	1690082	4	1	false
28	sniper	8388608	8172495	4	1	false
29	sniper	8388608	3167727	7	1	false
30	sniper	8388608	5830728	1	1	false
31	sniper	8388608	5007473	3	1	false
32	sniper	8388608	7782528	0	1	false
33	sniper	8388608	8247707	0	1	false
34	sniper	8388608	3081642	4	1	false
35	sniper	8388608	152095	7	1	false
36	sniper	8388608	6185364	6	1	false
37	sniper	8388608	3137620	5	1	false
38	sniper	8388608	1913595	6	1	false
39	sniper	8388608	6730688	0	1	false
40	sniper	8388608	6286843	7	1	false
41	sniper	8388608	2981950	7	1	false
42	sniper	8388608	7882449	6	1	false
43	sniper	8388608	2415197	0	1	false
44	sniper	8388608	6529842	0	1	false
45	sniper	8388608	4451934	6	1	false
46	sniper	8388608	631497	3	1	false
47	sniper	8388608	5233841	5	1	false
48	sniper	8388608	2557031	2	1	false
49	sniper	8388608	3107181	2	1	false
50	sniper	8388608	7831641	2	1	false
51	sniper	8388608	2188373	3	1	false
52	sniper	8388608	7507640	7	1	false
53	sniper	8388608	2492934	2	1	false
54	sniper	8388608	7863556	6	1	false
55	sniper	8388608	7686431	7	1	false
56	sniper	8388608	6999611	6	1	false
57	sniper	8388608	100653	6	1	false
58	sniper	8388608	1596663	1	1	false
59	sniper	8388608	2073267	2	1	false
60	sniper	8388608	1350953	4	1	false
61	sniper	8388608	4393838	2	1	false
62	sniper	8388608	4228212	5	1	false
63	sniper	8388608	2590222	7	1	false
64	sniper	8388608	7024538	0	1	false
65	sniper	8388608	5864772	0	1	false
66	sniper	8388608	1960817	3	1	false
67	sniper	8388608	4529330	7	1	false
68	sniper	8388608	28894	1	1	false
69	sniper	8388608	5639227	3	1	false
70	sniper	8388608	6258395	2	1	false
71	sniper	8388608	5557853	6	1	false
72	sniper	8388608	2909037	2	1	false
73	sniper	8388608	8334341	4	1	false
74	sniper	8388608	3419709	2	1	false
75	sniper	8388608	4073621	2	1	false
76	sniper	8388608	7282320	0	1	false
77	sniper	8388608	6286109	4	1	false
78	sniper	8388608	2823899	2	1	false
79	sniper	8388608	1490626	4	1	false
80	sniper	8388608	2586859	2	1	false
81	sniper	8388608	2712557	3	1	false
82	sniper	8388608	6572069	0	1	false
83	sniper	8388608	5583261	2	1	false
84	sniper	8388608	5424256	2	1	false
85	sniper	8388608	7393055	3	1	false
86	sniper	8388608	7660763	6	1	false
87	sniper	8388608	3785158	6	1	false
88	sniper	8388608	2697574	0	1	false
89	sniper	8388608	1992606	5	1	false
90	sniper	8388608	2948964	6	1	false
91	sniper	8388608	5114985	4	1	false
92	sniper	8388608	5654281	2	1	false
93	sniper	8388608	3442201	3	1	false
94	sniper	8388608	668857	4	1	false
95	sniper	8388608	3985425	7	1	false
96	sniper	8388608	7779617	6	1	false
97	sniper	8388608	6226229	2	1	false
98	sniper	8388608	3729667	0	1	false
99	sniper	8388608	8061018	7	1	false
