# seed=42 mode=bolter file=sample.gcode filesize=20845
trial	mode	filesize	off	bit	span	detected
0	bolter	20845	16441	-	1	true
1	bolter	20845	20374	-	1	true
2	bolter	20845	1740	-	1	true
3	bolter	20845	20025	-	1	true
4	bolter	20845	20657	-	1	true
5	bolter	20845	12066	-	1	true
6	bolter	20845	19805	-	1	true
7	bolter	20845	2411	-	1	true
8	bolter	20845	9674	-	1	true
9	bolter	20845	13483	-	1	true
10	bolter	20845	2220	-	1	true
11	bolter	20845	3200	-	1	true
12	bolter	20845	983	-	1	true
13	bolter	20845	8729	-	1	true
14	bolter	20845	11538	-	1	true
15	bolter	20845	8205	-	1	true
16	bolter	20845	6778	-	1	true
17	bolter	20845	1234	-	1	true
18	bolter	20845	3801	-	1	true
19	bolter	20845	14058	-	1	true
20	bolter	20845	20146	-	1	true
21	bolter	20845	4810	-	1	true
22	bolter	20845	3785	-	1	true
23	bolter	20845	16102	-	1	false
24	bolter	20845	6923	-	1	true
25	bolter	20845	14812	-	1	true
26	bolter	20845	6220	-	1	true
27	bolter	20845	19718	-	1	true
28	bolter	20845	7159	-	1	true
29	bolter	20845	17598	-	1	true
30	bolter	20845	17706	-	1	true
31	bolter	20845	7870	-	1	true
32	bolter	20845	7095	-	1	true
33	bolter	20845	15463	-	1	true
34	bolter	20845	10550	-	1	true
35	bolter	20845	8941	-	1	true
36	bolter	20845	4723	-	1	true
37	bolter	20845	13104	-	1	true
38	bolter	20845	3362	-	1	true
39	bolter	20845	8463	-	1	true
40	bolter	20845	5880	-	1	true
41	bolter	20845	9772	-	1	true
42	bolter	20845	15795	-	1	true
43	bolter	20845	9091	-	1	true
44	bolter	20845	4134	-	1	true
45	bolter	20845	11157	-	1	true
46	bolter	20845	14450	-	1	true
47	bolter	20845	10503	-	1	true
48	bolter	20845	6371	-	1	true
49	bolter	20845	4321	-	1	true
50	bolter	20845	3221	-	1	true
51	bolter	20845	12413	-	1	true
52	bolter	20845	18869	-	1	true
53	bolter	20845	11715	-	1	true
54	bolter	20845	12692	-	1	true
55	bolter	20845	15229	-	1	true
56	bolter	20845	2586	-	1	true
57	bolter	20845	13279	-	1	true
58	bolter	20845	7138	-	1	true
59	bolter	20845	13156	-	1	true
60	bolter	20845	12357	-	1	true
61	bolter	20845	20236	-	1	true
62	bolter	20845	6156	-	1	true
63	bolter	20845	1398	-	1	true
64	bolter	20845	4357	-	1	true
65	bolter	20845	8277	-	1	true
66	bolter	20845	15983	-	1	true
67	bolter	20845	19305	-	1	true
68	bolter	20845	8357	-	1	true
69	bolter	20845	4522	-	1	true
70	bolter	20845	15491	-	1	true
71	bolter	20845	6350	-	1	true
72	bolter	20845	10666	-	1	true
73	bolter	20845	13149	-	1	true
74	bolter	20845	5922	-	1	true
75	bolter	20845	15467	-	1	true
76	bolter	20845	10028	-	1	true
77	bolter	20845	14690	-	1	true
78	bolter	20845	8395	-	1	true
79	bolter	20845	11949	-	1	true
80	bolter	20845	14374	-	1	true
81	bolter	20845	8315	-	1	true
82	bolter	20845	9772	-	1	true
83	bolter	20845	16208	-	1	true
84	bolter	20845	1863	-	1	true
85	bolter	20845	16531	-	1	true
86	bolter	20845	10108	-	1	true
87	bolter	20845	1945	-	1	true
88	bolter	20845	1978	-	1	true
89	bolter	20845	16153	-	1	true
90	bolter	20845	2509	-	1	true
91	bolter	20845	10767	-	1	true
92	bolter	20845	17311	-	1	true
93	bolter	20845	13733	-	1	true
94	bolter	20845	5977	-	1	true
95	bolter	20845	8260	-	1	true
96	bolter	20845	11500	-	1	true
97	bolter	20845	14574	-	1	true
98	bolter	20845	17936	-	1	true
99	bolter	20845	2790	-	1	true
