# seed=42 mode=shotgun file=sample.gcode filesize=20845
trial	mode	filesize	off	bit	span	detected
0	shotgun	20845	11676	-	4096	true
1	shotgun	20845	15069	-	4096	true
2	shotgun	20845	16599	-	4096	true
3	shotgun	20845	4246	-	4096	true
4	shotgun	20845	13355	-	4096	true
5	shotgun	20845	844	-	4096	true
6	shotgun	20845	9877	-	4096	true
7	shotgun	20845	9900	-	4096	true
8	shotgun	20845	5611	-	4096	true
9	shotgun	20845	6432	-	4096	true
10	shotgun	20845	803	-	4096	true
11	shotgun	20845	10345	-	4096	true
12	shotgun	20845	1169	-	4096	true
13	shotgun	20845	16194	-	4096	true
14	shotgun	20845	12898	-	4096	true
15	shotgun	20845	9507	-	4096	true
16	shotgun	20845	3351	-	4096	true
17	shotgun	20845	4318	-	4096	true
18	shotgun	20845	13801	-	4096	true
19	shotgun	20845	1077	-	4096	true
20	shotgun	20845	283	-	4096	false
21	shotgun	20845	662	-	4096	true
22	shotgun	20845	9315	-	4096	true
23	shotgun	20845	7227	-	4096	true
24	shotgun	20845	13281	-	4096	true
25	shotgun	20845	6691	-	4096	true
26	shotgun	20845	7741	-	4096	true
27	shotgun	20845	4713	-	4096	true
28	shotgun	20845	9491	-	4096	true
29	shotgun	20845	7881	-	4096	true
30	shotgun	20845	10019	-	4096	true
31	shotgun	20845	1811	-	4096	true
32	shotgun	20845	12743	-	4096	true
33	shotgun	20845	1081	-	4096	true
34	shotgun	20845	533	-	4096	true
35	shotgun	20845	4472	-	4096	true
36	shotgun	20845	3386	-	4096	true
37	shotgun	20845	6465	-	4096	true
38	shotgun	20845	7289	-	4096	true
39	shotgun	20845	4658	-	4096	true
40	shotgun	20845	4516	-	4096	true
41	shotgun	20845	11059	-	4096	true
42	shotgun	20845	15217	-	4096	true
43	shotgun	20845	6958	-	4096	true
44	shotgun	20845	14378	-	4096	true
45	shotgun	20845	49	-	4096	false
46	shotgun	20845	6033	-	4096	true
47	shotgun	20845	16336	-	4096	true
48	shotgun	20845	15691	-	4096	true
49	shotgun	20845	512	-	4096	true
50	shotgun	20845	9845	-	4096	true
51	shotgun	20845	15715	-	4096	true
52	shotgun	20845	13491	-	4096	true
53	shotgun	20845	6463	-	4096	true
54	shotgun	20845	880	-	4096	true
55	shotgun	20845	9515	-	4096	true
56	shotgun	20845	10575	-	4096	true
57	shotgun	20845	7017	-	4096	true
58	shotgun	20845	12477	-	4096	true
59	shotgun	20845	4635	-	4096	true
60	shotgun	20845	10650	-	4096	true
61	shotgun	20845	12070	-	4096	true
62	shotgun	20845	6193	-	4096	true
63	shotgun	20845	9337	-	4096	true
64	shotgun	20845	5546	-	4096	true
65	shotgun	20845	3822	-	4096	true
66	shotgun	20845	14123	-	4096	true
67	shotgun	20845	1157	-	4096	true
68	shotgun	20845	2104	-	4096	true
69	shotgun	20845	16609	-	4096	true
70	shotgun	20845	10804	-	4096	true
71	shotgun	20845	3247	-	4096	true
72	shotgun	20845	13632	-	4096	true
73	shotgun	20845	552	-	4096	true
74	shotgun	20845	7107	-	4096	true
75	shotgun	20845	14134	-	4096	true
76	shotgun	20845	12883	-	4096	true
77	shotgun	20845	10322	-	4096	true
78	shotgun	20845	10734	-	4096	true
79	shotgun	20845	12190	-	4096	true
80	shotgun	20845	14910	-	4096	true
81	shotgun	20845	7589	-	4096	true
82	shotgun	20845	3708	-	4096	true
83	shotgun	20845	8231	-	4096	true
84	shotgun	20845	9206	-	4096	true
85	shotgun	20845	3693	-	4096	true
86	shotgun	20845	16610	-	4096	true
87	shotgun	20845	12832	-	4096	true
88	shotgun	20845	12193	-	4096	true
89	shotgun	20845	12698	-	4096	true
90	shotgun	20845	3531	-	4096	true
91	shotgun	20845	12284	-	4096	true
92	shotgun	20845	9901	-	4096	true
93	shotgun	20845	9085	-	4096	true
94	shotgun	20845	7534	-	4096	true
95	shotgun	20845	13203	-	4096	true
96	shotgun	20845	6996	-	4096	true
97	shotgun	20845	2503	-	4096	true
98	shotgun	20845	3188	-	4096	true
99	shotgun	20845	8022	-	4096	true
