# seed=42 mode=sniper file=Aero Blasters (JU).gen filesize=524288
trial	mode	filesize	off	bit	span	detected
0	sniper	524288	359382	1	1	false
1	sniper	524288	504475	3	1	false
2	sniper	524288	482989	2	1	false
3	sniper	524288	471340	7	1	false
4	sniper	524288	264200	5	1	false
5	sniper	524288	138713	1	1	false
6	sniper	524288	151004	6	1	false
7	sniper	524288	456785	3	1	false
8	sniper	524288	322266	4	1	false
9	sniper	524288	506403	4	1	false
10	sniper	524288	40008	7	1	false
11	sniper	524288	337616	3	1	false
12	sniper	524288	404355	1	1	false
13	sniper	524288	138154	3	1	false
14	sniper	524288	1812	0	1	false
15	sniper	524288	385264	3	1	false
16	sniper	524288	456886	6	1	false
17	sniper	524288	279285	0	1	false
18	sniper	524288	288922	7	1	false
19	sniper	524288	382678	6	1	false
20	sniper	524288	201122	3	1	false
21	sniper	524288	92143	4	1	false
22	sniper	524288	266990	2	1	false
23	sniper	524288	372026	0	1	false
24	sniper	524288	294553	5	1	false
25	sniper	524288	12438	0	1	false
26	sniper	524288	40738	5	1	false
27	sniper	524288	117218	4	1	false
28	sniper	524288	308175	4	1	false
29	sniper	524288	21999	7	1	false
30	sniper	524288	63560	1	1	false
31	sniper	524288	288881	3	1	false
32	sniper	524288	442496	0	1	false
33	sniper	524288	383387	0	1	false
34	sniper	524288	460202	4	1	false
35	sniper	524288	152095	7	1	false
36	sniper	524288	418196	6	1	false
37	sniper	524288	516180	5	1	false
38	sniper	524288	340731	6	1	false
39	sniper	524288	439232	0	1	false
40	sniper	524288	519675	7	1	false
41	sniper	524288	360510	7	1	false
42	sniper	524288	18129	6	1	false
43	sniper	524288	318045	0	1	false
44	sniper	524288	238386	0	1	false
45	sniper	524288	257630	6	1	false
46	sniper	524288	107209	3	1	false
47	sniper	524288	515249	5	1	false
48	sniper	524288	459879	2	1	false
49	sniper	524288	485741	2	1	false
50	sniper	524288	491609	2	1	false
51	sniper	524288	91221	3	1	false
52	sniper	524288	167608	7	1	false
53	sniper	524288	395782	2	1	false
54	sniper	524288	523524	6	1	false
55	sniper	524288	346399	7	1	false
56	sniper	524288	183867	6	1	false
57	sniper	524288	100653	6	1	false
58	sniper	524288	23799	1	1	false
59	sniper	524288	500403	2	1	false
60	sniper	524288	302377	4	1	false
61	sniper	524288	199534	2	1	false
62	sniper	524288	33908	5	1	false
63	sniper	524288	493070	7	1	false
64	sniper	524288	208794	0	1	false
65	sniper	524288	97604	0	1	false
66	sniper	524288	387953	3	1	false
67	sniper	524288	335026	7	1	false
68	sniper	524288	28894	1	1	false
69	sniper	524288	396347	3	1	false
70	sniper	524288	491227	2	1	false
71	sniper	524288	314973	6	1	false
72	sniper	524288	287597	2	1	false
73	sniper	524288	470021	4	1	false
74	sniper	524288	273981	2	1	false
75	sniper	524288	403605	2	1	false
76	sniper	524288	466576	0	1	false
77	sniper	524288	518941	4	1	false
78	sniper	524288	202459	2	1	false
79	sniper	524288	442050	4	1	false
80	sniper	524288	489707	2	1	false
81	sniper	524288	91117	3	1	false
82	sniper	524288	280613	0	1	false
83	sniper	524288	340381	2	1	false
84	sniper	524288	181376	2	1	false
85	sniper	524288	53023	3	1	false
86	sniper	524288	320731	6	1	false
87	sniper	524288	115142	6	1	false
88	sniper	524288	76134	0	1	false
89	sniper	524288	419742	5	1	false
90	sniper	524288	327524	6	1	false
91	sniper	524288	396393	4	1	false
92	sniper	524288	411401	2	1	false
93	sniper	524288	296473	3	1	false
94	sniper	524288	144569	4	1	false
95	sniper	524288	315409	7	1	false
96	sniper	524288	439585	6	1	false
97	sniper	524288	459061	2	1	false
98	sniper	524288	59651	0	1	false
99	sniper	524288	196698	7	1	false
