# seed=42 mode=shotgun file=sample_1.gif filesize=194757
trial	mode	filesize	off	bit	span	detected
0	shotgun	194757	61316	-	4096	true
1	shotgun	194757	45505	-	4096	true
2	shotgun	194757	279	-	4096	true
3	shotgun	194757	70154	-	4096	true
4	shotgun	194757	23763	-	4096	true
5	shotgun	194757	17830	-	4096	true
6	shotgun	194757	132291	-	4096	true
7	shotgun	194757	61090	-	4096	true
8	shotgun	194757	59969	-	4096	true
9	shotgun	194757	188756	-	4096	true
10	shotgun	194757	84299	-	4096	true
11	shotgun	194757	109123	-	4096	true
12	shotgun	194757	18487	-	4096	true
13	shotgun	194757	190126	-	4096	true
14	shotgun	194757	46200	-	4096	true
15	shotgun	194757	14947	-	4096	true
16	shotgun	194757	80731	-	4096	false
17	shotgun	194757	183204	-	4096	true
18	shotgun	194757	176757	-	4096	false
19	shotgun	194757	30977	-	4096	true
20	shotgun	194757	8803	-	4096	true
21	shotgun	194757	11828	-	4096	true
22	shotgun	194757	5457	-	4096	true
23	shotgun	194757	96099	-	4096	true
24	shotgun	194757	101465	-	4096	true
25	shotgun	194757	95677	-	4096	true
26	shotgun	194757	119831	-	4096	true
27	shotgun	194757	176011	-	4096	true
28	shotgun	194757	20217	-	4096	true
29	shotgun	194757	159221	-	4096	true
30	shotgun	194757	78047	-	4096	true
31	shotgun	194757	47247	-	4096	true
32	shotgun	194757	186391	-	4096	true
33	shotgun	194757	4765	-	4096	true
34	shotgun	194757	22275	-	4096	true
35	shotgun	194757	578	-	4096	true
36	shotgun	194757	150374	-	4096	true
37	shotgun	194757	40707	-	4096	true
38	shotgun	194757	132747	-	4096	true
39	shotgun	194757	81890	-	4096	true
40	shotgun	194757	55148	-	4096	true
41	shotgun	194757	47763	-	4096	true
42	shotgun	194757	89779	-	4096	true
43	shotgun	194757	61722	-	4096	true
44	shotgun	194757	105694	-	4096	true
45	shotgun	194757	139881	-	4096	true
46	shotgun	194757	19839	-	4096	true
47	shotgun	194757	124764	-	4096	true
48	shotgun	194757	85001	-	4096	true
49	shotgun	194757	133454	-	4096	true
50	shotgun	194757	187499	-	4096	true
51	shotgun	194757	22953	-	4096	true
52	shotgun	194757	148135	-	4096	true
53	shotgun	194757	127883	-	4096	true
54	shotgun	194757	15754	-	4096	true
55	shotgun	194757	33907	-	4096	true
56	shotgun	194757	35401	-	4096	true
57	shotgun	194757	131007	-	4096	true
58	shotgun	194757	123535	-	4096	false
59	shotgun	194757	5495	-	4096	true
60	shotgun	194757	113190	-	4096	true
61	shotgun	194757	9010	-	4096	true
62	shotgun	194757	35551	-	4096	false
63	shotgun	194757	78343	-	4096	false
64	shotgun	194757	176364	-	4096	true
65	shotgun	194757	30996	-	4096	true
66	shotgun	194757	102581	-	4096	false
67	shotgun	194757	73477	-	4096	true
68	shotgun	194757	80214	-	4096	true
69	shotgun	194757	170833	-	4096	true
70	shotgun	194757	166236	-	4096	true
71	shotgun	194757	135903	-	4096	true
72	shotgun	194757	116716	-	4096	true
73	shotgun	194757	109204	-	4096	true
74	shotgun	194757	99361	-	4096	true
75	shotgun	194757	17236	-	4096	true
76	shotgun	194757	95	-	4096	true
77	shotgun	194757	182302	-	4096	true
78	shotgun	194757	71318	-	4096	true
79	shotgun	194757	75042	-	4096	true
80	shotgun	194757	170598	-	4096	true
81	shotgun	194757	179819	-	4096	true
82	shotgun	194757	48116	-	4096	true
83	shotgun	194757	162951	-	4096	true
84	shotgun	194757	85404	-	4096	true
85	shotgun	194757	112617	-	4096	true
86	shotgun	194757	44882	-	4096	true
87	shotgun	194757	28008	-	4096	true
88	shotgun	194757	128659	-	4096	true
89	shotgun	194757	133538	-	4096	true
90	shotgun	194757	101241	-	4096	true
91	shotgun	194757	97684	-	4096	true
92	shotgun	194757	185983	-	4096	true
93	shotgun	194757	68565	-	4096	true
94	shotgun	194757	78276	-	4096	true
95	shotgun	194757	829	-	4096	true
96	shotgun	194757	11934	-	4096	true
97	shotgun	194757	181485	-	4096	true
98	shotgun	194757	127848	-	4096	true
99	shotgun	194757	105162	-	4096	true
