# seed=42 mode=sniper file=sample_1.gif filesize=194757
trial	mode	filesize	off	bit	span	detected
0	sniper	194757	118868	1	1	false
1	sniper	194757	52761	3	1	false
2	sniper	194757	73809	2	1	false
3	sniper	194757	64722	7	1	false
4	sniper	194757	7031	5	1	false
5	sniper	194757	117739	1	1	false
6	sniper	194757	49389	6	1	false
7	sniper	194757	3605	3	1	true
8	sniper	194757	184330	4	1	false
9	sniper	194757	187289	4	1	false
10	sniper	194757	435	7	1	false
11	sniper	194757	5886	3	1	false
12	sniper	194757	119072	1	1	false
13	sniper	194757	111021	3	1	false
14	sniper	194757	55399	0	1	false
15	sniper	194757	82629	3	1	false
16	sniper	194757	33940	6	1	false
17	sniper	194757	100159	0	1	false
18	sniper	194757	150756	7	1	false
19	sniper	194757	86306	6	1	false
20	sniper	194757	132623	3	1	false
21	sniper	194757	172518	4	1	false
22	sniper	194757	87580	2	1	false
23	sniper	194757	164768	0	1	false
24	sniper	194757	41484	5	1	false
25	sniper	194757	74286	0	1	false
26	sniper	194757	147761	5	1	false
27	sniper	194757	126133	4	1	false
28	sniper	194757	77733	4	1	false
29	sniper	194757	173155	7	1	false
30	sniper	194757	12510	1	1	false
31	sniper	194757	124721	3	1	false
32	sniper	194757	117640	0	1	false
33	sniper	194757	48883	0	1	false
34	sniper	194757	50332	4	1	false
35	sniper	194757	162530	7	1	false
36	sniper	194757	190758	6	1	false
37	sniper	194757	165269	5	1	false
38	sniper	194757	28376	6	1	false
39	sniper	194757	9660	0	1	false
40	sniper	194757	37170	7	1	false
41	sniper	194757	77153	7	1	false
42	sniper	194757	103294	6	1	false
43	sniper	194757	54771	0	1	false
44	sniper	194757	37118	0	1	false
45	sniper	194757	158225	6	1	false
46	sniper	194757	137691	3	1	false
47	sniper	194757	130719	5	1	false
48	sniper	194757	48101	2	1	false
49	sniper	194757	30308	2	1	false
50	sniper	194757	162901	2	1	false
51	sniper	194757	173249	3	1	false
52	sniper	194757	179660	7	1	false
53	sniper	194757	173098	2	1	false
54	sniper	194757	30214	6	1	false
55	sniper	194757	56901	7	1	false
56	sniper	194757	130079	6	1	false
57	sniper	194757	56671	6	1	false
58	sniper	194757	85780	1	1	false
59	sniper	194757	39774	2	1	false
60	sniper	194757	152716	4	1	false
61	sniper	194757	118038	2	1	false
62	sniper	194757	84128	5	1	false
63	sniper	194757	96700	7	1	false
64	sniper	194757	31655	0	1	true
65	sniper	194757	156969	0	1	false
66	sniper	194757	98049	3	1	false
67	sniper	194757	78493	7	1	false
68	sniper	194757	118238	1	1	false
69	sniper	194757	134115	3	1	false
70	sniper	194757	191233	2	1	false
71	sniper	194757	142976	6	1	false
72	sniper	194757	128942	2	1	false
73	sniper	194757	109214	4	1	false
74	sniper	194757	149890	2	1	false
75	sniper	194757	22963	2	1	false
76	sniper	194757	89477	0	1	false
77	sniper	194757	174505	4	1	false
78	sniper	194757	179832	2	1	false
79	sniper	194757	56151	4	1	false
80	sniper	194757	53897	2	1	false
81	sniper	194757	98415	3	1	false
82	sniper	194757	77994	0	1	false
83	sniper	194757	80880	2	1	false
84	sniper	194757	1905	2	1	false
85	sniper	194757	55330	3	1	false
86	sniper	194757	182468	6	1	false
87	sniper	194757	69827	6	1	false
88	sniper	194757	132186	0	1	false
89	sniper	194757	118282	5	1	false
90	sniper	194757	79985	6	1	false
91	sniper	194757	41558	4	1	false
92	sniper	194757	72991	2	1	false
93	sniper	194757	132482	3	1	false
94	sniper	194757	49458	4	1	false
95	sniper	194757	106613	7	1	false
96	sniper	194757	33549	6	1	false
97	sniper	194757	22809	2	1	false
98	sniper	194757	40179	0	1	false
99	sniper	194757	98662	7	1	false
