# seed=42 mode=bolter file=sample.tar.gz filesize=13625
trial	mode	filesize	off	bit	span	detected
0	bolter	13625	9551	-	1	true
1	bolter	13625	5209	-	1	true
2	bolter	13625	1185	-	1	true
3	bolter	13625	6255	-	1	true
4	bolter	13625	7832	-	1	true
5	bolter	13625	3696	-	1	true
6	bolter	13625	3225	-	1	true
7	bolter	13625	271	-	1	true
8	bolter	13625	8904	-	1	true
9	bolter	13625	1293	-	1	true
10	bolter	13625	8830	-	1	true
11	bolter	13625	6350	-	1	true
12	bolter	13625	6718	-	1	true
13	bolter	13625	13039	-	1	true
14	bolter	13625	12673	-	1	true
15	bolter	13625	1585	-	1	true
16	bolter	13625	1733	-	1	true
17	bolter	13625	6949	-	1	true
18	bolter	13625	12556	-	1	true
19	bolter	13625	3433	-	1	true
20	bolter	13625	3916	-	1	true
21	bolter	13625	6765	-	1	true
22	bolter	13625	11095	-	1	true
23	bolter	13625	2667	-	1	true
24	bolter	13625	7968	-	1	true
25	bolter	13625	5402	-	1	true
26	bolter	13625	3795	-	1	true
27	bolter	13625	4898	-	1	true
28	bolter	13625	11279	-	1	true
29	bolter	13625	3823	-	1	true
30	bolter	13625	2191	-	1	true
31	bolter	13625	5725	-	1	true
32	bolter	13625	3800	-	1	true
33	bolter	13625	8653	-	1	true
34	bolter	13625	5910	-	1	true
35	bolter	13625	10486	-	1	true
36	bolter	13625	12913	-	1	true
37	bolter	13625	8154	-	1	true
38	bolter	13625	6767	-	1	true
39	bolter	13625	7883	-	1	true
40	bolter	13625	5855	-	1	true
41	bolter	13625	10767	-	1	true
42	bolter	13625	3005	-	1	true
43	bolter	13625	7586	-	1	true
44	bolter	13625	13604	-	1	true
45	bolter	13625	12952	-	1	true
46	bolter	13625	12965	-	1	true
47	bolter	13625	6998	-	1	true
48	bolter	13625	10751	-	1	true
49	bolter	13625	3186	-	1	true
50	bolter	13625	13471	-	1	true
51	bolter	13625	6963	-	1	true
52	bolter	13625	1994	-	1	true
53	bolter	13625	1435	-	1	true
54	bolter	13625	4272	-	1	true
55	bolter	13625	4999	-	1	true
56	bolter	13625	1071	-	1	true
57	bolter	13625	13239	-	1	true
58	bolter	13625	10793	-	1	true
59	bolter	13625	4276	-	1	true
60	bolter	13625	10747	-	1	true
61	bolter	13625	116	-	1	true
62	bolter	13625	7841	-	1	true
63	bolter	13625	3918	-	1	true
64	bolter	13625	10017	-	1	true
65	bolter	13625	12687	-	1	true
66	bolter	13625	11693	-	1	true
67	bolter	13625	3305	-	1	true
68	bolter	13625	9617	-	1	true
69	bolter	13625	10832	-	1	true
70	bolter	13625	4506	-	1	true
71	bolter	13625	10895	-	1	true
72	bolter	13625	2741	-	1	true
73	bolter	13625	324	-	1	true
74	bolter	13625	2842	-	1	true
75	bolter	13625	4827	-	1	true
76	bolter	13625	8438	-	1	true
77	bolter	13625	3085	-	1	true
78	bolter	13625	5800	-	1	true
79	bolter	13625	4314	-	1	true
80	bolter	13625	13139	-	1	true
81	bolter	13625	9900	-	1	true
82	bolter	13625	6647	-	1	true
83	bolter	13625	4848	-	1	true
84	bolter	13625	12163	-	1	true
85	bolter	13625	11621	-	1	true
86	bolter	13625	1058	-	1	true
87	bolter	13625	8595	-	1	true
88	bolter	13625	4153	-	1	true
89	bolter	13625	10618	-	1	true
90	bolter	13625	13254	-	1	true
91	bolter	13625	8132	-	1	true
92	bolter	13625	11931	-	1	true
93	bolter	13625	13463	-	1	true
94	bolter	13625	10707	-	1	true
95	bolter	13625	7570	-	1	true
96	bolter	13625	6740	-	1	true
97	bolter	13625	2004	-	1	true
98	bolter	13625	10486	-	1	true
99	bolter	13625	80	-	1	true
