# seed=42 mode=shotgun file=sample.tar.gz filesize=13625
trial	mode	filesize	off	bit	span	detected
0	shotgun	13625	386	-	4096	true
1	shotgun	13625	1109	-	4096	true
2	shotgun	13625	2939	-	4096	true
3	shotgun	13625	8246	-	4096	true
4	shotgun	13625	6325	-	4096	true
5	shotgun	13625	7104	-	4096	true
6	shotgun	13625	4567	-	4096	true
7	shotgun	13625	4360	-	4096	true
8	shotgun	13625	5881	-	4096	true
9	shotgun	13625	1292	-	4096	true
10	shotgun	13625	573	-	4096	true
11	shotgun	13625	4585	-	4096	true
12	shotgun	13625	7419	-	4096	true
13	shotgun	13625	494	-	4096	true
14	shotgun	13625	8648	-	4096	true
15	shotgun	13625	7617	-	4096	true
16	shotgun	13625	9301	-	4096	true
17	shotgun	13625	4118	-	4096	true
18	shotgun	13625	5831	-	4096	true
19	shotgun	13625	3657	-	4096	true
20	shotgun	13625	3673	-	4096	true
21	shotgun	13625	1402	-	4096	true
22	shotgun	13625	9105	-	4096	true
23	shotgun	13625	6377	-	4096	true
24	shotgun	13625	6291	-	4096	true
25	shotgun	13625	521	-	4096	true
26	shotgun	13625	9511	-	4096	true
27	shotgun	13625	1823	-	4096	true
28	shotgun	13625	3761	-	4096	true
29	shotgun	13625	4021	-	4096	true
30	shotgun	13625	7329	-	4096	true
31	shotgun	13625	1701	-	4096	true
32	shotgun	13625	4473	-	4096	true
33	shotgun	13625	2921	-	4096	true
34	shotgun	13625	8503	-	4096	true
35	shotgun	13625	6732	-	4096	true
36	shotgun	13625	2126	-	4096	true
37	shotgun	13625	8505	-	4096	true
38	shotgun	13625	5369	-	4096	true
39	shotgun	13625	2028	-	4096	true
40	shotgun	13625	7416	-	4096	true
41	shotgun	13625	9239	-	4096	true
42	shotgun	13625	4447	-	4096	true
43	shotgun	13625	9058	-	4096	true
44	shotgun	13625	1508	-	4096	true
45	shotgun	13625	6779	-	4096	true
46	shotgun	13625	953	-	4096	true
47	shotgun	13625	5306	-	4096	true
48	shotgun	13625	3331	-	4096	true
49	shotgun	13625	4272	-	4096	true
50	shotgun	13625	565	-	4096	true
51	shotgun	13625	5085	-	4096	true
52	shotgun	13625	8101	-	4096	true
53	shotgun	13625	8233	-	4096	true
54	shotgun	13625	90	-	4096	true
55	shotgun	13625	5515	-	4096	true
56	shotgun	13625	345	-	4096	true
57	shotgun	13625	6507	-	4096	true
58	shotgun	13625	7217	-	4096	true
59	shotgun	13625	1555	-	4096	true
60	shotgun	13625	4150	-	4096	true
61	shotgun	13625	2670	-	4096	true
62	shotgun	13625	4163	-	4096	true
63	shotgun	13625	3087	-	4096	true
64	shotgun	13625	8516	-	4096	true
65	shotgun	13625	9482	-	4096	true
66	shotgun	13625	6123	-	4096	true
67	shotgun	13625	6877	-	4096	true
68	shotgun	13625	9454	-	4096	true
69	shotgun	13625	6929	-	4096	true
70	shotgun	13625	8674	-	4096	true
71	shotgun	13625	2487	-	4096	true
72	shotgun	13625	542	-	4096	true
73	shotgun	13625	6992	-	4096	true
74	shotgun	13625	7637	-	4096	true
75	shotgun	13625	3824	-	4096	true
76	shotgun	13625	6703	-	4096	true
77	shotgun	13625	6312	-	4096	true
78	shotgun	13625	4194	-	4096	true
79	shotgun	13625	7270	-	4096	true
80	shotgun	13625	3880	-	4096	true
81	shotgun	13625	1039	-	4096	true
82	shotgun	13625	6308	-	4096	true
83	shotgun	13625	3331	-	4096	true
84	shotgun	13625	6656	-	4096	true
85	shotgun	13625	2073	-	4096	true
86	shotgun	13625	2130	-	4096	true
87	shotgun	13625	8142	-	4096	true
88	shotgun	13625	7993	-	4096	true
89	shotgun	13625	108	-	4096	true
90	shotgun	13625	7911	-	4096	true
91	shotgun	13625	7104	-	4096	true
92	shotgun	13625	931	-	4096	true
93	shotgun	13625	5895	-	4096	true
94	shotgun	13625	1134	-	4096	true
95	shotgun	13625	4913	-	4096	true
96	shotgun	13625	6956	-	4096	true
97	shotgun	13625	7613	-	4096	true
98	shotgun	13625	388	-	4096	true
99	shotgun	13625	882	-	4096	true
