# seed=42 mode=sniper file=sample.tar.gz filesize=13625
trial	mode	filesize	off	bit	span	detected
0	sniper	13625	9551	1	1	true
1	sniper	13625	1185	3	1	true
2	sniper	13625	7832	2	1	true
3	sniper	13625	3225	7	1	true
4	sniper	13625	8904	5	1	true
5	sniper	13625	8830	1	1	true
6	sniper	13625	6718	6	1	true
7	sniper	13625	12673	3	1	true
8	sniper	13625	1733	4	1	true
9	sniper	13625	12556	4	1	true
10	sniper	13625	3916	7	1	true
11	sniper	13625	11095	3	1	true
12	sniper	13625	7968	1	1	true
13	sniper	13625	3795	3	1	true
14	sniper	13625	11279	0	1	true
15	sniper	13625	2191	3	1	true
16	sniper	13625	3800	6	1	true
17	sniper	13625	5910	0	1	true
18	sniper	13625	12913	7	1	true
19	sniper	13625	6767	6	1	true
20	sniper	13625	5855	3	1	true
21	sniper	13625	3005	4	1	true
22	sniper	13625	13604	2	1	true
23	sniper	13625	12965	0	1	true
24	sniper	13625	10751	5	1	true
25	sniper	13625	13471	0	1	true
26	sniper	13625	1994	5	1	true
27	sniper	13625	4272	4	1	true
28	sniper	13625	1071	4	1	true
29	sniper	13625	10793	7	1	true
30	sniper	13625	10747	1	1	true
31	sniper	13625	7841	3	1	true
32	sniper	13625	10017	0	1	true
33	sniper	13625	11693	0	1	true
34	sniper	13625	9617	4	1	true
35	sniper	13625	4506	7	1	true
36	sniper	13625	2741	6	1	true
37	sniper	13625	2842	5	1	true
38	sniper	13625	8438	6	1	true
39	sniper	13625	5800	0	1	true
40	sniper	13625	13139	7	1	true
41	sniper	13625	6647	7	1	true
42	sniper	13625	12163	6	1	true
43	sniper	13625	1058	0	1	true
44	sniper	13625	4153	0	1	true
45	sniper	13625	13254	6	1	true
46	sniper	13625	11931	3	1	true
47	sniper	13625	10707	5	1	true
48	sniper	13625	6740	2	1	true
49	sniper	13625	10486	2	1	true
50	sniper	13625	1332	2	1	true
51	sniper	13625	12398	3	1	true
52	sniper	13625	4894	7	1	true
53	sniper	13625	10809	2	1	true
54	sniper	13625	3850	6	1	true
55	sniper	13625	780	7	1	true
56	sniper	13625	2321	6	1	true
57	sniper	13625	8168	6	1	true
58	sniper	13625	1665	1	1	true
59	sniper	13625	1059	2	1	true
60	sniper	13625	10552	4	1	true
61	sniper	13625	8564	2	1	true
62	sniper	13625	1417	5	1	true
63	sniper	13625	12248	7	1	true
64	sniper	13625	12896	0	1	true
65	sniper	13625	3018	0	1	true
66	sniper	13625	6042	3	1	true
67	sniper	13625	3373	7	1	true
68	sniper	13625	1220	1	1	true
69	sniper	13625	12045	3	1	true
70	sniper	13625	12994	2	1	true
71	sniper	13625	9629	6	1	true
72	sniper	13625	6545	2	1	true
73	sniper	13625	8397	4	1	true
74	sniper	13625	6300	2	1	true
75	sniper	13625	9551	2	1	true
76	sniper	13625	4546	0	1	true
77	sniper	13625	10021	4	1	true
78	sniper	13625	7761	2	1	true
79	sniper	13625	2579	4	1	true
80	sniper	13625	4126	2	1	true
81	sniper	13625	6921	3	1	true
82	sniper	13625	1546	0	1	true
83	sniper	13625	6269	2	1	true
84	sniper	13625	2037	2	1	true
85	sniper	13625	13326	3	1	true
86	sniper	13625	11579	6	1	true
87	sniper	13625	4168	6	1	true
88	sniper	13625	5000	0	1	true
89	sniper	13625	687	5	1	true
90	sniper	13625	12348	6	1	true
91	sniper	13625	6002	4	1	true
92	sniper	13625	11874	2	1	true
93	sniper	13625	4081	3	1	true
94	sniper	13625	6098	4	1	true
95	sniper	13625	5521	7	1	true
96	sniper	13625	6828	6	1	true
97	sniper	13625	7123	2	1	true
98	sniper	13625	5030	0	1	true
99	sniper	13625	9876	7	1	true
