# seed=42 mode=sniper file=box.glb filesize=1664
trial	mode	filesize	off	bit	span	detected
0	sniper	1664	1366	1	1	false
1	sniper	1664	795	3	1	false
2	sniper	1664	1581	2	1	false
3	sniper	1664	1324	7	1	false
4	sniper	1664	520	5	1	false
5	sniper	1664	345	1	1	false
6	sniper	1664	604	6	1	true
7	sniper	1664	81	3	1	true
8	sniper	1664	1114	4	1	false
9	sniper	1664	291	4	1	false
10	sniper	1664	712	7	1	true
11	sniper	1664	1104	3	1	false
12	sniper	1664	131	1	1	false
13	sniper	1664	1578	3	1	false
14	sniper	1664	1172	0	1	false
15	sniper	1664	240	3	1	false
16	sniper	1664	438	6	1	false
17	sniper	1664	885	0	1	false
18	sniper	1664	410	7	1	true
19	sniper	1664	982	6	1	true
20	sniper	1664	1570	3	1	false
21	sniper	1664	1647	4	1	false
22	sniper	1664	1518	2	1	false
23	sniper	1664	314	0	1	false
24	sniper	1664	1049	5	1	false
25	sniper	1664	150	0	1	false
26	sniper	1664	1314	5	1	false
27	sniper	1664	610	4	1	false
28	sniper	1664	1487	4	1	false
29	sniper	1664	1647	7	1	false
30	sniper	1664	1352	1	1	false
31	sniper	1664	753	3	1	true
32	sniper	1664	640	0	1	true
33	sniper	1664	923	0	1	true
34	sniper	1664	170	4	1	true
35	sniper	1664	1567	7	1	false
36	sniper	1664	20	6	1	true
37	sniper	1664	84	5	1	true
38	sniper	1664	1019	6	1	false
39	sniper	1664	1600	0	1	false
40	sniper	1664	1019	7	1	false
41	sniper	1664	446	7	1	true
42	sniper	1664	1233	6	1	false
43	sniper	1664	989	0	1	true
44	sniper	1664	434	0	1	false
45	sniper	1664	350	6	1	true
46	sniper	1664	969	3	1	true
47	sniper	1664	49	5	1	false
48	sniper	1664	1639	2	1	false
49	sniper	1664	749	2	1	false
50	sniper	1664	1369	2	1	false
51	sniper	1664	597	3	1	false
52	sniper	1664	1592	7	1	false
53	sniper	1664	902	2	1	false
54	sniper	1664	1156	6	1	false
55	sniper	1664	799	7	1	true
56	sniper	1664	1211	6	1	false
57	sniper	1664	1581	6	1	false
58	sniper	1664	375	1	1	false
59	sniper	1664	179	2	1	false
60	sniper	1664	1577	4	1	false
61	sniper	1664	1006	2	1	true
62	sniper	1664	500	5	1	true
63	sniper	1664	398	7	1	true
64	sniper	1664	922	0	1	false
65	sniper	1664	1476	0	1	false
66	sniper	1664	881	3	1	true
67	sniper	1664	306	7	1	true
68	sniper	1664	1246	1	1	false
69	sniper	1664	1467	3	1	false
70	sniper	1664	219	2	1	false
71	sniper	1664	1117	6	1	false
72	sniper	1664	1133	2	1	false
73	sniper	1664	5	4	1	true
74	sniper	1664	189	2	1	false
75	sniper	1664	405	2	1	true
76	sniper	1664	528	0	1	false
77	sniper	1664	797	4	1	false
78	sniper	1664	987	2	1	true
79	sniper	1664	578	4	1	false
80	sniper	1664	1515	2	1	false
81	sniper	1664	1645	3	1	false
82	sniper	1664	933	0	1	false
83	sniper	1664	1053	2	1	false
84	sniper	1664	1024	2	1	false
85	sniper	1664	1183	3	1	false
86	sniper	1664	475	6	1	true
87	sniper	1664	326	6	1	false
88	sniper	1664	230	0	1	true
89	sniper	1664	670	5	1	true
90	sniper	1664	100	6	1	false
91	sniper	1664	873	4	1	true
92	sniper	1664	777	2	1	true
93	sniper	1664	921	3	1	false
94	sniper	1664	825	4	1	true
95	sniper	1664	1553	7	1	false
96	sniper	1664	289	6	1	false
97	sniper	1664	565	2	1	true
98	sniper	1664	1155	0	1	false
99	sniper	1664	474	7	1	true
