# seed=42 mode=sniper file=box.gltf filesize=2898
trial	mode	filesize	off	bit	span	detected
0	sniper	2898	2552	1	1	false
1	sniper	2898	1389	3	1	false
2	sniper	2898	1515	2	1	false
3	sniper	2898	540	7	1	true
4	sniper	2898	2552	5	1	false
5	sniper	2898	2155	1	1	true
6	sniper	2898	1722	6	1	false
7	sniper	2898	1835	3	1	false
8	sniper	2898	1144	4	1	false
9	sniper	2898	2603	4	1	false
10	sniper	2898	1398	7	1	true
11	sniper	2898	1452	3	1	false
12	sniper	2898	11	1	1	false
13	sniper	2898	1938	3	1	false
14	sniper	2898	628	0	1	false
15	sniper	2898	1212	3	1	false
16	sniper	2898	2284	6	1	false
17	sniper	2898	2725	0	1	false
18	sniper	2898	2244	7	1	true
19	sniper	2898	1556	6	1	false
20	sniper	2898	2720	3	1	false
21	sniper	2898	633	4	1	false
22	sniper	2898	880	2	1	false
23	sniper	2898	800	0	1	false
24	sniper	2898	387	5	1	false
25	sniper	2898	636	0	1	false
26	sniper	2898	956	5	1	false
27	sniper	2898	796	4	1	false
28	sniper	2898	315	4	1	false
29	sniper	2898	565	7	1	true
30	sniper	2898	288	1	1	true
31	sniper	2898	1163	3	1	false
32	sniper	2898	2440	0	1	true
33	sniper	2898	2677	0	1	false
34	sniper	2898	916	4	1	false
35	sniper	2898	2837	7	1	true
36	sniper	2898	1620	6	1	false
37	sniper	2898	380	5	1	false
38	sniper	2898	2387	6	1	false
39	sniper	2898	252	0	1	false
40	sniper	2898	2157	7	1	true
41	sniper	2898	1430	7	1	true
42	sniper	2898	2323	6	1	false
43	sniper	2898	2487	0	1	false
44	sniper	2898	2048	0	1	false
45	sniper	2898	1160	6	1	false
46	sniper	2898	1899	3	1	false
47	sniper	2898	519	5	1	false
48	sniper	2898	35	2	1	true
49	sniper	2898	755	2	1	false
50	sniper	2898	1597	2	1	false
51	sniper	2898	155	3	1	false
52	sniper	2898	1832	7	1	true
53	sniper	2898	274	2	1	false
54	sniper	2898	1390	6	1	false
55	sniper	2898	489	7	1	false
56	sniper	2898	275	6	1	false
57	sniper	2898	901	6	1	false
58	sniper	2898	1807	1	1	true
59	sniper	2898	717	2	1	false
60	sniper	2898	1393	4	1	true
61	sniper	2898	612	2	1	false
62	sniper	2898	602	5	1	false
63	sniper	2898	1210	7	1	true
64	sniper	2898	38	0	1	true
65	sniper	2898	372	0	1	false
66	sniper	2898	1617	3	1	false
67	sniper	2898	1114	7	1	true
68	sniper	2898	1448	1	1	false
69	sniper	2898	2583	3	1	false
70	sniper	2898	2521	2	1	false
71	sniper	2898	1289	6	1	false
72	sniper	2898	1013	2	1	false
73	sniper	2898	407	4	1	false
74	sniper	2898	1927	2	1	false
75	sniper	2898	2161	2	1	true
76	sniper	2898	1142	0	1	false
77	sniper	2898	2269	4	1	false
78	sniper	2898	1701	2	1	false
79	sniper	2898	468	4	1	false
80	sniper	2898	1211	2	1	false
81	sniper	2898	2805	3	1	false
82	sniper	2898	2739	0	1	false
83	sniper	2898	1737	2	1	false
84	sniper	2898	2850	2	1	false
85	sniper	2898	2725	3	1	false
86	sniper	2898	347	6	1	false
87	sniper	2898	1172	6	1	false
88	sniper	2898	2652	0	1	false
89	sniper	2898	2356	5	1	false
90	sniper	2898	2396	6	1	false
91	sniper	2898	2471	4	1	false
92	sniper	2898	211	2	1	false
93	sniper	2898	1037	3	1	false
94	sniper	2898	1239	4	1	false
95	sniper	2898	1865	7	1	true
96	sniper	2898	39	6	1	true
97	sniper	2898	117	2	1	false
98	sniper	2898	2043	0	1	false
99	sniper	2898	388	7	1	false
