# seed=42 mode=bolter file=sample.h5 filesize=20712
trial	mode	filesize	off	bit	span	detected
0	bolter	20712	8174	-	1	true
1	bolter	20712	2945	-	1	true
2	bolter	20712	20259	-	1	true
3	bolter	20712	1611	-	1	true
4	bolter	20712	15837	-	1	false
5	bolter	20712	19306	-	1	false
6	bolter	20712	2820	-	1	true
7	bolter	20712	16655	-	1	false
8	bolter	20712	15776	-	1	false
9	bolter	20712	19701	-	1	false
10	bolter	20712	7393	-	1	true
11	bolter	20712	8689	-	1	true
12	bolter	20712	18228	-	1	false
13	bolter	20712	9406	-	1	true
14	bolter	20712	18881	-	1	false
15	bolter	20712	16563	-	1	false
16	bolter	20712	11530	-	1	true
17	bolter	20712	18148	-	1	true
18	bolter	20712	12227	-	1	true
19	bolter	20712	3508	-	1	true
20	bolter	20712	19080	-	1	false
21	bolter	20712	20295	-	1	true
22	bolter	20712	17424	-	1	false
23	bolter	20712	7891	-	1	true
24	bolter	20712	10451	-	1	true
25	bolter	20712	14049	-	1	false
26	bolter	20712	15234	-	1	false
27	bolter	20712	19043	-	1	false
28	bolter	20712	4396	-	1	true
29	bolter	20712	12440	-	1	true
30	bolter	20712	5280	-	1	true
31	bolter	20712	5387	-	1	true
32	bolter	20712	2014	-	1	false
33	bolter	20712	7750	-	1	true
34	bolter	20712	11077	-	1	true
35	bolter	20712	10384	-	1	true
36	bolter	20712	16266	-	1	false
37	bolter	20712	9815	-	1	true
38	bolter	20712	1358	-	1	true
39	bolter	20712	9574	-	1	true
40	bolter	20712	6314	-	1	true
41	bolter	20712	8187	-	1	true
42	bolter	20712	5511	-	1	true
43	bolter	20712	4460	-	1	true
44	bolter	20712	2950	-	1	true
45	bolter	20712	7202	-	1	true
46	bolter	20712	9170	-	1	true
47	bolter	20712	11552	-	1	true
48	bolter	20712	2241	-	1	true
49	bolter	20712	3309	-	1	true
50	bolter	20712	19278	-	1	false
51	bolter	20712	20480	-	1	true
52	bolter	20712	914	-	1	true
53	bolter	20712	18829	-	1	false
54	bolter	20712	5338	-	1	true
55	bolter	20712	7444	-	1	true
56	bolter	20712	2775	-	1	true
57	bolter	20712	1036	-	1	false
58	bolter	20712	7327	-	1	true
59	bolter	20712	6799	-	1	true
60	bolter	20712	10896	-	1	true
61	bolter	20712	4833	-	1	true
62	bolter	20712	18977	-	1	false
63	bolter	20712	3795	-	1	true
64	bolter	20712	6952	-	1	true
65	bolter	20712	288	-	1	true
66	bolter	20712	10387	-	1	true
67	bolter	20712	12720	-	1	true
68	bolter	20712	3730	-	1	true
69	bolter	20712	10820	-	1	true
70	bolter	20712	7103	-	1	true
71	bolter	20712	183	-	1	true
72	bolter	20712	3252	-	1	true
73	bolter	20712	19910	-	1	true
74	bolter	20712	12068	-	1	true
75	bolter	20712	2141	-	1	true
76	bolter	20712	19499	-	1	false
77	bolter	20712	17422	-	1	false
78	bolter	20712	10800	-	1	true
79	bolter	20712	10400	-	1	true
80	bolter	20712	13947	-	1	false
81	bolter	20712	19551	-	1	false
82	bolter	20712	9830	-	1	true
83	bolter	20712	15847	-	1	false
84	bolter	20712	1201	-	1	true
85	bolter	20712	13414	-	1	true
86	bolter	20712	8373	-	1	true
87	bolter	20712	6240	-	1	true
88	bolter	20712	17954	-	1	true
89	bolter	20712	17120	-	1	false
90	bolter	20712	18926	-	1	false
91	bolter	20712	15030	-	1	false
92	bolter	20712	1329	-	1	true
93	bolter	20712	7499	-	1	true
94	bolter	20712	6465	-	1	true
95	bolter	20712	4805	-	1	true
96	bolter	20712	12911	-	1	true
97	bolter	20712	13842	-	1	false
98	bolter	20712	10901	-	1	true
99	bolter	20712	3354	-	1	true
