# seed=42 mode=shotgun file=sample_v2.h5 filesize=6200
trial	mode	filesize	off	bit	span	detected
0	shotgun	6200	1046	-	4096	false
1	shotgun	6200	1804	-	4096	false
2	shotgun	6200	2019	-	4096	false
3	shotgun	6200	191	-	4096	true
4	shotgun	6200	755	-	4096	false
5	shotgun	6200	1099	-	4096	false
6	shotgun	6200	522	-	4096	false
7	shotgun	6200	1790	-	4096	false
8	shotgun	6200	1716	-	4096	false
9	shotgun	6200	737	-	4096	false
10	shotgun	6200	1538	-	4096	false
11	shotgun	6200	330	-	4096	false
12	shotgun	6200	1429	-	4096	false
13	shotgun	6200	799	-	4096	false
14	shotgun	6200	708	-	4096	false
15	shotgun	6200	1162	-	4096	false
16	shotgun	6200	51	-	4096	false
17	shotgun	6200	23	-	4096	true
18	shotgun	6200	511	-	4096	false
19	shotgun	6200	1567	-	4096	false
20	shotgun	6200	403	-	4096	false
21	shotgun	6200	722	-	4096	false
22	shotgun	6200	35	-	4096	true
23	shotgun	6200	102	-	4096	true
24	shotgun	6200	921	-	4096	false
25	shotgun	6200	751	-	4096	false
26	shotgun	6200	951	-	4096	false
27	shotgun	6200	1558	-	4096	false
28	shotgun	6200	1	-	4096	false
29	shotgun	6200	186	-	4096	true
30	shotgun	6200	1969	-	4096	false
31	shotgun	6200	1081	-	4096	false
32	shotgun	6200	1668	-	4096	false
33	shotgun	6200	1661	-	4096	false
34	shotgun	6200	1793	-	4096	false
35	shotgun	6200	1322	-	4096	false
36	shotgun	6200	1756	-	4096	false
37	shotgun	6200	980	-	4096	false
38	shotgun	6200	1434	-	4096	false
39	shotgun	6200	1733	-	4096	false
40	shotgun	6200	176	-	4096	true
41	shotgun	6200	1304	-	4096	false
42	shotgun	6200	622	-	4096	false
43	shotgun	6200	1923	-	4096	false
44	shotgun	6200	1648	-	4096	false
45	shotgun	6200	1179	-	4096	false
46	shotgun	6200	608	-	4096	false
47	shotgun	6200	6	-	4096	true
48	shotgun	6200	1061	-	4096	false
49	shotgun	6200	1042	-	4096	false
50	shotgun	6200	1740	-	4096	false
51	shotgun	6200	1175	-	4096	false
52	shotgun	6200	1091	-	4096	false
53	shotgun	6200	1513	-	4096	false
54	shotgun	6200	430	-	4096	false
55	shotgun	6200	40	-	4096	true
56	shotgun	6200	1015	-	4096	false
57	shotgun	6200	1217	-	4096	false
58	shotgun	6200	1277	-	4096	false
59	shotgun	6200	175	-	4096	true
60	shotgun	6200	1835	-	4096	false
61	shotgun	6200	1320	-	4096	false
62	shotgun	6200	863	-	4096	false
63	shotgun	6200	157	-	4096	true
64	shotgun	6200	466	-	4096	false
65	shotgun	6200	1247	-	4096	false
66	shotgun	6200	208	-	4096	false
67	shotgun	6200	7	-	4096	true
68	shotgun	6200	74	-	4096	true
69	shotgun	6200	609	-	4096	false
70	shotgun	6200	1999	-	4096	false
71	shotgun	6200	1762	-	4096	false
72	shotgun	6200	1287	-	4096	false
73	shotgun	6200	1857	-	4096	false
74	shotgun	6200	1062	-	4096	false
75	shotgun	6200	819	-	4096	false
76	shotgun	6200	1323	-	4096	false
77	shotgun	6200	1817	-	4096	false
78	shotgun	6200	1494	-	4096	false
79	shotgun	6200	1065	-	4096	false
80	shotgun	6200	730	-	4096	false
81	shotgun	6200	914	-	4096	false
82	shotgun	6200	523	-	4096	false
83	shotgun	6200	1596	-	4096	false
84	shotgun	6200	1851	-	4096	false
85	shotgun	6200	1128	-	4096	false
86	shotgun	6200	760	-	4096	false
87	shotgun	6200	787	-	4096	false
88	shotgun	6200	353	-	4096	false
89	shotgun	6200	2103	-	4096	false
90	shotgun	6200	981	-	4096	false
91	shotgun	6200	1994	-	4096	false
92	shotgun	6200	6	-	4096	true
93	shotgun	6200	430	-	4096	false
94	shotgun	6200	894	-	4096	false
95	shotgun	6200	1738	-	4096	false
96	shotgun	6200	321	-	4096	false
97	shotgun	6200	543	-	4096	false
98	shotgun	6200	1668	-	4096	false
99	shotgun	6200	1652	-	4096	false
