# seed=42 mode=bolter file=sample.heic filesize=2994394
trial	mode	filesize	off	bit	span	detected
0	bolter	2994394	989678	-	1	false
1	bolter	2994394	2029203	-	1	false
2	bolter	2994394	2240487	-	1	false
3	bolter	2994394	2170641	-	1	false
4	bolter	2994394	1624813	-	1	false
5	bolter	2994394	2614062	-	1	false
6	bolter	2994394	2225546	-	1	false
7	bolter	2994394	1977259	-	1	false
8	bolter	2994394	2145832	-	1	false
9	bolter	2994394	461267	-	1	false
10	bolter	2994394	429007	-	1	false
11	bolter	2994394	316493	-	1	false
12	bolter	2994394	1777678	-	1	false
13	bolter	2994394	514178	-	1	false
14	bolter	2994394	2577565	-	1	false
15	bolter	2994394	2739133	-	1	false
16	bolter	2994394	1347706	-	1	false
17	bolter	2994394	2661794	-	1	false
18	bolter	2994394	137831	-	1	false
19	bolter	2994394	1609606	-	1	false
20	bolter	2994394	1166968	-	1	false
21	bolter	2994394	213911	-	1	false
22	bolter	2994394	390480	-	1	false
23	bolter	2994394	1034767	-	1	false
24	bolter	2994394	480741	-	1	false
25	bolter	2994394	554085	-	1	false
26	bolter	2994394	2714548	-	1	false
27	bolter	2994394	2092171	-	1	false
28	bolter	2994394	2120874	-	1	false
29	bolter	2994394	2662768	-	1	false
30	bolter	2994394	636226	-	1	false
31	bolter	2994394	2299569	-	1	false
32	bolter	2994394	2926712	-	1	false
33	bolter	2994394	1443086	-	1	false
34	bolter	2994394	1481299	-	1	false
35	bolter	2994394	2395976	-	1	false
36	bolter	2994394	2094554	-	1	false
37	bolter	2994394	597339	-	1	false
38	bolter	2994394	2009352	-	1	false
39	bolter	2994394	2539316	-	1	false
40	bolter	2994394	1830566	-	1	false
41	bolter	2994394	518617	-	1	false
42	bolter	2994394	805099	-	1	false
43	bolter	2994394	831586	-	1	false
44	bolter	2994394	1158518	-	1	false
45	bolter	2994394	2495640	-	1	false
46	bolter	2994394	403366	-	1	false
47	bolter	2994394	1246664	-	1	false
48	bolter	2994394	2859905	-	1	false
49	bolter	2994394	1961249	-	1	false
50	bolter	2994394	2018166	-	1	false
51	bolter	2994394	1855528	-	1	false
52	bolter	2994394	2943708	-	1	false
53	bolter	2994394	1038879	-	1	false
54	bolter	2994394	1926846	-	1	false
55	bolter	2994394	2824586	-	1	false
56	bolter	2994394	2264475	-	1	false
57	bolter	2994394	1595268	-	1	false
58	bolter	2994394	921345	-	1	false
59	bolter	2994394	2686495	-	1	false
60	bolter	2994394	1762904	-	1	false
61	bolter	2994394	394081	-	1	false
62	bolter	2994394	1827461	-	1	false
63	bolter	2994394	2248563	-	1	false
64	bolter	2994394	1645842	-	1	false
65	bolter	2994394	2174050	-	1	false
66	bolter	2994394	2963883	-	1	false
67	bolter	2994394	2692606	-	1	false
68	bolter	2994394	948208	-	1	false
69	bolter	2994394	2549552	-	1	false
70	bolter	2994394	2667633	-	1	false
71	bolter	2994394	2638075	-	1	false
72	bolter	2994394	2061066	-	1	false
73	bolter	2994394	1803046	-	1	false
74	bolter	2994394	2933248	-	1	false
75	bolter	2994394	187125	-	1	false
76	bolter	2994394	1512737	-	1	false
77	bolter	2994394	1794376	-	1	false
78	bolter	2994394	343812	-	1	false
79	bolter	2994394	1028094	-	1	false
80	bolter	2994394	228155	-	1	false
81	bolter	2994394	441879	-	1	false
82	bolter	2994394	1486138	-	1	false
83	bolter	2994394	843259	-	1	false
84	bolter	2994394	2068623	-	1	false
85	bolter	2994394	555376	-	1	false
86	bolter	2994394	2582061	-	1	false
87	bolter	2994394	651906	-	1	false
88	bolter	2994394	277438	-	1	false
89	bolter	2994394	1267428	-	1	false
90	bolter	2994394	249638	-	1	false
91	bolter	2994394	2667118	-	1	false
92	bolter	2994394	2035885	-	1	false
93	bolter	2994394	1341297	-	1	false
94	bolter	2994394	2341739	-	1	false
95	bolter	2994394	240437	-	1	false
96	bolter	2994394	2258465	-	1	false
97	bolter	2994394	502774	-	1	false
98	bolter	2994394	2092995	-	1	false
99	bolter	2994394	1074174	-	1	false
