# seed=42 mode=shotgun file=corpus_xorshift.hqx filesize=13664
trial	mode	filesize	off	bit	span	detected
0	shotgun	13664	1915	-	4096	true
1	shotgun	13664	3981	-	4096	true
2	shotgun	13664	3845	-	4096	true
3	shotgun	13664	2317	-	4096	true
4	shotgun	13664	3699	-	4096	true
5	shotgun	13664	2236	-	4096	true
6	shotgun	13664	3169	-	4096	true
7	shotgun	13664	4112	-	4096	true
8	shotgun	13664	8143	-	4096	true
9	shotgun	13664	3127	-	4096	true
10	shotgun	13664	8829	-	4096	true
11	shotgun	13664	4882	-	4096	true
12	shotgun	13664	3013	-	4096	true
13	shotgun	13664	3441	-	4096	true
14	shotgun	13664	8930	-	4096	true
15	shotgun	13664	4767	-	4096	true
16	shotgun	13664	5250	-	4096	true
17	shotgun	13664	1987	-	4096	true
18	shotgun	13664	8205	-	4096	true
19	shotgun	13664	1450	-	4096	true
20	shotgun	13664	6876	-	4096	true
21	shotgun	13664	4314	-	4096	true
22	shotgun	13664	7199	-	4096	true
23	shotgun	13664	9115	-	4096	true
24	shotgun	13664	1723	-	4096	true
25	shotgun	13664	191	-	4096	true
26	shotgun	13664	4782	-	4096	true
27	shotgun	13664	8782	-	4096	true
28	shotgun	13664	7789	-	4096	true
29	shotgun	13664	3675	-	4096	true
30	shotgun	13664	4481	-	4096	true
31	shotgun	13664	3087	-	4096	true
32	shotgun	13664	1566	-	4096	true
33	shotgun	13664	3060	-	4096	true
34	shotgun	13664	7504	-	4096	true
35	shotgun	13664	6373	-	4096	true
36	shotgun	13664	6890	-	4096	true
37	shotgun	13664	7791	-	4096	true
38	shotgun	13664	8547	-	4096	true
39	shotgun	13664	3230	-	4096	true
40	shotgun	13664	4971	-	4096	true
41	shotgun	13664	4483	-	4096	true
42	shotgun	13664	8106	-	4096	true
43	shotgun	13664	4862	-	4096	true
44	shotgun	13664	9506	-	4096	true
45	shotgun	13664	2135	-	4096	true
46	shotgun	13664	444	-	4096	true
47	shotgun	13664	7047	-	4096	true
48	shotgun	13664	9421	-	4096	true
49	shotgun	13664	6397	-	4096	true
50	shotgun	13664	5844	-	4096	true
51	shotgun	13664	7820	-	4096	true
52	shotgun	13664	6514	-	4096	true
53	shotgun	13664	9189	-	4096	true
54	shotgun	13664	9484	-	4096	true
55	shotgun	13664	8603	-	4096	true
56	shotgun	13664	8717	-	4096	true
57	shotgun	13664	2825	-	4096	true
58	shotgun	13664	2610	-	4096	true
59	shotgun	13664	1325	-	4096	true
60	shotgun	13664	1062	-	4096	true
61	shotgun	13664	2549	-	4096	true
62	shotgun	13664	4795	-	4096	true
63	shotgun	13664	2379	-	4096	true
64	shotgun	13664	185	-	4096	true
65	shotgun	13664	6368	-	4096	true
66	shotgun	13664	7467	-	4096	true
67	shotgun	13664	707	-	4096	true
68	shotgun	13664	142	-	4096	true
69	shotgun	13664	3161	-	4096	true
70	shotgun	13664	1704	-	4096	true
71	shotgun	13664	5569	-	4096	true
72	shotgun	13664	1837	-	4096	true
73	shotgun	13664	300	-	4096	true
74	shotgun	13664	2390	-	4096	true
75	shotgun	13664	5896	-	4096	true
76	shotgun	13664	7641	-	4096	true
77	shotgun	13664	2851	-	4096	true
78	shotgun	13664	727	-	4096	true
79	shotgun	13664	3634	-	4096	true
80	shotgun	13664	552	-	4096	true
81	shotgun	13664	7698	-	4096	true
82	shotgun	13664	2703	-	4096	true
83	shotgun	13664	1850	-	4096	true
84	shotgun	13664	5300	-	4096	true
85	shotgun	13664	7122	-	4096	true
86	shotgun	13664	2161	-	4096	true
87	shotgun	13664	3498	-	4096	true
88	shotgun	13664	4497	-	4096	true
89	shotgun	13664	4695	-	4096	true
90	shotgun	13664	6931	-	4096	true
91	shotgun	13664	9082	-	4096	true
92	shotgun	13664	2360	-	4096	true
93	shotgun	13664	656	-	4096	true
94	shotgun	13664	5080	-	4096	true
95	shotgun	13664	5203	-	4096	true
96	shotgun	13664	6294	-	4096	true
97	shotgun	13664	4228	-	4096	true
98	shotgun	13664	5748	-	4096	true
99	shotgun	13664	5517	-	4096	true
