# seed=42 mode=sniper file=corpus_xorshift.hqx filesize=13664
trial	mode	filesize	off	bit	span	detected
0	sniper	13664	6934	1	1	true
1	sniper	13664	12379	3	1	true
2	sniper	13664	1389	2	1	true
3	sniper	13664	652	7	1	true
4	sniper	13664	8712	5	1	true
5	sniper	13664	8441	1	1	true
6	sniper	13664	2268	6	1	true
7	sniper	13664	3025	3	1	true
8	sniper	13664	7514	4	1	true
9	sniper	13664	10947	4	1	true
10	sniper	13664	2056	7	1	true
11	sniper	13664	7472	3	1	true
12	sniper	13664	739	1	1	true
13	sniper	13664	10058	3	1	true
14	sniper	13664	852	0	1	true
15	sniper	13664	4656	3	1	true
16	sniper	13664	12406	6	1	true
17	sniper	13664	1493	0	1	true
18	sniper	13664	11386	7	1	true
19	sniper	13664	1654	6	1	true
20	sniper	13664	7522	3	1	true
21	sniper	13664	8655	4	1	true
22	sniper	13664	2126	2	1	true
23	sniper	13664	6330	0	1	true
24	sniper	13664	3033	5	1	true
25	sniper	13664	12662	0	1	true
26	sniper	13664	7074	5	1	true
27	sniper	13664	4226	4	1	true
28	sniper	13664	6223	4	1	true
29	sniper	13664	11471	7	1	true
30	sniper	13664	4712	1	1	true
31	sniper	13664	11313	3	1	true
32	sniper	13664	928	0	1	true
33	sniper	13664	5659	0	1	true
34	sniper	13664	8266	4	1	true
35	sniper	13664	11391	7	1	true
36	sniper	13664	3636	6	1	true
37	sniper	13664	1332	5	1	true
38	sniper	13664	5243	6	1	true
39	sniper	13664	8736	0	1	true
40	sniper	13664	3291	7	1	true
41	sniper	13664	8094	7	1	true
42	sniper	13664	5585	6	1	true
43	sniper	13664	7037	0	1	true
44	sniper	13664	8306	0	1	true
45	sniper	13664	10526	6	1	true
46	sniper	13664	5385	3	1	true
47	sniper	13664	13553	5	1	true
48	sniper	13664	5831	2	1	true
49	sniper	13664	10541	2	1	true
50	sniper	13664	2297	2	1	true
51	sniper	13664	3669	3	1	true
52	sniper	13664	6648	7	1	true
53	sniper	13664	8646	2	1	true
54	sniper	13664	3140	6	1	true
55	sniper	13664	4255	7	1	true
56	sniper	13664	11643	6	1	true
57	sniper	13664	13613	6	1	true
58	sniper	13664	6679	1	1	true
59	sniper	13664	11987	2	1	true
60	sniper	13664	9513	4	1	true
61	sniper	13664	12750	2	1	true
62	sniper	13664	8820	5	1	true
63	sniper	13664	11374	7	1	true
64	sniper	13664	794	0	1	true
65	sniper	13664	4292	0	1	true
66	sniper	13664	7889	3	1	true
67	sniper	13664	11922	7	1	true
68	sniper	13664	7006	1	1	true
69	sniper	13664	987	3	1	true
70	sniper	13664	11579	2	1	true
71	sniper	13664	253	6	1	true
72	sniper	13664	12717	2	1	true
73	sniper	13664	7141	4	1	true
74	sniper	13664	3453	2	1	true
75	sniper	13664	6837	2	1	true
76	sniper	13664	5104	0	1	true
77	sniper	13664	13021	4	1	true
78	sniper	13664	7931	2	1	true
79	sniper	13664	13474	4	1	true
80	sniper	13664	7371	2	1	true
81	sniper	13664	12045	3	1	true
82	sniper	13664	8773	0	1	true
83	sniper	13664	9437	2	1	true
84	sniper	13664	7232	2	1	true
85	sniper	13664	3103	3	1	true
86	sniper	13664	8411	6	1	true
87	sniper	13664	8102	6	1	true
88	sniper	13664	10310	0	1	true
89	sniper	13664	5758	5	1	true
90	sniper	13664	100	6	1	true
91	sniper	13664	6377	4	1	true
92	sniper	13664	2633	2	1	true
93	sniper	13664	4089	3	1	true
94	sniper	13664	12985	4	1	true
95	sniper	13664	10321	7	1	true
96	sniper	13664	13633	6	1	true
97	sniper	13664	4597	2	1	true
98	sniper	13664	2883	0	1	true
99	sniper	13664	13114	7	1	true
