# seed=42 mode=bolter file=sample.ico filesize=232423
trial	mode	filesize	off	bit	span	detected
0	bolter	232423	211470	-	1	false
1	bolter	232423	203534	-	1	false
2	bolter	232423	178995	-	1	false
3	bolter	232423	210864	-	1	false
4	bolter	232423	121475	-	1	true
5	bolter	232423	211066	-	1	false
6	bolter	232423	119193	-	1	true
7	bolter	232423	185305	-	1	false
8	bolter	232423	232048	-	1	false
9	bolter	232423	78017	-	1	true
10	bolter	232423	56713	-	1	true
11	bolter	232423	222144	-	1	false
12	bolter	232423	131734	-	1	true
13	bolter	232423	149911	-	1	false
14	bolter	232423	135752	-	1	false
15	bolter	232423	24572	-	1	true
16	bolter	232423	57242	-	1	true
17	bolter	232423	204683	-	1	false
18	bolter	232423	23272	-	1	true
19	bolter	232423	145651	-	1	false
20	bolter	232423	71151	-	1	true
21	bolter	232423	25874	-	1	true
22	bolter	232423	168633	-	1	false
23	bolter	232423	3736	-	1	true
24	bolter	232423	97020	-	1	true
25	bolter	232423	76110	-	1	true
26	bolter	232423	1970	-	1	true
27	bolter	232423	179709	-	1	false
28	bolter	232423	56643	-	1	true
29	bolter	232423	186013	-	1	false
30	bolter	232423	165617	-	1	false
31	bolter	232423	123613	-	1	true
32	bolter	232423	34409	-	1	true
33	bolter	232423	71402	-	1	true
34	bolter	232423	89120	-	1	true
35	bolter	232423	5729	-	1	true
36	bolter	232423	41845	-	1	true
37	bolter	232423	182357	-	1	false
38	bolter	232423	130985	-	1	true
39	bolter	232423	175703	-	1	false
40	bolter	232423	54195	-	1	true
41	bolter	232423	158601	-	1	false
42	bolter	232423	193867	-	1	false
43	bolter	232423	160571	-	1	false
44	bolter	232423	198321	-	1	false
45	bolter	232423	137315	-	1	false
46	bolter	232423	96143	-	1	true
47	bolter	232423	45071	-	1	true
48	bolter	232423	206730	-	1	false
49	bolter	232423	165990	-	1	false
50	bolter	232423	166714	-	1	false
51	bolter	232423	87279	-	1	true
52	bolter	232423	189669	-	1	false
53	bolter	232423	67631	-	1	true
54	bolter	232423	76906	-	1	true
55	bolter	232423	43537	-	1	true
56	bolter	232423	112129	-	1	true
57	bolter	232423	104208	-	1	true
58	bolter	232423	48222	-	1	true
59	bolter	232423	179896	-	1	false
60	bolter	232423	125648	-	1	true
61	bolter	232423	85726	-	1	true
62	bolter	232423	87263	-	1	true
63	bolter	232423	161383	-	1	false
64	bolter	232423	166304	-	1	false
65	bolter	232423	159402	-	1	false
66	bolter	232423	33519	-	1	true
67	bolter	232423	188746	-	1	false
68	bolter	232423	152529	-	1	false
69	bolter	232423	118695	-	1	true
70	bolter	232423	3787	-	1	true
71	bolter	232423	125998	-	1	true
72	bolter	232423	152665	-	1	false
73	bolter	232423	168434	-	1	false
74	bolter	232423	74660	-	1	true
75	bolter	232423	215928	-	1	false
76	bolter	232423	107999	-	1	true
77	bolter	232423	190174	-	1	false
78	bolter	232423	148975	-	1	false
79	bolter	232423	195300	-	1	false
80	bolter	232423	34830	-	1	true
81	bolter	232423	37663	-	1	true
82	bolter	232423	12834	-	1	true
83	bolter	232423	225698	-	1	false
84	bolter	232423	10341	-	1	true
85	bolter	232423	158055	-	1	false
86	bolter	232423	128160	-	1	true
87	bolter	232423	214446	-	1	false
88	bolter	232423	12998	-	1	true
89	bolter	232423	155177	-	1	false
90	bolter	232423	76523	-	1	true
91	bolter	232423	222851	-	1	false
92	bolter	232423	30776	-	1	true
93	bolter	232423	100982	-	1	true
94	bolter	232423	69451	-	1	true
95	bolter	232423	148922	-	1	false
96	bolter	232423	3082	-	1	true
97	bolter	232423	78538	-	1	true
98	bolter	232423	158716	-	1	false
99	bolter	232423	86587	-	1	true
