# seed=42 mode=sniper file=sample.iff filesize=232
trial	mode	filesize	off	bit	span	detected
0	sniper	232	150	1	1	true
1	sniper	232	59	3	1	false
2	sniper	232	133	2	1	false
3	sniper	232	76	7	1	false
4	sniper	232	72	5	1	false
5	sniper	232	153	1	1	false
6	sniper	232	204	6	1	true
7	sniper	232	97	3	1	true
8	sniper	232	170	4	1	true
9	sniper	232	163	4	1	false
10	sniper	232	80	7	1	false
11	sniper	232	224	3	1	true
12	sniper	232	195	1	1	false
13	sniper	232	146	3	1	true
14	sniper	232	84	0	1	false
15	sniper	232	152	3	1	true
16	sniper	232	46	6	1	true
17	sniper	232	189	0	1	false
18	sniper	232	18	7	1	true
19	sniper	232	110	6	1	true
20	sniper	232	98	3	1	true
21	sniper	232	159	4	1	false
22	sniper	232	214	2	1	true
23	sniper	232	74	0	1	false
24	sniper	232	1	5	1	true
25	sniper	232	206	0	1	true
26	sniper	232	98	5	1	true
27	sniper	232	106	4	1	true
28	sniper	232	191	4	1	false
29	sniper	232	111	7	1	false
30	sniper	232	160	1	1	true
31	sniper	232	17	3	1	true
32	sniper	232	32	0	1	false
33	sniper	232	3	0	1	true
34	sniper	232	130	4	1	true
35	sniper	232	7	7	1	true
36	sniper	232	52	6	1	false
37	sniper	232	212	5	1	true
38	sniper	232	171	6	1	false
39	sniper	232	136	0	1	true
40	sniper	232	59	7	1	false
41	sniper	232	230	7	1	true
42	sniper	232	73	6	1	false
43	sniper	232	173	0	1	false
44	sniper	232	226	0	1	true
45	sniper	232	118	6	1	true
46	sniper	232	9	3	1	false
47	sniper	232	41	5	1	false
48	sniper	232	159	2	1	false
49	sniper	232	197	2	1	false
50	sniper	232	129	2	1	false
51	sniper	232	133	3	1	false
52	sniper	232	104	7	1	true
53	sniper	232	222	2	1	true
54	sniper	232	188	6	1	true
55	sniper	232	47	7	1	true
56	sniper	232	75	6	1	false
57	sniper	232	69	6	1	false
58	sniper	232	111	1	1	false
59	sniper	232	115	2	1	false
60	sniper	232	57	4	1	false
61	sniper	232	38	2	1	false
62	sniper	232	228	5	1	true
63	sniper	232	198	7	1	true
64	sniper	232	26	0	1	false
65	sniper	232	156	0	1	true
66	sniper	232	97	3	1	true
67	sniper	232	98	7	1	true
68	sniper	232	54	1	1	false
69	sniper	232	227	3	1	false
70	sniper	232	3	2	1	true
71	sniper	232	85	6	1	false
72	sniper	232	157	2	1	false
73	sniper	232	5	4	1	true
74	sniper	232	29	2	1	true
75	sniper	232	125	2	1	false
76	sniper	232	152	0	1	true
77	sniper	232	13	4	1	true
78	sniper	232	131	2	1	false
79	sniper	232	162	4	1	true
80	sniper	232	203	2	1	false
81	sniper	232	93	3	1	false
82	sniper	232	157	0	1	false
83	sniper	232	149	2	1	false
84	sniper	232	208	2	1	true
85	sniper	232	207	3	1	false
86	sniper	232	203	6	1	false
87	sniper	232	22	6	1	true
88	sniper	232	86	0	1	false
89	sniper	232	142	5	1	true
90	sniper	232	220	6	1	true
91	sniper	232	161	4	1	false
92	sniper	232	121	2	1	false
93	sniper	232	169	3	1	false
94	sniper	232	153	4	1	false
95	sniper	232	89	7	1	false
96	sniper	232	73	6	1	false
97	sniper	232	133	2	1	false
98	sniper	232	107	0	1	false
99	sniper	232	194	7	1	true
