# seed=42 mode=shotgun file=sample.indd filesize=4096
trial	mode	filesize	off	bit	span	detected
0	shotgun	4096	0	-	4096	true
1	shotgun	4096	0	-	4096	false
2	shotgun	4096	0	-	4096	true
3	shotgun	4096	0	-	4096	true
4	shotgun	4096	0	-	4096	false
5	shotgun	4096	0	-	4096	true
6	shotgun	4096	0	-	4096	false
7	shotgun	4096	0	-	4096	false
8	shotgun	4096	0	-	4096	true
9	shotgun	4096	0	-	4096	true
10	shotgun	4096	0	-	4096	true
11	shotgun	4096	0	-	4096	true
12	shotgun	4096	0	-	4096	true
13	shotgun	4096	0	-	4096	true
14	shotgun	4096	0	-	4096	true
15	shotgun	4096	0	-	4096	true
16	shotgun	4096	0	-	4096	false
17	shotgun	4096	0	-	4096	true
18	shotgun	4096	0	-	4096	true
19	shotgun	4096	0	-	4096	false
20	shotgun	4096	0	-	4096	true
21	shotgun	4096	0	-	4096	false
22	shotgun	4096	0	-	4096	true
23	shotgun	4096	0	-	4096	true
24	shotgun	4096	0	-	4096	true
25	shotgun	4096	0	-	4096	false
26	shotgun	4096	0	-	4096	true
27	shotgun	4096	0	-	4096	false
28	shotgun	4096	0	-	4096	false
29	shotgun	4096	0	-	4096	true
30	shotgun	4096	0	-	4096	true
31	shotgun	4096	0	-	4096	false
32	shotgun	4096	0	-	4096	false
33	shotgun	4096	0	-	4096	true
34	shotgun	4096	0	-	4096	false
35	shotgun	4096	0	-	4096	true
36	shotgun	4096	0	-	4096	true
37	shotgun	4096	0	-	4096	false
38	shotgun	4096	0	-	4096	true
39	shotgun	4096	0	-	4096	true
40	shotgun	4096	0	-	4096	true
41	shotgun	4096	0	-	4096	true
42	shotgun	4096	0	-	4096	false
43	shotgun	4096	0	-	4096	true
44	shotgun	4096	0	-	4096	false
45	shotgun	4096	0	-	4096	true
46	shotgun	4096	0	-	4096	true
47	shotgun	4096	0	-	4096	true
48	shotgun	4096	0	-	4096	true
49	shotgun	4096	0	-	4096	true
50	shotgun	4096	0	-	4096	false
51	shotgun	4096	0	-	4096	false
52	shotgun	4096	0	-	4096	true
53	shotgun	4096	0	-	4096	false
54	shotgun	4096	0	-	4096	false
55	shotgun	4096	0	-	4096	true
56	shotgun	4096	0	-	4096	true
57	shotgun	4096	0	-	4096	true
58	shotgun	4096	0	-	4096	true
59	shotgun	4096	0	-	4096	true
60	shotgun	4096	0	-	4096	true
61	shotgun	4096	0	-	4096	true
62	shotgun	4096	0	-	4096	true
63	shotgun	4096	0	-	4096	true
64	shotgun	4096	0	-	4096	false
65	shotgun	4096	0	-	4096	true
66	shotgun	4096	0	-	4096	true
67	shotgun	4096	0	-	4096	true
68	shotgun	4096	0	-	4096	true
69	shotgun	4096	0	-	4096	true
70	shotgun	4096	0	-	4096	true
71	shotgun	4096	0	-	4096	true
72	shotgun	4096	0	-	4096	true
73	shotgun	4096	0	-	4096	false
74	shotgun	4096	0	-	4096	true
75	shotgun	4096	0	-	4096	false
76	shotgun	4096	0	-	4096	true
77	shotgun	4096	0	-	4096	true
78	shotgun	4096	0	-	4096	true
79	shotgun	4096	0	-	4096	true
80	shotgun	4096	0	-	4096	false
81	shotgun	4096	0	-	4096	true
82	shotgun	4096	0	-	4096	false
83	shotgun	4096	0	-	4096	true
84	shotgun	4096	0	-	4096	false
85	shotgun	4096	0	-	4096	false
86	shotgun	4096	0	-	4096	true
87	shotgun	4096	0	-	4096	true
88	shotgun	4096	0	-	4096	true
89	shotgun	4096	0	-	4096	true
90	shotgun	4096	0	-	4096	true
91	shotgun	4096	0	-	4096	true
92	shotgun	4096	0	-	4096	true
93	shotgun	4096	0	-	4096	true
94	shotgun	4096	0	-	4096	true
95	shotgun	4096	0	-	4096	true
96	shotgun	4096	0	-	4096	true
97	shotgun	4096	0	-	4096	true
98	shotgun	4096	0	-	4096	true
99	shotgun	4096	0	-	4096	true
