# seed=42 mode=sniper file=sample.iso filesize=358400
trial	mode	filesize	off	bit	span	detected
0	sniper	358400	109526	1	1	false
1	sniper	358400	33435	3	1	false
2	sniper	358400	310957	2	1	false
3	sniper	358400	51500	7	1	false
4	sniper	358400	55304	5	1	false
5	sniper	358400	44505	1	1	false
6	sniper	358400	136668	6	1	false
7	sniper	358400	59473	3	1	false
8	sniper	358400	176858	4	1	false
9	sniper	358400	221731	4	1	false
10	sniper	358400	134216	7	1	false
11	sniper	358400	282320	3	1	false
12	sniper	358400	263043	1	1	false
13	sniper	358400	326570	3	1	false
14	sniper	358400	112404	0	1	false
15	sniper	358400	24816	3	1	false
16	sniper	358400	237750	6	1	false
17	sniper	358400	176885	0	1	false
18	sniper	358400	16538	7	1	false
19	sniper	358400	9942	6	1	false
20	sniper	358400	39330	3	1	false
21	sniper	358400	182255	4	1	false
22	sniper	358400	303854	2	1	false
23	sniper	358400	306490	0	1	false
24	sniper	358400	245401	5	1	false
25	sniper	358400	55446	0	1	false
26	sniper	358400	136994	5	1	false
27	sniper	358400	10722	4	1	false
28	sniper	358400	107471	4	1	false
29	sniper	358400	79343	7	1	false
30	sniper	358400	153672	1	1	false
31	sniper	358400	329841	3	1	false
32	sniper	358400	36992	0	1	false
33	sniper	358400	121243	0	1	false
34	sniper	358400	265642	4	1	false
35	sniper	358400	64031	7	1	false
36	sniper	358400	192916	6	1	false
37	sniper	358400	94292	5	1	false
38	sniper	358400	763	6	1	false
39	sniper	358400	11200	0	1	false
40	sniper	358400	300539	7	1	false
41	sniper	358400	41022	7	1	false
42	sniper	358400	290513	6	1	false
43	sniper	358400	125533	0	1	false
44	sniper	358400	92978	0	1	false
45	sniper	358400	284254	6	1	false
46	sniper	358400	84681	3	1	false
47	sniper	358400	46257	5	1	false
48	sniper	358400	115815	2	1	false
49	sniper	358400	106861	2	1	false
50	sniper	358400	84057	2	1	false
51	sniper	358400	293973	3	1	false
52	sniper	358400	130744	7	1	false
53	sniper	358400	291334	2	1	false
54	sniper	358400	292100	6	1	false
55	sniper	358400	340255	7	1	false
56	sniper	358400	128571	6	1	false
57	sniper	358400	264493	6	1	false
58	sniper	358400	161015	1	1	false
59	sniper	358400	135859	2	1	false
60	sniper	358400	353577	4	1	false
61	sniper	358400	15214	2	1	false
62	sniper	358400	306292	5	1	false
63	sniper	358400	157198	7	1	false
64	sniper	358400	257946	0	1	false
65	sniper	358400	32068	0	1	false
66	sniper	358400	220017	3	1	false
67	sniper	358400	56498	7	1	false
68	sniper	358400	104670	1	1	false
69	sniper	358400	295995	3	1	false
70	sniper	358400	243419	2	1	false
71	sniper	358400	257629	6	1	false
72	sniper	358400	84845	2	1	false
73	sniper	358400	33797	4	1	false
74	sniper	358400	177725	2	1	false
75	sniper	358400	356501	2	1	false
76	sniper	358400	292496	0	1	false
77	sniper	358400	181021	4	1	false
78	sniper	358400	354011	2	1	false
79	sniper	358400	79554	4	1	false
80	sniper	358400	342251	2	1	false
81	sniper	358400	291821	3	1	false
82	sniper	358400	272421	0	1	false
83	sniper	358400	147869	2	1	false
84	sniper	358400	246912	2	1	false
85	sniper	358400	126751	3	1	false
86	sniper	358400	15579	6	1	false
87	sniper	358400	88518	6	1	false
88	sniper	358400	264550	0	1	false
89	sniper	358400	245662	5	1	false
90	sniper	358400	302948	6	1	false
91	sniper	358400	207977	4	1	false
92	sniper	358400	55049	2	1	false
93	sniper	358400	134681	3	1	false
94	sniper	358400	38073	4	1	false
95	sniper	358400	200721	7	1	false
96	sniper	358400	216353	6	1	false
97	sniper	358400	88373	2	1	false
98	sniper	358400	311555	0	1	false
99	sniper	358400	116826	7	1	false
