# seed=42 mode=sniper file=Hello.class filesize=397
trial	mode	filesize	off	bit	span	detected
0	sniper	397	12	1	1	false
1	sniper	397	124	3	1	true
2	sniper	397	98	2	1	false
3	sniper	397	80	7	1	false
4	sniper	397	150	5	1	false
5	sniper	397	79	1	1	false
6	sniper	397	69	6	1	false
7	sniper	397	14	3	1	false
8	sniper	397	125	4	1	false
9	sniper	397	121	4	1	false
10	sniper	397	276	7	1	false
11	sniper	397	225	3	1	false
12	sniper	397	168	1	1	false
13	sniper	397	157	3	1	false
14	sniper	397	39	0	1	false
15	sniper	397	384	3	1	false
16	sniper	397	142	6	1	false
17	sniper	397	181	0	1	false
18	sniper	397	323	7	1	false
19	sniper	397	292	6	1	true
20	sniper	397	123	3	1	true
21	sniper	397	383	4	1	false
22	sniper	397	224	2	1	false
23	sniper	397	106	0	1	false
24	sniper	397	197	5	1	false
25	sniper	397	212	0	1	false
26	sniper	397	127	5	1	false
27	sniper	397	340	4	1	false
28	sniper	397	53	4	1	true
29	sniper	397	351	7	1	true
30	sniper	397	50	1	1	false
31	sniper	397	317	3	1	false
32	sniper	397	165	0	1	true
33	sniper	397	339	0	1	false
34	sniper	397	125	4	1	false
35	sniper	397	107	7	1	false
36	sniper	397	310	6	1	true
37	sniper	397	302	5	1	false
38	sniper	397	360	6	1	false
39	sniper	397	213	0	1	false
40	sniper	397	221	7	1	false
41	sniper	397	62	7	1	true
42	sniper	397	289	6	1	false
43	sniper	397	9	0	1	true
44	sniper	397	346	0	1	true
45	sniper	397	337	6	1	false
46	sniper	397	171	3	1	false
47	sniper	397	380	5	1	false
48	sniper	397	52	2	1	true
49	sniper	397	133	2	1	false
50	sniper	397	309	2	1	true
51	sniper	397	303	3	1	true
52	sniper	397	341	7	1	false
53	sniper	397	362	2	1	false
54	sniper	397	35	6	1	false
55	sniper	397	8	7	1	true
56	sniper	397	305	6	1	false
57	sniper	397	52	6	1	true
58	sniper	397	282	1	1	false
59	sniper	397	182	2	1	false
60	sniper	397	3	4	1	true
61	sniper	397	339	2	1	false
62	sniper	397	142	5	1	false
63	sniper	397	50	7	1	false
64	sniper	397	165	0	1	true
65	sniper	397	361	0	1	false
66	sniper	397	31	3	1	false
67	sniper	397	359	7	1	false
68	sniper	397	260	1	1	true
69	sniper	397	394	3	1	false
70	sniper	397	128	2	1	false
71	sniper	397	106	6	1	false
72	sniper	397	13	2	1	false
73	sniper	397	200	4	1	false
74	sniper	397	388	2	1	false
75	sniper	397	275	2	1	false
76	sniper	397	396	0	1	false
77	sniper	397	280	4	1	false
78	sniper	397	257	2	1	false
79	sniper	397	150	4	1	false
80	sniper	397	53	2	1	true
81	sniper	397	237	3	1	false
82	sniper	397	334	0	1	false
83	sniper	397	192	2	1	false
84	sniper	397	225	2	1	false
85	sniper	397	241	3	1	false
86	sniper	397	391	6	1	false
87	sniper	397	14	6	1	false
88	sniper	397	259	0	1	true
89	sniper	397	43	5	1	true
90	sniper	397	299	6	1	false
91	sniper	397	186	4	1	false
92	sniper	397	262	2	1	false
93	sniper	397	35	3	1	false
94	sniper	397	249	4	1	false
95	sniper	397	115	7	1	false
96	sniper	397	368	6	1	false
97	sniper	397	286	2	1	false
98	sniper	397	321	0	1	false
99	sniper	397	225	7	1	false
