# seed=42 mode=sniper file=annex-h-truncated.jbig2 filesize=860
trial	mode	filesize	off	bit	span	detected
0	sniper	860	686	1	1	false
1	sniper	860	135	3	1	false
2	sniper	860	617	2	1	false
3	sniper	860	580	7	1	false
4	sniper	860	304	5	1	false
5	sniper	860	725	1	1	false
6	sniper	860	808	6	1	false
7	sniper	860	293	3	1	false
8	sniper	860	358	4	1	false
9	sniper	860	251	4	1	false
10	sniper	860	436	7	1	false
11	sniper	860	340	3	1	false
12	sniper	860	803	1	1	false
13	sniper	860	790	3	1	false
14	sniper	860	844	0	1	false
15	sniper	860	736	3	1	false
16	sniper	860	850	6	1	false
17	sniper	860	445	0	1	false
18	sniper	860	598	7	1	false
19	sniper	860	282	6	1	false
20	sniper	860	750	3	1	false
21	sniper	860	275	4	1	false
22	sniper	860	574	2	1	false
23	sniper	860	370	0	1	false
24	sniper	860	561	5	1	false
25	sniper	860	186	0	1	false
26	sniper	860	494	5	1	false
27	sniper	860	822	4	1	false
28	sniper	860	791	4	1	false
29	sniper	860	603	7	1	false
30	sniper	860	632	1	1	false
31	sniper	860	341	3	1	false
32	sniper	860	232	0	1	false
33	sniper	860	603	0	1	false
34	sniper	860	322	4	1	false
35	sniper	860	411	7	1	false
36	sniper	860	616	6	1	false
37	sniper	860	712	5	1	false
38	sniper	860	83	6	1	false
39	sniper	860	20	0	1	false
40	sniper	860	399	7	1	false
41	sniper	860	182	7	1	false
42	sniper	860	93	6	1	false
43	sniper	860	253	0	1	false
44	sniper	860	198	0	1	false
45	sniper	860	634	6	1	false
46	sniper	860	581	3	1	false
47	sniper	860	737	5	1	false
48	sniper	860	235	2	1	false
49	sniper	860	741	2	1	false
50	sniper	860	737	2	1	false
51	sniper	860	193	3	1	false
52	sniper	860	364	7	1	false
53	sniper	860	374	2	1	false
54	sniper	860	80	6	1	false
55	sniper	860	55	7	1	false
56	sniper	860	671	6	1	false
57	sniper	860	573	6	1	false
58	sniper	860	375	1	1	false
59	sniper	860	659	2	1	false
60	sniper	860	557	4	1	false
61	sniper	860	774	2	1	false
62	sniper	860	412	5	1	false
63	sniper	860	818	7	1	false
64	sniper	860	586	0	1	false
65	sniper	860	128	0	1	false
66	sniper	860	77	3	1	false
67	sniper	860	818	7	1	false
68	sniper	860	30	1	1	false
69	sniper	860	755	3	1	false
70	sniper	860	839	2	1	false
71	sniper	860	589	6	1	false
72	sniper	860	345	2	1	false
73	sniper	860	717	4	1	false
74	sniper	860	45	2	1	false
75	sniper	860	541	2	1	false
76	sniper	860	16	0	1	false
77	sniper	860	801	4	1	false
78	sniper	860	851	2	1	false
79	sniper	860	274	4	1	false
80	sniper	860	31	2	1	false
81	sniper	860	601	3	1	false
82	sniper	860	381	0	1	false
83	sniper	860	329	2	1	false
84	sniper	860	212	2	1	false
85	sniper	860	351	3	1	false
86	sniper	860	639	6	1	false
87	sniper	860	138	6	1	false
88	sniper	860	830	0	1	false
89	sniper	860	422	5	1	false
90	sniper	860	248	6	1	false
91	sniper	860	757	4	1	false
92	sniper	860	129	2	1	false
93	sniper	860	261	3	1	false
94	sniper	860	133	4	1	false
95	sniper	860	81	7	1	false
96	sniper	860	333	6	1	false
97	sniper	860	33	2	1	false
98	sniper	860	295	0	1	false
99	sniper	860	266	7	1	false
