# seed=42 mode=shotgun file=balloon_eciRGB_icc.jp2 filesize=1864443
trial	mode	filesize	off	bit	span	detected
0	shotgun	1864443	376142	-	4096	true
1	shotgun	1864443	823807	-	4096	true
2	shotgun	1864443	1179075	-	4096	true
3	shotgun	1864443	1483748	-	4096	true
4	shotgun	1864443	1315485	-	4096	true
5	shotgun	1864443	623038	-	4096	true
6	shotgun	1864443	1388889	-	4096	true
7	shotgun	1864443	581542	-	4096	false
8	shotgun	1864443	199019	-	4096	true
9	shotgun	1864443	267482	-	4096	true
10	shotgun	1864443	1039145	-	4096	true
11	shotgun	1864443	914917	-	4096	true
12	shotgun	1864443	1505689	-	4096	true
13	shotgun	1864443	1551106	-	4096	true
14	shotgun	1864443	1266228	-	4096	true
15	shotgun	1864443	1272691	-	4096	true
16	shotgun	1864443	932029	-	4096	true
17	shotgun	1864443	1357950	-	4096	true
18	shotgun	1864443	1850493	-	4096	true
19	shotgun	1864443	1047215	-	4096	true
20	shotgun	1864443	112807	-	4096	true
21	shotgun	1864443	205928	-	4096	true
22	shotgun	1864443	691827	-	4096	true
23	shotgun	1864443	1307727	-	4096	true
24	shotgun	1864443	1651427	-	4096	true
25	shotgun	1864443	1242019	-	4096	false
26	shotgun	1864443	1405979	-	4096	true
27	shotgun	1864443	1633741	-	4096	true
28	shotgun	1864443	1344705	-	4096	true
29	shotgun	1864443	1371083	-	4096	true
30	shotgun	1864443	126155	-	4096	true
31	shotgun	1864443	575253	-	4096	true
32	shotgun	1864443	797095	-	4096	true
33	shotgun	1864443	912115	-	4096	true
34	shotgun	1864443	1045611	-	4096	true
35	shotgun	1864443	113060	-	4096	true
36	shotgun	1864443	484514	-	4096	true
37	shotgun	1864443	1165521	-	4096	true
38	shotgun	1864443	1535415	-	4096	true
39	shotgun	1864443	1702634	-	4096	true
40	shotgun	1864443	1717892	-	4096	true
41	shotgun	1864443	842565	-	4096	true
42	shotgun	1864443	1246735	-	4096	true
43	shotgun	1864443	1005876	-	4096	true
44	shotgun	1864443	84700	-	4096	true
45	shotgun	1864443	737835	-	4096	true
46	shotgun	1864443	1435269	-	4096	true
47	shotgun	1864443	1459554	-	4096	true
48	shotgun	1864443	1702385	-	4096	true
49	shotgun	1864443	1458554	-	4096	true
50	shotgun	1864443	573719	-	4096	true
51	shotgun	1864443	1662711	-	4096	true
52	shotgun	1864443	976147	-	4096	true
53	shotgun	1864443	3197	-	4096	true
54	shotgun	1864443	875230	-	4096	true
55	shotgun	1864443	1829737	-	4096	true
56	shotgun	1864443	1832077	-	4096	true
57	shotgun	1864443	139941	-	4096	true
58	shotgun	1864443	50161	-	4096	true
59	shotgun	1864443	1131755	-	4096	true
60	shotgun	1864443	1816176	-	4096	true
61	shotgun	1864443	840694	-	4096	true
62	shotgun	1864443	1216327	-	4096	true
63	shotgun	1864443	625141	-	4096	true
64	shotgun	1864443	905880	-	4096	true
65	shotgun	1864443	947280	-	4096	true
66	shotgun	1864443	1620323	-	4096	true
67	shotgun	1864443	680743	-	4096	true
68	shotgun	1864443	1253814	-	4096	true
69	shotgun	1864443	251017	-	4096	true
70	shotgun	1864443	32238	-	4096	true
71	shotgun	1864443	61695	-	4096	true
72	shotgun	1864443	1086214	-	4096	true
73	shotgun	1864443	2008	-	4096	true
74	shotgun	1864443	1194469	-	4096	true
75	shotgun	1864443	1064170	-	4096	true
76	shotgun	1864443	1557623	-	4096	true
77	shotgun	1864443	1214950	-	4096	true
78	shotgun	1864443	810914	-	4096	true
79	shotgun	1864443	1771386	-	4096	true
80	shotgun	1864443	1591134	-	4096	true
81	shotgun	1864443	177539	-	4096	true
82	shotgun	1864443	1759346	-	4096	true
83	shotgun	1864443	609261	-	4096	true
84	shotgun	1864443	1557942	-	4096	true
85	shotgun	1864443	568851	-	4096	true
86	shotgun	1864443	879002	-	4096	false
87	shotgun	1864443	64356	-	4096	true
88	shotgun	1864443	190207	-	4096	true
89	shotgun	1864443	181802	-	4096	true
90	shotgun	1864443	847323	-	4096	true
91	shotgun	1864443	4462	-	4096	true
92	shotgun	1864443	26251	-	4096	true
93	shotgun	1864443	803577	-	4096	true
94	shotgun	1864443	39492	-	4096	true
95	shotgun	1864443	20911	-	4096	true
96	shotgun	1864443	803454	-	4096	true
97	shotgun	1864443	1619667	-	4096	true
98	shotgun	1864443	127170	-	4096	true
99	shotgun	1864443	1177674	-	4096	true
