# seed=42 mode=shotgun file=w3c_exif_420.jpg filesize=768608
trial	mode	filesize	off	bit	span	detected
0	shotgun	768608	281312	-	4096	true
1	shotgun	768608	116670	-	4096	true
2	shotgun	768608	554089	-	4096	true
3	shotgun	768608	82408	-	4096	false
4	shotgun	768608	680538	-	4096	true
5	shotgun	768608	696321	-	4096	false
6	shotgun	768608	65583	-	4096	true
7	shotgun	768608	703282	-	4096	true
8	shotgun	768608	156559	-	4096	true
9	shotgun	768608	667081	-	4096	true
10	shotgun	768608	284644	-	4096	true
11	shotgun	768608	513438	-	4096	true
12	shotgun	768608	412929	-	4096	true
13	shotgun	768608	374213	-	4096	false
14	shotgun	768608	281232	-	4096	true
15	shotgun	768608	667423	-	4096	true
16	shotgun	768608	92353	-	4096	true
17	shotgun	768608	431270	-	4096	false
18	shotgun	768608	291839	-	4096	true
19	shotgun	768608	404493	-	4096	true
20	shotgun	768608	310701	-	4096	true
21	shotgun	768608	66503	-	4096	true
22	shotgun	768608	527678	-	4096	true
23	shotgun	768608	699537	-	4096	true
24	shotgun	768608	244090	-	4096	true
25	shotgun	768608	548756	-	4096	true
26	shotgun	768608	567294	-	4096	true
27	shotgun	768608	220560	-	4096	true
28	shotgun	768608	670322	-	4096	true
29	shotgun	768608	490980	-	4096	true
30	shotgun	768608	251808	-	4096	false
31	shotgun	768608	150981	-	4096	true
32	shotgun	768608	145403	-	4096	true
33	shotgun	768608	473080	-	4096	true
34	shotgun	768608	508671	-	4096	true
35	shotgun	768608	98348	-	4096	true
36	shotgun	768608	692267	-	4096	true
37	shotgun	768608	426825	-	4096	true
38	shotgun	768608	111231	-	4096	true
39	shotgun	768608	419908	-	4096	true
40	shotgun	768608	80162	-	4096	true
41	shotgun	768608	362010	-	4096	true
42	shotgun	768608	684029	-	4096	true
43	shotgun	768608	721131	-	4096	true
44	shotgun	768608	316186	-	4096	true
45	shotgun	768608	376936	-	4096	true
46	shotgun	768608	592773	-	4096	true
47	shotgun	768608	258928	-	4096	true
48	shotgun	768608	723284	-	4096	true
49	shotgun	768608	460777	-	4096	true
50	shotgun	768608	280106	-	4096	true
51	shotgun	768608	133736	-	4096	true
52	shotgun	768608	460907	-	4096	true
53	shotgun	768608	693589	-	4096	true
54	shotgun	768608	38629	-	4096	true
55	shotgun	768608	653835	-	4096	true
56	shotgun	768608	60868	-	4096	true
57	shotgun	768608	40054	-	4096	true
58	shotgun	768608	234181	-	4096	true
59	shotgun	768608	130903	-	4096	true
60	shotgun	768608	193311	-	4096	false
61	shotgun	768608	678629	-	4096	true
62	shotgun	768608	606104	-	4096	true
63	shotgun	768608	334501	-	4096	true
64	shotgun	768608	340252	-	4096	false
65	shotgun	768608	408358	-	4096	true
66	shotgun	768608	637309	-	4096	true
67	shotgun	768608	168476	-	4096	true
68	shotgun	768608	373609	-	4096	true
69	shotgun	768608	496428	-	4096	true
70	shotgun	768608	109485	-	4096	true
71	shotgun	768608	184477	-	4096	true
72	shotgun	768608	655996	-	4096	true
73	shotgun	768608	544107	-	4096	true
74	shotgun	768608	407265	-	4096	true
75	shotgun	768608	95081	-	4096	true
76	shotgun	768608	476755	-	4096	true
77	shotgun	768608	526642	-	4096	true
78	shotgun	768608	98924	-	4096	true
79	shotgun	768608	155458	-	4096	true
80	shotgun	768608	731689	-	4096	true
81	shotgun	768608	378457	-	4096	true
82	shotgun	768608	195788	-	4096	true
83	shotgun	768608	145502	-	4096	true
84	shotgun	768608	32931	-	4096	true
85	shotgun	768608	394843	-	4096	true
86	shotgun	768608	79906	-	4096	true
87	shotgun	768608	105927	-	4096	true
88	shotgun	768608	630386	-	4096	true
89	shotgun	768608	635855	-	4096	true
90	shotgun	768608	564509	-	4096	true
91	shotgun	768608	373493	-	4096	true
92	shotgun	768608	192484	-	4096	true
93	shotgun	768608	277487	-	4096	true
94	shotgun	768608	634952	-	4096	true
95	shotgun	768608	328500	-	4096	true
96	shotgun	768608	26211	-	4096	true
97	shotgun	768608	175816	-	4096	true
98	shotgun	768608	394332	-	4096	true
99	shotgun	768608	555712	-	4096	true
