# seed=42 mode=sniper file=sample.json5 filesize=329
trial	mode	filesize	off	bit	span	detected
0	sniper	329	263	1	1	false
1	sniper	329	318	3	1	false
2	sniper	329	241	2	1	false
3	sniper	329	267	7	1	false
4	sniper	329	109	5	1	true
5	sniper	329	6	1	1	false
6	sniper	329	273	6	1	false
7	sniper	329	162	3	1	true
8	sniper	329	297	4	1	true
9	sniper	329	55	4	1	true
10	sniper	329	201	7	1	false
11	sniper	329	108	3	1	true
12	sniper	329	249	1	1	false
13	sniper	329	265	3	1	false
14	sniper	329	19	0	1	false
15	sniper	329	64	3	1	true
16	sniper	329	177	6	1	false
17	sniper	329	282	0	1	false
18	sniper	329	179	7	1	false
19	sniper	329	2	6	1	true
20	sniper	329	284	3	1	false
21	sniper	329	73	4	1	false
22	sniper	329	131	2	1	false
23	sniper	329	156	0	1	true
24	sniper	329	121	5	1	false
25	sniper	329	111	0	1	true
26	sniper	329	11	5	1	false
27	sniper	329	299	4	1	true
28	sniper	329	56	4	1	false
29	sniper	329	285	7	1	false
30	sniper	329	29	1	1	false
31	sniper	329	1	3	1	true
32	sniper	329	228	0	1	true
33	sniper	329	213	0	1	false
34	sniper	329	146	4	1	false
35	sniper	329	170	7	1	false
36	sniper	329	129	6	1	false
37	sniper	329	268	5	1	false
38	sniper	329	224	6	1	true
39	sniper	329	0	0	1	true
40	sniper	329	197	7	1	false
41	sniper	329	9	7	1	false
42	sniper	329	20	6	1	false
43	sniper	329	184	0	1	false
44	sniper	329	67	0	1	false
45	sniper	329	180	6	1	false
46	sniper	329	100	3	1	false
47	sniper	329	176	5	1	false
48	sniper	329	203	2	1	false
49	sniper	329	48	2	1	false
50	sniper	329	295	2	1	true
51	sniper	329	71	3	1	false
52	sniper	329	26	7	1	false
53	sniper	329	225	2	1	true
54	sniper	329	172	6	1	true
55	sniper	329	104	7	1	false
56	sniper	329	114	6	1	true
57	sniper	329	12	6	1	false
58	sniper	329	22	1	1	false
59	sniper	329	318	2	1	false
60	sniper	329	210	4	1	false
61	sniper	329	108	2	1	true
62	sniper	329	196	5	1	false
63	sniper	329	265	7	1	false
64	sniper	329	185	0	1	false
65	sniper	329	274	0	1	false
66	sniper	329	224	3	1	true
67	sniper	329	183	7	1	false
68	sniper	329	223	1	1	true
69	sniper	329	147	3	1	false
70	sniper	329	288	2	1	false
71	sniper	329	316	6	1	false
72	sniper	329	320	2	1	false
73	sniper	329	141	4	1	true
74	sniper	329	37	2	1	false
75	sniper	329	215	2	1	false
76	sniper	329	1	0	1	true
77	sniper	329	64	4	1	true
78	sniper	329	322	2	1	false
79	sniper	329	111	4	1	true
80	sniper	329	259	2	1	false
81	sniper	329	54	3	1	true
82	sniper	329	177	0	1	false
83	sniper	329	134	2	1	false
84	sniper	329	246	2	1	true
85	sniper	329	198	3	1	false
86	sniper	329	137	6	1	false
87	sniper	329	248	6	1	true
88	sniper	329	209	0	1	false
89	sniper	329	25	5	1	false
90	sniper	329	163	6	1	true
91	sniper	329	287	4	1	false
92	sniper	329	211	2	1	false
93	sniper	329	218	3	1	false
94	sniper	329	98	4	1	false
95	sniper	329	31	7	1	false
96	sniper	329	53	6	1	false
97	sniper	329	103	2	1	true
98	sniper	329	202	0	1	false
99	sniper	329	17	7	1	false
