# seed=42 mode=shotgun file=large_utf8.json filesize=34810
trial	mode	filesize	off	bit	span	detected
0	shotgun	34810	27576	-	4096	true
1	shotgun	34810	764	-	4096	true
2	shotgun	34810	25839	-	4096	true
3	shotgun	34810	11361	-	4096	true
4	shotgun	34810	23120	-	4096	true
5	shotgun	34810	8264	-	4096	true
6	shotgun	34810	922	-	4096	true
7	shotgun	34810	22895	-	4096	true
8	shotgun	34810	446	-	4096	true
9	shotgun	34810	28892	-	4096	true
10	shotgun	34810	14523	-	4096	true
11	shotgun	34810	21320	-	4096	true
12	shotgun	34810	24614	-	4096	true
13	shotgun	34810	29074	-	4096	true
14	shotgun	34810	268	-	4096	true
15	shotgun	34810	15457	-	4096	true
16	shotgun	34810	15321	-	4096	true
17	shotgun	34810	3973	-	4096	true
18	shotgun	34810	6596	-	4096	true
19	shotgun	34810	547	-	4096	true
20	shotgun	34810	11428	-	4096	true
21	shotgun	34810	14542	-	4096	true
22	shotgun	34810	11010	-	4096	true
23	shotgun	34810	19342	-	4096	true
24	shotgun	34810	14336	-	4096	true
25	shotgun	34810	6956	-	4096	true
26	shotgun	34810	29831	-	4096	true
27	shotgun	34810	26493	-	4096	true
28	shotgun	34810	14616	-	4096	true
29	shotgun	34810	16071	-	4096	true
30	shotgun	34810	29954	-	4096	true
31	shotgun	34810	20681	-	4096	true
32	shotgun	34810	11878	-	4096	true
33	shotgun	34810	7241	-	4096	true
34	shotgun	34810	27198	-	4096	true
35	shotgun	34810	11897	-	4096	true
36	shotgun	34810	23986	-	4096	true
37	shotgun	34810	4465	-	4096	true
38	shotgun	34810	30054	-	4096	true
39	shotgun	34810	26068	-	4096	true
40	shotgun	34810	30591	-	4096	true
41	shotgun	34810	13419	-	4096	true
42	shotgun	34810	10622	-	4096	true
43	shotgun	34810	4513	-	4096	true
44	shotgun	34810	20173	-	4096	true
45	shotgun	34810	16364	-	4096	true
46	shotgun	34810	2808	-	4096	true
47	shotgun	34810	2246	-	4096	true
48	shotgun	34810	10706	-	4096	true
49	shotgun	34810	29152	-	4096	true
50	shotgun	34810	24935	-	4096	true
51	shotgun	34810	7520	-	4096	true
52	shotgun	34810	9881	-	4096	true
53	shotgun	34810	12643	-	4096	true
54	shotgun	34810	30645	-	4096	true
55	shotgun	34810	1840	-	4096	true
56	shotgun	34810	22530	-	4096	true
57	shotgun	34810	23832	-	4096	true
58	shotgun	34810	22937	-	4096	true
59	shotgun	34810	29525	-	4096	true
60	shotgun	34810	25290	-	4096	true
61	shotgun	34810	15710	-	4096	true
62	shotgun	34810	14098	-	4096	true
63	shotgun	34810	18782	-	4096	true
64	shotgun	34810	7196	-	4096	true
65	shotgun	34810	18442	-	4096	true
66	shotgun	34810	19068	-	4096	true
67	shotgun	34810	25482	-	4096	true
68	shotgun	34810	14824	-	4096	true
69	shotgun	34810	23609	-	4096	true
70	shotgun	34810	6189	-	4096	true
71	shotgun	34810	29907	-	4096	true
72	shotgun	34810	1777	-	4096	true
73	shotgun	34810	26927	-	4096	true
74	shotgun	34810	4582	-	4096	true
75	shotgun	34810	6479	-	4096	true
76	shotgun	34810	30538	-	4096	true
77	shotgun	34810	17027	-	4096	true
78	shotgun	34810	18999	-	4096	true
79	shotgun	34810	20210	-	4096	true
80	shotgun	34810	7130	-	4096	true
81	shotgun	34810	22004	-	4096	true
82	shotgun	34810	4588	-	4096	true
83	shotgun	34810	13546	-	4096	true
84	shotgun	34810	36	-	4096	true
85	shotgun	34810	1463	-	4096	true
86	shotgun	34810	11560	-	4096	true
87	shotgun	34810	22762	-	4096	true
88	shotgun	34810	883	-	4096	true
89	shotgun	34810	10468	-	4096	true
90	shotgun	34810	29401	-	4096	true
91	shotgun	34810	12729	-	4096	true
92	shotgun	34810	10031	-	4096	true
93	shotgun	34810	10885	-	4096	true
94	shotgun	34810	684	-	4096	true
95	shotgun	34810	10938	-	4096	true
96	shotgun	34810	29131	-	4096	true
97	shotgun	34810	6718	-	4096	true
98	shotgun	34810	16758	-	4096	true
99	shotgun	34810	997	-	4096	true
