# seed=42 mode=shotgun file=animation_icos4d.jxl filesize=352478
trial	mode	filesize	off	bit	span	detected
0	shotgun	352478	248322	-	4096	true
1	shotgun	352478	109765	-	4096	true
2	shotgun	352478	86459	-	4096	true
3	shotgun	352478	181958	-	4096	true
4	shotgun	352478	304055	-	4096	true
5	shotgun	352478	242770	-	4096	true
6	shotgun	352478	8328	-	4096	true
7	shotgun	352478	258324	-	4096	true
8	shotgun	352478	132526	-	4096	true
9	shotgun	352478	84250	-	4096	true
10	shotgun	352478	185173	-	4096	true
11	shotgun	352478	111023	-	4096	true
12	shotgun	352478	49164	-	4096	true
13	shotgun	352478	334835	-	4096	true
14	shotgun	352478	63817	-	4096	true
15	shotgun	352478	321783	-	4096	true
16	shotgun	352478	325171	-	4096	true
17	shotgun	352478	283443	-	4096	true
18	shotgun	352478	320419	-	4096	true
19	shotgun	352478	299594	-	4096	true
20	shotgun	352478	117224	-	4096	true
21	shotgun	352478	101355	-	4096	true
22	shotgun	352478	175766	-	4096	true
23	shotgun	352478	73319	-	4096	true
24	shotgun	352478	10697	-	4096	true
25	shotgun	352478	102685	-	4096	true
26	shotgun	352478	171515	-	4096	true
27	shotgun	352478	122777	-	4096	true
28	shotgun	352478	49859	-	4096	true
29	shotgun	352478	63266	-	4096	true
30	shotgun	352478	155597	-	4096	true
31	shotgun	352478	270977	-	4096	true
32	shotgun	352478	199820	-	4096	true
33	shotgun	352478	115165	-	4096	true
34	shotgun	352478	65401	-	4096	true
35	shotgun	352478	241132	-	4096	true
36	shotgun	352478	211402	-	4096	true
37	shotgun	352478	100597	-	4096	true
38	shotgun	352478	112497	-	4096	true
39	shotgun	352478	98206	-	4096	true
40	shotgun	352478	273449	-	4096	true
41	shotgun	352478	124302	-	4096	true
42	shotgun	352478	210280	-	4096	true
43	shotgun	352478	305750	-	4096	true
44	shotgun	352478	153916	-	4096	true
45	shotgun	352478	58457	-	4096	true
46	shotgun	352478	44488	-	4096	true
47	shotgun	352478	249338	-	4096	true
48	shotgun	352478	294188	-	4096	true
49	shotgun	352478	250172	-	4096	true
50	shotgun	352478	220282	-	4096	true
51	shotgun	352478	193159	-	4096	true
52	shotgun	352478	275965	-	4096	true
53	shotgun	352478	86245	-	4096	true
54	shotgun	352478	323812	-	4096	true
55	shotgun	352478	334243	-	4096	true
56	shotgun	352478	1255	-	4096	true
57	shotgun	352478	166744	-	4096	true
58	shotgun	352478	131487	-	4096	true
59	shotgun	352478	216316	-	4096	true
60	shotgun	352478	15601	-	4096	true
61	shotgun	352478	310913	-	4096	true
62	shotgun	352478	268002	-	4096	true
63	shotgun	352478	130801	-	4096	true
64	shotgun	352478	282691	-	4096	true
65	shotgun	352478	177133	-	4096	true
66	shotgun	352478	207849	-	4096	true
67	shotgun	352478	188041	-	4096	true
68	shotgun	352478	98037	-	4096	true
69	shotgun	352478	167304	-	4096	true
70	shotgun	352478	276993	-	4096	true
71	shotgun	352478	80000	-	4096	true
72	shotgun	352478	18595	-	4096	true
73	shotgun	352478	327172	-	4096	true
74	shotgun	352478	148515	-	4096	true
75	shotgun	352478	195533	-	4096	true
76	shotgun	352478	234252	-	4096	true
77	shotgun	352478	73033	-	4096	true
78	shotgun	352478	295798	-	4096	true
79	shotgun	352478	106548	-	4096	true
80	shotgun	352478	221822	-	4096	true
81	shotgun	352478	313416	-	4096	true
82	shotgun	352478	155835	-	4096	true
83	shotgun	352478	97589	-	4096	true
84	shotgun	352478	16647	-	4096	true
85	shotgun	352478	330319	-	4096	true
86	shotgun	352478	48277	-	4096	true
87	shotgun	352478	258032	-	4096	true
88	shotgun	352478	131491	-	4096	true
89	shotgun	352478	46177	-	4096	true
90	shotgun	352478	13154	-	4096	true
91	shotgun	352478	236274	-	4096	true
92	shotgun	352478	180209	-	4096	true
93	shotgun	352478	311764	-	4096	true
94	shotgun	352478	146760	-	4096	true
95	shotgun	352478	145399	-	4096	true
96	shotgun	352478	24697	-	4096	true
97	shotgun	352478	327404	-	4096	true
98	shotgun	352478	247465	-	4096	true
99	shotgun	352478	216518	-	4096	true
