# seed=42 mode=sniper file=sample.kmz filesize=538
trial	mode	filesize	off	bit	span	detected
0	sniper	538	86	1	1	true
1	sniper	538	235	3	1	true
2	sniper	538	285	2	1	true
3	sniper	538	500	7	1	false
4	sniper	538	404	5	1	true
5	sniper	538	491	1	1	true
6	sniper	538	440	6	1	true
7	sniper	538	195	3	1	true
8	sniper	538	236	4	1	true
9	sniper	538	219	4	1	true
10	sniper	538	12	7	1	false
11	sniper	538	204	3	1	true
12	sniper	538	455	1	1	true
13	sniper	538	484	3	1	true
14	sniper	538	152	0	1	true
15	sniper	538	476	3	1	false
16	sniper	538	402	6	1	true
17	sniper	538	241	0	1	true
18	sniper	538	144	7	1	true
19	sniper	538	236	6	1	true
20	sniper	538	534	3	1	true
21	sniper	538	423	4	1	true
22	sniper	538	30	2	1	true
23	sniper	538	160	0	1	true
24	sniper	538	61	5	1	true
25	sniper	538	362	0	1	true
26	sniper	538	120	5	1	true
27	sniper	538	466	4	1	true
28	sniper	538	183	4	1	true
29	sniper	538	35	7	1	true
30	sniper	538	408	1	1	true
31	sniper	538	299	3	1	true
32	sniper	538	214	0	1	true
33	sniper	538	175	0	1	true
34	sniper	538	320	4	1	true
35	sniper	538	253	7	1	true
36	sniper	538	88	6	1	true
37	sniper	538	522	5	1	false
38	sniper	538	239	6	1	true
39	sniper	538	90	0	1	true
40	sniper	538	67	7	1	true
41	sniper	538	90	7	1	true
42	sniper	538	397	6	1	true
43	sniper	538	111	0	1	true
44	sniper	538	230	0	1	true
45	sniper	538	196	6	1	true
46	sniper	538	419	3	1	true
47	sniper	538	107	5	1	true
48	sniper	538	157	2	1	true
49	sniper	538	103	2	1	true
50	sniper	538	27	2	1	true
51	sniper	538	33	3	1	true
52	sniper	538	34	7	1	true
53	sniper	538	428	2	1	true
54	sniper	538	378	6	1	true
55	sniper	538	43	7	1	true
56	sniper	538	257	6	1	true
57	sniper	538	399	6	1	true
58	sniper	538	1	1	1	true
59	sniper	538	473	2	1	true
60	sniper	538	65	4	1	true
61	sniper	538	120	2	1	true
62	sniper	538	114	5	1	true
63	sniper	538	284	7	1	true
64	sniper	538	534	0	1	true
65	sniper	538	424	0	1	true
66	sniper	538	149	3	1	true
67	sniper	538	340	7	1	true
68	sniper	538	300	1	1	true
69	sniper	538	13	3	1	false
70	sniper	538	409	2	1	true
71	sniper	538	307	6	1	true
72	sniper	538	427	2	1	true
73	sniper	538	355	4	1	true
74	sniper	538	441	2	1	true
75	sniper	538	295	2	1	true
76	sniper	538	92	0	1	true
77	sniper	538	291	4	1	true
78	sniper	538	221	2	1	true
79	sniper	538	372	4	1	true
80	sniper	538	79	2	1	true
81	sniper	538	319	3	1	true
82	sniper	538	313	0	1	true
83	sniper	538	265	2	1	true
84	sniper	538	92	2	1	true
85	sniper	538	481	3	1	true
86	sniper	538	221	6	1	true
87	sniper	538	244	6	1	true
88	sniper	538	268	0	1	true
89	sniper	538	246	5	1	true
90	sniper	538	292	6	1	true
91	sniper	538	119	4	1	true
92	sniper	538	223	2	1	true
93	sniper	538	59	3	1	true
94	sniper	538	65	4	1	true
95	sniper	538	91	7	1	true
96	sniper	538	427	6	1	true
97	sniper	538	491	2	1	true
98	sniper	538	333	0	1	true
99	sniper	538	300	7	1	true
