# seed=42 mode=shotgun file=sample.dia filesize=16396
trial	mode	filesize	off	bit	span	detected
0	shotgun	16396	7424	-	4096	false
1	shotgun	16396	8113	-	4096	false
2	shotgun	16396	10598	-	4096	false
3	shotgun	16396	11010	-	4096	false
4	shotgun	16396	3068	-	4096	false
5	shotgun	16396	5306	-	4096	false
6	shotgun	16396	1195	-	4096	false
7	shotgun	16396	1959	-	4096	false
8	shotgun	16396	6374	-	4096	false
9	shotgun	16396	4762	-	4096	false
10	shotgun	16396	2788	-	4096	false
11	shotgun	16396	8634	-	4096	false
12	shotgun	16396	5677	-	4096	false
13	shotgun	16396	8639	-	4096	false
14	shotgun	16396	10661	-	4096	false
15	shotgun	16396	8367	-	4096	false
16	shotgun	16396	11728	-	4096	false
17	shotgun	16396	351	-	4096	false
18	shotgun	16396	7053	-	4096	false
19	shotgun	16396	793	-	4096	false
20	shotgun	16396	11492	-	4096	false
21	shotgun	16396	10192	-	4096	false
22	shotgun	16396	9177	-	4096	false
23	shotgun	16396	4690	-	4096	false
24	shotgun	16396	1058	-	4096	false
25	shotgun	16396	7032	-	4096	false
26	shotgun	16396	6742	-	4096	false
27	shotgun	16396	4354	-	4096	false
28	shotgun	16396	2564	-	4096	false
29	shotgun	16396	2021	-	4096	false
30	shotgun	16396	4322	-	4096	false
31	shotgun	16396	7230	-	4096	false
32	shotgun	16396	1168	-	4096	false
33	shotgun	16396	1118	-	4096	false
34	shotgun	16396	8309	-	4096	false
35	shotgun	16396	4404	-	4096	false
36	shotgun	16396	9299	-	4096	false
37	shotgun	16396	6102	-	4096	false
38	shotgun	16396	6706	-	4096	false
39	shotgun	16396	2836	-	4096	false
40	shotgun	16396	9424	-	4096	false
41	shotgun	16396	9749	-	4096	false
42	shotgun	16396	4040	-	4096	false
43	shotgun	16396	7436	-	4096	false
44	shotgun	16396	9489	-	4096	false
45	shotgun	16396	11488	-	4096	false
46	shotgun	16396	10015	-	4096	false
47	shotgun	16396	9123	-	4096	false
48	shotgun	16396	8201	-	4096	false
49	shotgun	16396	9231	-	4096	false
50	shotgun	16396	11487	-	4096	false
51	shotgun	16396	2675	-	4096	false
52	shotgun	16396	4517	-	4096	false
53	shotgun	16396	6873	-	4096	false
54	shotgun	16396	7740	-	4096	false
55	shotgun	16396	5150	-	4096	false
56	shotgun	16396	6497	-	4096	false
57	shotgun	16396	12030	-	4096	false
58	shotgun	16396	11410	-	4096	false
59	shotgun	16396	10952	-	4096	false
60	shotgun	16396	9044	-	4096	false
61	shotgun	16396	935	-	4096	false
62	shotgun	16396	9493	-	4096	false
63	shotgun	16396	3813	-	4096	false
64	shotgun	16396	5803	-	4096	false
65	shotgun	16396	6780	-	4096	false
66	shotgun	16396	9633	-	4096	false
67	shotgun	16396	6746	-	4096	false
68	shotgun	16396	6564	-	4096	false
69	shotgun	16396	3132	-	4096	false
70	shotgun	16396	8166	-	4096	false
71	shotgun	16396	156	-	4096	false
72	shotgun	16396	9032	-	4096	false
73	shotgun	16396	136	-	4096	false
74	shotgun	16396	8603	-	4096	false
75	shotgun	16396	6565	-	4096	false
76	shotgun	16396	5742	-	4096	false
77	shotgun	16396	8580	-	4096	false
78	shotgun	16396	4704	-	4096	false
79	shotgun	16396	6778	-	4096	false
80	shotgun	16396	3419	-	4096	false
81	shotgun	16396	5426	-	4096	false
82	shotgun	16396	10898	-	4096	false
83	shotgun	16396	10915	-	4096	false
84	shotgun	16396	11827	-	4096	false
85	shotgun	16396	1780	-	4096	false
86	shotgun	16396	3326	-	4096	false
87	shotgun	16396	11376	-	4096	false
88	shotgun	16396	9015	-	4096	false
89	shotgun	16396	11852	-	4096	false
90	shotgun	16396	9803	-	4096	false
91	shotgun	16396	1569	-	4096	false
92	shotgun	16396	10548	-	4096	false
93	shotgun	16396	8228	-	4096	false
94	shotgun	16396	5379	-	4096	false
95	shotgun	16396	5135	-	4096	false
96	shotgun	16396	7548	-	4096	false
97	shotgun	16396	2889	-	4096	false
98	shotgun	16396	7061	-	4096	false
99	shotgun	16396	12205	-	4096	false
