# seed=42 mode=sniper file=sample.lspk filesize=256
trial	mode	filesize	off	bit	span	detected
0	sniper	256	214	1	1	false
1	sniper	256	155	3	1	false
2	sniper	256	173	2	1	false
3	sniper	256	44	7	1	false
4	sniper	256	8	5	1	false
5	sniper	256	217	1	1	false
6	sniper	256	220	6	1	false
7	sniper	256	81	3	1	false
8	sniper	256	218	4	1	false
9	sniper	256	35	4	1	false
10	sniper	256	72	7	1	false
11	sniper	256	208	3	1	false
12	sniper	256	131	1	1	false
13	sniper	256	170	3	1	false
14	sniper	256	20	0	1	false
15	sniper	256	240	3	1	false
16	sniper	256	182	6	1	false
17	sniper	256	245	0	1	false
18	sniper	256	154	7	1	false
19	sniper	256	214	6	1	false
20	sniper	256	162	3	1	false
21	sniper	256	239	4	1	false
22	sniper	256	238	2	1	false
23	sniper	256	58	0	1	false
24	sniper	256	153	5	1	false
25	sniper	256	150	0	1	false
26	sniper	256	34	5	1	false
27	sniper	256	226	4	1	false
28	sniper	256	207	4	1	false
29	sniper	256	239	7	1	false
30	sniper	256	72	1	1	false
31	sniper	256	113	3	1	false
32	sniper	256	128	0	1	false
33	sniper	256	155	0	1	false
34	sniper	256	170	4	1	false
35	sniper	256	31	7	1	false
36	sniper	256	148	6	1	false
37	sniper	256	84	5	1	false
38	sniper	256	251	6	1	false
39	sniper	256	192	0	1	false
40	sniper	256	251	7	1	false
41	sniper	256	62	7	1	false
42	sniper	256	209	6	1	false
43	sniper	256	93	0	1	false
44	sniper	256	50	0	1	false
45	sniper	256	94	6	1	false
46	sniper	256	201	3	1	false
47	sniper	256	177	5	1	false
48	sniper	256	103	2	1	false
49	sniper	256	109	2	1	false
50	sniper	256	89	2	1	false
51	sniper	256	85	3	1	false
52	sniper	256	184	7	1	false
53	sniper	256	6	2	1	true
54	sniper	256	4	6	1	true
55	sniper	256	31	7	1	false
56	sniper	256	59	6	1	false
57	sniper	256	45	6	1	false
58	sniper	256	247	1	1	false
59	sniper	256	179	2	1	false
60	sniper	256	41	4	1	false
61	sniper	256	110	2	1	false
62	sniper	256	116	5	1	false
63	sniper	256	14	7	1	false
64	sniper	256	154	0	1	false
65	sniper	256	68	0	1	false
66	sniper	256	113	3	1	false
67	sniper	256	178	7	1	false
68	sniper	256	222	1	1	false
69	sniper	256	59	3	1	false
70	sniper	256	219	2	1	false
71	sniper	256	93	6	1	false
72	sniper	256	109	2	1	false
73	sniper	256	5	4	1	true
74	sniper	256	61	2	1	false
75	sniper	256	149	2	1	false
76	sniper	256	144	0	1	false
77	sniper	256	29	4	1	false
78	sniper	256	219	2	1	false
79	sniper	256	194	4	1	false
80	sniper	256	235	2	1	false
81	sniper	256	237	3	1	false
82	sniper	256	37	0	1	false
83	sniper	256	157	2	1	false
84	sniper	256	128	2	1	false
85	sniper	256	31	3	1	false
86	sniper	256	219	6	1	false
87	sniper	256	198	6	1	false
88	sniper	256	102	0	1	false
89	sniper	256	158	5	1	false
90	sniper	256	100	6	1	false
91	sniper	256	105	4	1	false
92	sniper	256	9	2	1	false
93	sniper	256	25	3	1	false
94	sniper	256	185	4	1	false
95	sniper	256	17	7	1	false
96	sniper	256	33	6	1	false
97	sniper	256	53	2	1	false
98	sniper	256	3	0	1	false
99	sniper	256	90	7	1	false
