# seed=42 mode=shotgun file=sample filesize=33304
trial	mode	filesize	off	bit	span	detected
0	shotgun	33304	14897	-	4096	false
1	shotgun	33304	7063	-	4096	false
2	shotgun	33304	18419	-	4096	false
3	shotgun	33304	11981	-	4096	false
4	shotgun	33304	27649	-	4096	false
5	shotgun	33304	2556	-	4096	false
6	shotgun	33304	7051	-	4096	false
7	shotgun	33304	4590	-	4096	false
8	shotgun	33304	22415	-	4096	false
9	shotgun	33304	25968	-	4096	false
10	shotgun	33304	272	-	4096	false
11	shotgun	33304	8603	-	4096	false
12	shotgun	33304	5795	-	4096	false
13	shotgun	33304	2116	-	4096	false
14	shotgun	33304	26419	-	4096	false
15	shotgun	33304	6659	-	4096	false
16	shotgun	33304	24966	-	4096	false
17	shotgun	33304	21356	-	4096	false
18	shotgun	33304	20038	-	4096	false
19	shotgun	33304	5226	-	4096	false
20	shotgun	33304	26033	-	4096	false
21	shotgun	33304	27584	-	4096	false
22	shotgun	33304	13749	-	4096	false
23	shotgun	33304	9461	-	4096	false
24	shotgun	33304	20644	-	4096	false
25	shotgun	33304	21759	-	4096	false
26	shotgun	33304	23613	-	4096	false
27	shotgun	33304	26117	-	4096	false
28	shotgun	33304	4740	-	4096	false
29	shotgun	33304	10924	-	4096	false
30	shotgun	33304	11613	-	4096	false
31	shotgun	33304	27250	-	4096	false
32	shotgun	33304	28893	-	4096	false
33	shotgun	33304	20767	-	4096	false
34	shotgun	33304	16744	-	4096	false
35	shotgun	33304	5694	-	4096	false
36	shotgun	33304	23753	-	4096	false
37	shotgun	33304	26206	-	4096	false
38	shotgun	33304	10726	-	4096	false
39	shotgun	33304	21379	-	4096	false
40	shotgun	33304	7623	-	4096	false
41	shotgun	33304	27228	-	4096	false
42	shotgun	33304	15876	-	4096	false
43	shotgun	33304	27442	-	4096	false
44	shotgun	33304	14796	-	4096	false
45	shotgun	33304	28657	-	4096	false
46	shotgun	33304	4033	-	4096	false
47	shotgun	33304	16260	-	4096	false
48	shotgun	33304	3589	-	4096	false
49	shotgun	33304	5527	-	4096	false
50	shotgun	33304	19731	-	4096	false
51	shotgun	33304	105	-	4096	false
52	shotgun	33304	1240	-	4096	false
53	shotgun	33304	25170	-	4096	false
54	shotgun	33304	7322	-	4096	false
55	shotgun	33304	9907	-	4096	false
56	shotgun	33304	12546	-	4096	false
57	shotgun	33304	18340	-	4096	false
58	shotgun	33304	16395	-	4096	false
59	shotgun	33304	19290	-	4096	false
60	shotgun	33304	15731	-	4096	false
61	shotgun	33304	5267	-	4096	false
62	shotgun	33304	19299	-	4096	false
63	shotgun	33304	18067	-	4096	false
64	shotgun	33304	22504	-	4096	false
65	shotgun	33304	21958	-	4096	false
66	shotgun	33304	14088	-	4096	false
67	shotgun	33304	3258	-	4096	false
68	shotgun	33304	5877	-	4096	false
69	shotgun	33304	13576	-	4096	false
70	shotgun	33304	22518	-	4096	false
71	shotgun	33304	4853	-	4096	false
72	shotgun	33304	1785	-	4096	false
73	shotgun	33304	7202	-	4096	false
74	shotgun	33304	9317	-	4096	false
75	shotgun	33304	20623	-	4096	false
76	shotgun	33304	20639	-	4096	false
77	shotgun	33304	13313	-	4096	false
78	shotgun	33304	9370	-	4096	false
79	shotgun	33304	2855	-	4096	false
80	shotgun	33304	27706	-	4096	false
81	shotgun	33304	10777	-	4096	false
82	shotgun	33304	202	-	4096	false
83	shotgun	33304	6822	-	4096	false
84	shotgun	33304	9545	-	4096	false
85	shotgun	33304	1879	-	4096	false
86	shotgun	33304	23030	-	4096	false
87	shotgun	33304	19861	-	4096	false
88	shotgun	33304	28993	-	4096	false
89	shotgun	33304	25998	-	4096	false
90	shotgun	33304	25918	-	4096	false
91	shotgun	33304	16598	-	4096	false
92	shotgun	33304	21218	-	4096	false
93	shotgun	33304	6153	-	4096	false
94	shotgun	33304	16905	-	4096	false
95	shotgun	33304	743	-	4096	false
96	shotgun	33304	8363	-	4096	false
97	shotgun	33304	27407	-	4096	false
98	shotgun	33304	4414	-	4096	false
99	shotgun	33304	24657	-	4096	false
