# seed=42 mode=sniper file=sample.o filesize=536
trial	mode	filesize	off	bit	span	detected
0	sniper	536	286	1	1	false
1	sniper	536	507	3	1	false
2	sniper	536	205	2	1	false
3	sniper	536	268	7	1	false
4	sniper	536	496	5	1	false
5	sniper	536	433	1	1	false
6	sniper	536	12	6	1	false
7	sniper	536	345	3	1	false
8	sniper	536	426	4	1	false
9	sniper	536	291	4	1	false
10	sniper	536	64	7	1	false
11	sniper	536	128	3	1	false
12	sniper	536	339	1	1	false
13	sniper	536	362	3	1	false
14	sniper	536	28	0	1	false
15	sniper	536	328	3	1	false
16	sniper	536	38	6	1	false
17	sniper	536	77	0	1	false
18	sniper	536	506	7	1	false
19	sniper	536	134	6	1	false
20	sniper	536	394	3	1	false
21	sniper	536	103	4	1	false
22	sniper	536	470	2	1	false
23	sniper	536	266	0	1	false
24	sniper	536	169	5	1	false
25	sniper	536	286	0	1	false
26	sniper	536	394	5	1	false
27	sniper	536	258	4	1	false
28	sniper	536	239	4	1	false
29	sniper	536	183	7	1	false
30	sniper	536	224	1	1	false
31	sniper	536	297	3	1	false
32	sniper	536	144	0	1	false
33	sniper	536	19	0	1	false
34	sniper	536	506	4	1	false
35	sniper	536	303	7	1	false
36	sniper	536	508	6	1	false
37	sniper	536	156	5	1	false
38	sniper	536	531	6	1	false
39	sniper	536	168	0	1	false
40	sniper	536	459	7	1	false
41	sniper	536	238	7	1	false
42	sniper	536	425	6	1	false
43	sniper	536	525	0	1	false
44	sniper	536	402	0	1	false
45	sniper	536	478	6	1	false
46	sniper	536	425	3	1	false
47	sniper	536	441	5	1	false
48	sniper	536	335	2	1	false
49	sniper	536	261	2	1	false
50	sniper	536	361	2	1	false
51	sniper	536	109	3	1	false
52	sniper	536	240	7	1	false
53	sniper	536	14	2	1	false
54	sniper	536	228	6	1	false
55	sniper	536	495	7	1	false
56	sniper	536	35	6	1	false
57	sniper	536	445	6	1	false
58	sniper	536	239	1	1	false
59	sniper	536	299	2	1	false
60	sniper	536	273	4	1	false
61	sniper	536	62	2	1	false
62	sniper	536	180	5	1	false
63	sniper	536	238	7	1	false
64	sniper	536	202	0	1	false
65	sniper	536	324	0	1	false
66	sniper	536	457	3	1	false
67	sniper	536	162	7	1	false
68	sniper	536	358	1	1	false
69	sniper	536	483	3	1	false
70	sniper	536	99	2	1	false
71	sniper	536	37	6	1	false
72	sniper	536	61	2	1	false
73	sniper	536	365	4	1	false
74	sniper	536	189	2	1	false
75	sniper	536	293	2	1	false
76	sniper	536	312	0	1	false
77	sniper	536	349	4	1	false
78	sniper	536	3	2	1	false
79	sniper	536	458	4	1	false
80	sniper	536	195	2	1	false
81	sniper	536	453	3	1	false
82	sniper	536	13	0	1	false
83	sniper	536	453	2	1	false
84	sniper	536	8	2	1	false
85	sniper	536	423	3	1	false
86	sniper	536	195	6	1	false
87	sniper	536	134	6	1	false
88	sniper	536	342	0	1	false
89	sniper	536	262	5	1	false
90	sniper	536	68	6	1	false
91	sniper	536	1	4	1	false
92	sniper	536	209	2	1	false
93	sniper	536	121	3	1	false
94	sniper	536	305	4	1	false
95	sniper	536	513	7	1	false
96	sniper	536	433	6	1	false
97	sniper	536	429	2	1	false
98	sniper	536	227	0	1	false
99	sniper	536	330	7	1	false
