# seed=42 mode=sniper file=sample.mbox filesize=16939
trial	mode	filesize	off	bit	span	detected
0	sniper	16939	14782	1	1	false
1	sniper	16939	15316	3	1	false
2	sniper	16939	8575	2	1	false
3	sniper	16939	13791	7	1	false
4	sniper	16939	16471	5	1	false
5	sniper	16939	10810	1	1	false
6	sniper	16939	1280	6	1	false
7	sniper	16939	15070	3	1	false
8	sniper	16939	15206	4	1	false
9	sniper	16939	6895	4	1	false
10	sniper	16939	12620	7	1	false
11	sniper	16939	3067	3	1	false
12	sniper	16939	13508	1	1	false
13	sniper	16939	1942	3	1	false
14	sniper	16939	11546	0	1	false
15	sniper	16939	14410	3	1	false
16	sniper	16939	13815	6	1	false
17	sniper	16939	1600	0	1	false
18	sniper	16939	2568	7	1	false
19	sniper	16939	12747	6	1	false
20	sniper	16939	14908	3	1	false
21	sniper	16939	15063	4	1	false
22	sniper	16939	8460	2	1	false
23	sniper	16939	1523	0	1	false
24	sniper	16939	1374	5	1	false
25	sniper	16939	4063	0	1	false
26	sniper	16939	1769	5	1	false
27	sniper	16939	2079	4	1	false
28	sniper	16939	2475	4	1	false
29	sniper	16939	8251	7	1	false
30	sniper	16939	15873	1	1	false
31	sniper	16939	2898	3	1	false
32	sniper	16939	7322	0	1	false
33	sniper	16939	2379	0	1	false
34	sniper	16939	14028	4	1	false
35	sniper	16939	8002	7	1	false
36	sniper	16939	2737	6	1	false
37	sniper	16939	8586	5	1	false
38	sniper	16939	5036	6	1	false
39	sniper	16939	8841	0	1	false
40	sniper	16939	16398	7	1	false
41	sniper	16939	16319	7	1	false
42	sniper	16939	2871	6	1	false
43	sniper	16939	12741	0	1	false
44	sniper	16939	3567	0	1	false
45	sniper	16939	16834	6	1	false
46	sniper	16939	969	3	1	false
47	sniper	16939	13283	5	1	false
48	sniper	16939	1444	2	1	false
49	sniper	16939	12007	2	1	false
50	sniper	16939	13940	2	1	false
51	sniper	16939	9229	3	1	false
52	sniper	16939	630	7	1	false
53	sniper	16939	7233	2	1	false
54	sniper	16939	5069	6	1	false
55	sniper	16939	11355	7	1	false
56	sniper	16939	6060	6	1	false
57	sniper	16939	15296	6	1	false
58	sniper	16939	5588	1	1	false
59	sniper	16939	7810	2	1	false
60	sniper	16939	12146	4	1	false
61	sniper	16939	5036	2	1	false
62	sniper	16939	14553	5	1	false
63	sniper	16939	1347	7	1	false
64	sniper	16939	16678	0	1	false
65	sniper	16939	10160	0	1	false
66	sniper	16939	11177	3	1	false
67	sniper	16939	6689	7	1	false
68	sniper	16939	7616	1	1	false
69	sniper	16939	1350	3	1	false
70	sniper	16939	7278	2	1	false
71	sniper	16939	4653	6	1	false
72	sniper	16939	5319	2	1	false
73	sniper	16939	2904	4	1	false
74	sniper	16939	8886	2	1	false
75	sniper	16939	12924	2	1	false
76	sniper	16939	14971	0	1	false
77	sniper	16939	7986	4	1	false
78	sniper	16939	11712	2	1	false
79	sniper	16939	10536	4	1	false
80	sniper	16939	11577	2	1	false
81	sniper	16939	15802	3	1	false
82	sniper	16939	15129	0	1	false
83	sniper	16939	4264	2	1	false
84	sniper	16939	2506	2	1	false
85	sniper	16939	1898	3	1	false
86	sniper	16939	11369	6	1	false
87	sniper	16939	16576	6	1	false
88	sniper	16939	11969	0	1	false
89	sniper	16939	176	5	1	false
90	sniper	16939	8173	6	1	false
91	sniper	16939	13626	4	1	false
92	sniper	16939	3286	2	1	false
93	sniper	16939	1688	3	1	false
94	sniper	16939	5973	4	1	false
95	sniper	16939	7221	7	1	false
96	sniper	16939	1511	6	1	false
97	sniper	16939	5921	2	1	false
98	sniper	16939	3911	0	1	false
99	sniper	16939	4023	7	1	false
