# seed=42 mode=bolter file=jellyfish_360_10s.mp4 filesize=1047059
trial	mode	filesize	off	bit	span	detected
0	bolter	1047059	902669	-	1	false
1	bolter	1047059	1012083	-	1	false
2	bolter	1047059	146993	-	1	false
3	bolter	1047059	693386	-	1	false
4	bolter	1047059	686733	-	1	false
5	bolter	1047059	363944	-	1	false
6	bolter	1047059	181465	-	1	false
7	bolter	1047059	990078	-	1	false
8	bolter	1047059	629733	-	1	false
9	bolter	1047059	120160	-	1	false
10	bolter	1047059	880133	-	1	false
11	bolter	1047059	287698	-	1	false
12	bolter	1047059	828509	-	1	false
13	bolter	1047059	75181	-	1	false
14	bolter	1047059	778261	-	1	false
15	bolter	1047059	1026734	-	1	false
16	bolter	1047059	1025761	-	1	false
17	bolter	1047059	205847	-	1	false
18	bolter	1047059	108620	-	1	false
19	bolter	1047059	749526	-	1	false
20	bolter	1047059	169218	-	1	false
21	bolter	1047059	772872	-	1	false
22	bolter	1047059	831765	-	1	false
23	bolter	1047059	771868	-	1	false
24	bolter	1047059	745616	-	1	false
25	bolter	1047059	877902	-	1	false
26	bolter	1047059	757684	-	1	false
27	bolter	1047059	762115	-	1	false
28	bolter	1047059	614616	-	1	false
29	bolter	1047059	735219	-	1	false
30	bolter	1047059	500428	-	1	false
31	bolter	1047059	264601	-	1	false
32	bolter	1047059	901897	-	1	false
33	bolter	1047059	768529	-	1	false
34	bolter	1047059	543115	-	1	false
35	bolter	1047059	518152	-	1	false
36	bolter	1047059	862284	-	1	false
37	bolter	1047059	1028887	-	1	false
38	bolter	1047059	13124	-	1	false
39	bolter	1047059	367198	-	1	false
40	bolter	1047059	716180	-	1	false
41	bolter	1047059	900960	-	1	false
42	bolter	1047059	413747	-	1	false
43	bolter	1047059	186344	-	1	false
44	bolter	1047059	982420	-	1	false
45	bolter	1047059	20635	-	1	false
46	bolter	1047059	805495	-	1	false
47	bolter	1047059	33868	-	1	false
48	bolter	1047059	805983	-	1	false
49	bolter	1047059	1032490	-	1	false
50	bolter	1047059	1040306	-	1	false
51	bolter	1047059	985815	-	1	false
52	bolter	1047059	18513	-	1	false
53	bolter	1047059	1029870	-	1	false
54	bolter	1047059	263444	-	1	false
55	bolter	1047059	887404	-	1	false
56	bolter	1047059	259238	-	1	false
57	bolter	1047059	588405	-	1	false
58	bolter	1047059	276727	-	1	false
59	bolter	1047059	152340	-	1	false
60	bolter	1047059	540163	-	1	false
61	bolter	1047059	785641	-	1	false
62	bolter	1047059	937234	-	1	false
63	bolter	1047059	282066	-	1	false
64	bolter	1047059	912967	-	1	false
65	bolter	1047059	833737	-	1	false
66	bolter	1047059	52	-	1	false
67	bolter	1047059	618274	-	1	false
68	bolter	1047059	273547	-	1	false
69	bolter	1047059	495422	-	1	false
70	bolter	1047059	84689	-	1	false
71	bolter	1047059	231333	-	1	false
72	bolter	1047059	329817	-	1	false
73	bolter	1047059	952391	-	1	false
74	bolter	1047059	938372	-	1	false
75	bolter	1047059	873291	-	1	false
76	bolter	1047059	377733	-	1	false
77	bolter	1047059	1032082	-	1	false
78	bolter	1047059	844143	-	1	false
79	bolter	1047059	294179	-	1	false
80	bolter	1047059	42944	-	1	false
81	bolter	1047059	443127	-	1	false
82	bolter	1047059	283079	-	1	false
83	bolter	1047059	834354	-	1	false
84	bolter	1047059	876029	-	1	false
85	bolter	1047059	702991	-	1	false
86	bolter	1047059	1027014	-	1	false
87	bolter	1047059	17233	-	1	false
88	bolter	1047059	786882	-	1	false
89	bolter	1047059	651917	-	1	false
90	bolter	1047059	64843	-	1	false
91	bolter	1047059	671202	-	1	false
92	bolter	1047059	166966	-	1	false
93	bolter	1047059	667052	-	1	false
94	bolter	1047059	522441	-	1	false
95	bolter	1047059	759202	-	1	false
96	bolter	1047059	498005	-	1	false
97	bolter	1047059	679080	-	1	false
98	bolter	1047059	313269	-	1	false
99	bolter	1047059	488082	-	1	false
