# seed=42 mode=sniper file=ubAVIxvid10.avi filesize=1249022
trial	mode	filesize	off	bit	span	detected
0	sniper	1249022	928330	1	1	false
1	sniper	1249022	1147555	3	1	false
2	sniper	1249022	138357	2	1	false
3	sniper	1249022	255886	7	1	false
4	sniper	1249022	153582	5	1	false
5	sniper	1249022	612069	1	1	false
6	sniper	1249022	414598	6	1	false
7	sniper	1249022	648023	3	1	false
8	sniper	1249022	810684	4	1	false
9	sniper	1249022	898033	4	1	false
10	sniper	1249022	888736	7	1	false
11	sniper	1249022	1009098	3	1	false
12	sniper	1249022	1002829	1	1	false
13	sniper	1249022	858266	3	1	false
14	sniper	1249022	942090	0	1	false
15	sniper	1249022	358674	3	1	false
16	sniper	1249022	1230902	6	1	false
17	sniper	1249022	593339	0	1	false
18	sniper	1249022	195686	7	1	false
19	sniper	1249022	646272	6	1	false
20	sniper	1249022	898106	3	1	false
21	sniper	1249022	64339	4	1	false
22	sniper	1249022	515522	2	1	false
23	sniper	1249022	318194	0	1	false
24	sniper	1249022	76779	5	1	false
25	sniper	1249022	920852	0	1	false
26	sniper	1249022	101022	5	1	false
27	sniper	1249022	925382	4	1	false
28	sniper	1249022	296049	4	1	false
29	sniper	1249022	289707	7	1	false
30	sniper	1249022	1223968	1	1	false
31	sniper	1249022	947585	3	1	false
32	sniper	1249022	640676	0	1	false
33	sniper	1249022	171993	0	1	false
34	sniper	1249022	868652	4	1	false
35	sniper	1249022	895969	7	1	false
36	sniper	1249022	621578	6	1	false
37	sniper	1249022	34830	5	1	false
38	sniper	1249022	592743	6	1	false
39	sniper	1249022	847138	0	1	false
40	sniper	1249022	827331	7	1	false
41	sniper	1249022	76090	7	1	false
42	sniper	1249022	379109	6	1	false
43	sniper	1249022	1187073	0	1	false
44	sniper	1249022	787614	0	1	false
45	sniper	1249022	952874	6	1	false
46	sniper	1249022	1099597	3	1	false
47	sniper	1249022	580753	5	1	false
48	sniper	1249022	330157	2	1	false
49	sniper	1249022	1139859	2	1	false
50	sniper	1249022	1206555	2	1	false
51	sniper	1249022	742421	3	1	false
52	sniper	1249022	685552	7	1	false
53	sniper	1249022	83014	2	1	false
54	sniper	1249022	561822	6	1	false
55	sniper	1249022	136691	7	1	false
56	sniper	1249022	117311	6	1	false
57	sniper	1249022	464479	6	1	false
58	sniper	1249022	426485	1	1	false
59	sniper	1249022	335319	2	1	false
60	sniper	1249022	692865	4	1	false
61	sniper	1249022	23466	2	1	false
62	sniper	1249022	682752	5	1	false
63	sniper	1249022	794328	7	1	false
64	sniper	1249022	1071424	0	1	false
65	sniper	1249022	887244	0	1	false
66	sniper	1249022	996849	3	1	false
67	sniper	1249022	1236480	7	1	false
68	sniper	1249022	293122	1	1	false
69	sniper	1249022	209821	3	1	false
70	sniper	1249022	604219	2	1	false
71	sniper	1249022	14893	6	1	false
72	sniper	1249022	1108539	2	1	false
73	sniper	1249022	418509	4	1	false
74	sniper	1249022	903177	2	1	false
75	sniper	1249022	857277	2	1	false
76	sniper	1249022	1060446	0	1	false
77	sniper	1249022	1081473	4	1	false
78	sniper	1249022	1245833	2	1	false
79	sniper	1249022	1143094	4	1	false
80	sniper	1249022	1133965	2	1	false
81	sniper	1249022	1125211	3	1	false
82	sniper	1249022	44315	0	1	false
83	sniper	1249022	682239	2	1	false
84	sniper	1249022	247460	2	1	false
85	sniper	1249022	323033	3	1	false
86	sniper	1249022	389135	6	1	false
87	sniper	1249022	770420	6	1	false
88	sniper	1249022	58208	0	1	false
89	sniper	1249022	80892	5	1	false
90	sniper	1249022	798524	6	1	false
91	sniper	1249022	1119985	4	1	false
92	sniper	1249022	1232905	2	1	false
93	sniper	1249022	105361	3	1	false
94	sniper	1249022	409377	4	1	false
95	sniper	1249022	497911	7	1	false
96	sniper	1249022	503313	6	1	false
97	sniper	1249022	1016989	2	1	false
98	sniper	1249022	640761	0	1	false
99	sniper	1249022	256402	7	1	false
