# seed=42 mode=shotgun file=sample.m1v filesize=30905
trial	mode	filesize	off	bit	span	detected
0	shotgun	30905	21116	-	4096	false
1	shotgun	30905	10799	-	4096	false
2	shotgun	30905	23809	-	4096	false
3	shotgun	30905	9506	-	4096	false
4	shotgun	30905	11315	-	4096	false
5	shotgun	30905	18294	-	4096	false
6	shotgun	30905	17407	-	4096	false
7	shotgun	30905	13100	-	4096	false
8	shotgun	30905	21821	-	4096	false
9	shotgun	30905	20592	-	4096	false
10	shotgun	30905	22633	-	4096	false
11	shotgun	30905	26575	-	4096	false
12	shotgun	30905	25189	-	4096	false
13	shotgun	30905	26674	-	4096	false
14	shotgun	30905	24428	-	4096	false
15	shotgun	30905	9807	-	4096	false
16	shotgun	30905	26201	-	4096	false
17	shotgun	30905	4808	-	4096	false
18	shotgun	30905	351	-	4096	false
19	shotgun	30905	10417	-	4096	false
20	shotgun	30905	13253	-	4096	false
21	shotgun	30905	22332	-	4096	false
22	shotgun	30905	24895	-	4096	false
23	shotgun	30905	2577	-	4096	false
24	shotgun	30905	23171	-	4096	false
25	shotgun	30905	22381	-	4096	false
26	shotgun	30905	9591	-	4096	false
27	shotgun	30905	1383	-	4096	false
28	shotgun	30905	14481	-	4096	false
29	shotgun	30905	18221	-	4096	false
30	shotgun	30905	20959	-	4096	false
31	shotgun	30905	4501	-	4096	false
32	shotgun	30905	5563	-	4096	false
33	shotgun	30905	6931	-	4096	false
34	shotgun	30905	22183	-	4096	false
35	shotgun	30905	7332	-	4096	false
36	shotgun	30905	22836	-	4096	false
37	shotgun	30905	7105	-	4096	false
38	shotgun	30905	16009	-	4096	false
39	shotgun	30905	16558	-	4096	false
40	shotgun	30905	36	-	4096	false
41	shotgun	30905	6079	-	4096	false
42	shotgun	30905	1827	-	4096	false
43	shotgun	30905	3728	-	4096	false
44	shotgun	30905	7098	-	4096	false
45	shotgun	30905	17479	-	4096	false
46	shotgun	30905	6233	-	4096	false
47	shotgun	30905	6816	-	4096	false
48	shotgun	30905	23141	-	4096	false
49	shotgun	30905	412	-	4096	false
50	shotgun	30905	6145	-	4096	false
51	shotgun	30905	14715	-	4096	false
52	shotgun	30905	16811	-	4096	false
53	shotgun	30905	15153	-	4096	false
54	shotgun	30905	720	-	4096	false
55	shotgun	30905	2415	-	4096	false
56	shotgun	30905	16795	-	4096	false
57	shotgun	30905	10847	-	4096	false
58	shotgun	30905	8707	-	4096	false
59	shotgun	30905	17635	-	4096	false
60	shotgun	30905	5430	-	4096	false
61	shotgun	30905	25390	-	4096	false
62	shotgun	30905	20153	-	4096	false
63	shotgun	30905	6817	-	4096	false
64	shotgun	30905	20856	-	4096	false
65	shotgun	30905	20242	-	4096	false
66	shotgun	30905	14033	-	4096	false
67	shotgun	30905	19187	-	4096	false
68	shotgun	30905	6554	-	4096	false
69	shotgun	30905	22299	-	4096	false
70	shotgun	30905	12204	-	4096	false
71	shotgun	30905	8887	-	4096	false
72	shotgun	30905	332	-	4096	false
73	shotgun	30905	23652	-	4096	false
74	shotgun	30905	12337	-	4096	false
75	shotgun	30905	3824	-	4096	false
76	shotgun	30905	8173	-	4096	false
77	shotgun	30905	9032	-	4096	false
78	shotgun	30905	12634	-	4096	false
79	shotgun	30905	12020	-	4096	false
80	shotgun	30905	1210	-	4096	false
81	shotgun	30905	14649	-	4096	false
82	shotgun	30905	16948	-	4096	false
83	shotgun	30905	25041	-	4096	false
84	shotgun	30905	12076	-	4096	false
85	shotgun	30905	22753	-	4096	false
86	shotgun	30905	7110	-	4096	false
87	shotgun	30905	9882	-	4096	false
88	shotgun	30905	4063	-	4096	false
89	shotgun	30905	17988	-	4096	false
90	shotgun	30905	2661	-	4096	false
91	shotgun	30905	20814	-	4096	false
92	shotgun	30905	8611	-	4096	false
93	shotgun	30905	26675	-	4096	false
94	shotgun	30905	16504	-	4096	false
95	shotgun	30905	22633	-	4096	false
96	shotgun	30905	11516	-	4096	false
97	shotgun	30905	7623	-	4096	false
98	shotgun	30905	3578	-	4096	false
99	shotgun	30905	12692	-	4096	false
