# seed=42 mode=shotgun file=mpeg2_aac_latm.ts filesize=145324
trial	mode	filesize	off	bit	span	detected
0	shotgun	145324	4286	-	4096	true
1	shotgun	145324	43850	-	4096	true
2	shotgun	145324	102557	-	4096	true
3	shotgun	145324	21507	-	4096	true
4	shotgun	145324	75020	-	4096	true
5	shotgun	145324	15709	-	4096	true
6	shotgun	145324	70314	-	4096	true
7	shotgun	145324	99223	-	4096	true
8	shotgun	145324	138016	-	4096	true
9	shotgun	145324	69189	-	4096	true
10	shotgun	145324	128586	-	4096	true
11	shotgun	145324	44060	-	4096	true
12	shotgun	145324	113406	-	4096	true
13	shotgun	145324	122956	-	4096	true
14	shotgun	145324	61016	-	4096	true
15	shotgun	145324	20305	-	4096	true
16	shotgun	145324	46521	-	4096	true
17	shotgun	145324	48585	-	4096	true
18	shotgun	145324	81763	-	4096	true
19	shotgun	145324	55306	-	4096	true
20	shotgun	145324	117294	-	4096	true
21	shotgun	145324	122037	-	4096	true
22	shotgun	145324	38637	-	4096	true
23	shotgun	145324	35712	-	4096	true
24	shotgun	145324	125179	-	4096	true
25	shotgun	145324	105707	-	4096	true
26	shotgun	145324	121769	-	4096	true
27	shotgun	145324	68235	-	4096	true
28	shotgun	145324	32289	-	4096	true
29	shotgun	145324	106181	-	4096	true
30	shotgun	145324	112137	-	4096	true
31	shotgun	145324	118344	-	4096	true
32	shotgun	145324	89911	-	4096	true
33	shotgun	145324	49854	-	4096	true
34	shotgun	145324	49574	-	4096	true
35	shotgun	145324	45492	-	4096	true
36	shotgun	145324	118609	-	4096	true
37	shotgun	145324	34480	-	4096	true
38	shotgun	145324	8109	-	4096	true
39	shotgun	145324	82057	-	4096	true
40	shotgun	145324	7643	-	4096	true
41	shotgun	145324	30189	-	4096	true
42	shotgun	145324	24775	-	4096	true
43	shotgun	145324	37365	-	4096	true
44	shotgun	145324	121880	-	4096	true
45	shotgun	145324	129892	-	4096	true
46	shotgun	145324	75868	-	4096	true
47	shotgun	145324	52006	-	4096	true
48	shotgun	145324	26841	-	4096	true
49	shotgun	145324	39189	-	4096	true
50	shotgun	145324	585	-	4096	true
51	shotgun	145324	23289	-	4096	true
52	shotgun	145324	136670	-	4096	true
53	shotgun	145324	45374	-	4096	true
54	shotgun	145324	34100	-	4096	true
55	shotgun	145324	2885	-	4096	true
56	shotgun	145324	46618	-	4096	true
57	shotgun	145324	97424	-	4096	true
58	shotgun	145324	128545	-	4096	true
59	shotgun	145324	91699	-	4096	true
60	shotgun	145324	57015	-	4096	true
61	shotgun	145324	65668	-	4096	true
62	shotgun	145324	121474	-	4096	true
63	shotgun	145324	126962	-	4096	true
64	shotgun	145324	87978	-	4096	true
65	shotgun	145324	42502	-	4096	true
66	shotgun	145324	41394	-	4096	true
67	shotgun	145324	57450	-	4096	true
68	shotgun	145324	19489	-	4096	true
69	shotgun	145324	128397	-	4096	true
70	shotgun	145324	89765	-	4096	true
71	shotgun	145324	83374	-	4096	true
72	shotgun	145324	55708	-	4096	true
73	shotgun	145324	73213	-	4096	true
74	shotgun	145324	24321	-	4096	true
75	shotgun	145324	31586	-	4096	true
76	shotgun	145324	41473	-	4096	true
77	shotgun	145324	62334	-	4096	true
78	shotgun	145324	16684	-	4096	true
79	shotgun	145324	45891	-	4096	true
80	shotgun	145324	120023	-	4096	true
81	shotgun	145324	29849	-	4096	true
82	shotgun	145324	62246	-	4096	true
83	shotgun	145324	25075	-	4096	true
84	shotgun	145324	18460	-	4096	true
85	shotgun	145324	3595	-	4096	true
86	shotgun	145324	115179	-	4096	true
87	shotgun	145324	69797	-	4096	true
88	shotgun	145324	113599	-	4096	true
89	shotgun	145324	31297	-	4096	true
90	shotgun	145324	14685	-	4096	true
91	shotgun	145324	44986	-	4096	true
92	shotgun	145324	133918	-	4096	true
93	shotgun	145324	27049	-	4096	true
94	shotgun	145324	22848	-	4096	true
95	shotgun	145324	65884	-	4096	true
96	shotgun	145324	79711	-	4096	true
97	shotgun	145324	41097	-	4096	true
98	shotgun	145324	75207	-	4096	true
99	shotgun	145324	90208	-	4096	true
