# seed=42 mode=sniper file=mpeg2_aac_latm.ts filesize=145324
trial	mode	filesize	off	bit	span	detected
0	sniper	145324	60658	1	1	false
1	sniper	145324	115703	3	1	false
2	sniper	145324	86345	2	1	false
3	sniper	145324	82000	7	1	false
4	sniper	145324	141344	5	1	false
5	sniper	145324	27313	1	1	false
6	sniper	145324	58976	6	1	false
7	sniper	145324	41381	3	1	false
8	sniper	145324	9462	4	1	false
9	sniper	145324	100447	4	1	false
10	sniper	145324	24876	7	1	false
11	sniper	145324	64028	3	1	false
12	sniper	145324	71219	1	1	false
13	sniper	145324	113582	3	1	false
14	sniper	145324	41144	0	1	false
15	sniper	145324	71692	3	1	false
16	sniper	145324	63110	6	1	false
17	sniper	145324	127417	0	1	false
18	sniper	145324	95542	7	1	false
19	sniper	145324	2	6	1	false
20	sniper	145324	24442	3	1	true
21	sniper	145324	44535	4	1	false
22	sniper	145324	85718	2	1	false
23	sniper	145324	8710	0	1	false
24	sniper	145324	64981	5	1	false
25	sniper	145324	65770	0	1	false
26	sniper	145324	31454	5	1	false
27	sniper	145324	61258	4	1	false
28	sniper	145324	16271	4	1	false
29	sniper	145324	118255	7	1	false
30	sniper	145324	97084	1	1	false
31	sniper	145324	132541	3	1	true
32	sniper	145324	94228	0	1	false
33	sniper	145324	77763	0	1	false
34	sniper	145324	131182	4	1	false
35	sniper	145324	126271	7	1	false
36	sniper	145324	38904	6	1	false
37	sniper	145324	122844	5	1	false
38	sniper	145324	65131	6	1	false
39	sniper	145324	1880	0	1	true
40	sniper	145324	118355	7	1	false
41	sniper	145324	105806	7	1	false
42	sniper	145324	86829	6	1	false
43	sniper	145324	140197	0	1	false
44	sniper	145324	135098	0	1	false
45	sniper	145324	128114	6	1	false
46	sniper	145324	10581	3	1	false
47	sniper	145324	73825	5	1	false
48	sniper	145324	53595	2	1	false
49	sniper	145324	26885	2	1	true
50	sniper	145324	131801	2	1	false
51	sniper	145324	15205	3	1	false
52	sniper	145324	111040	7	1	false
53	sniper	145324	130462	2	1	false
54	sniper	145324	102068	6	1	false
55	sniper	145324	34367	7	1	false
56	sniper	145324	42367	6	1	false
57	sniper	145324	83061	6	1	false
58	sniper	145324	18587	1	1	false
59	sniper	145324	22267	2	1	false
60	sniper	145324	11161	4	1	false
61	sniper	145324	41374	2	1	false
62	sniper	145324	47948	5	1	false
63	sniper	145324	132946	7	1	false
64	sniper	145324	72142	0	1	false
65	sniper	145324	81584	0	1	false
66	sniper	145324	27625	3	1	false
67	sniper	145324	141042	7	1	false
68	sniper	145324	74154	1	1	false
69	sniper	145324	50343	3	1	false
70	sniper	145324	122911	2	1	false
71	sniper	145324	48773	6	1	false
72	sniper	145324	114389	2	1	false
73	sniper	145324	92261	4	1	false
74	sniper	145324	41585	2	1	false
75	sniper	145324	121381	2	1	false
76	sniper	145324	86716	0	1	false
77	sniper	145324	81233	4	1	false
78	sniper	145324	119467	2	1	false
79	sniper	145324	58438	4	1	false
80	sniper	145324	55907	2	1	false
81	sniper	145324	65901	3	1	false
82	sniper	145324	90981	0	1	false
83	sniper	145324	90797	2	1	false
84	sniper	145324	63320	2	1	false
85	sniper	145324	99979	3	1	false
86	sniper	145324	42907	6	1	false
87	sniper	145324	12374	6	1	false
88	sniper	145324	38326	0	1	false
89	sniper	145324	24794	5	1	false
90	sniper	145324	15532	6	1	false
91	sniper	145324	132169	4	1	false
92	sniper	145324	90733	2	1	false
93	sniper	145324	83925	3	1	false
94	sniper	145324	77225	4	1	false
95	sniper	145324	66113	7	1	false
96	sniper	145324	120937	6	1	false
97	sniper	145324	119953	2	1	false
98	sniper	145324	122543	0	1	false
99	sniper	145324	9370	7	1	false
