# seed=42 mode=sniper file=sample.msgpack filesize=19901
trial	mode	filesize	off	bit	span	detected
0	sniper	19901	19170	1	1	false
1	sniper	19901	15725	3	1	false
2	sniper	19901	15837	2	1	false
3	sniper	19901	16409	7	1	false
4	sniper	19901	7977	5	1	false
5	sniper	19901	18962	1	1	false
6	sniper	19901	11613	6	1	false
7	sniper	19901	148	3	1	false
8	sniper	19901	18623	4	1	false
9	sniper	19901	11955	4	1	false
10	sniper	19901	14376	7	1	false
11	sniper	19901	10755	3	1	false
12	sniper	19901	8152	1	1	false
13	sniper	19901	11262	3	1	false
14	sniper	19901	12402	0	1	false
15	sniper	19901	12461	3	1	false
16	sniper	19901	4069	6	1	false
17	sniper	19901	17572	0	1	false
18	sniper	19901	2391	7	1	false
19	sniper	19901	4475	6	1	false
20	sniper	19901	3378	3	1	false
21	sniper	19901	16481	4	1	false
22	sniper	19901	12976	2	1	false
23	sniper	19901	13631	0	1	false
24	sniper	19901	4454	5	1	false
25	sniper	19901	16911	0	1	false
26	sniper	19901	17763	5	1	false
27	sniper	19901	7054	4	1	false
28	sniper	19901	3570	4	1	false
29	sniper	19901	16259	7	1	false
30	sniper	19901	16465	1	1	false
31	sniper	19901	4824	3	1	false
32	sniper	19901	760	0	1	false
33	sniper	19901	18119	0	1	false
34	sniper	19901	4584	4	1	false
35	sniper	19901	19231	7	1	false
36	sniper	19901	15480	6	1	false
37	sniper	19901	15283	5	1	false
38	sniper	19901	18578	6	1	false
39	sniper	19901	1078	0	1	false
40	sniper	19901	6686	7	1	false
41	sniper	19901	17376	7	1	false
42	sniper	19901	16463	6	1	false
43	sniper	19901	4391	0	1	false
44	sniper	19901	5681	0	1	false
45	sniper	19901	4401	6	1	false
46	sniper	19901	10817	3	1	false
47	sniper	19901	1996	5	1	false
48	sniper	19901	7399	2	1	false
49	sniper	19901	18108	2	1	false
50	sniper	19901	3438	2	1	false
51	sniper	19901	708	3	1	false
52	sniper	19901	6984	7	1	false
53	sniper	19901	14351	2	1	false
54	sniper	19901	935	6	1	false
55	sniper	19901	12529	7	1	false
56	sniper	19901	11769	6	1	false
57	sniper	19901	8167	6	1	false
58	sniper	19901	16220	1	1	false
59	sniper	19901	2411	2	1	false
60	sniper	19901	17780	4	1	false
61	sniper	19901	3027	2	1	false
62	sniper	19901	12565	5	1	false
63	sniper	19901	7419	7	1	false
64	sniper	19901	2082	0	1	false
65	sniper	19901	8688	0	1	false
66	sniper	19901	18116	3	1	false
67	sniper	19901	18054	7	1	false
68	sniper	19901	11689	1	1	false
69	sniper	19901	18109	3	1	false
70	sniper	19901	9675	2	1	false
71	sniper	19901	9801	6	1	false
72	sniper	19901	15223	2	1	false
73	sniper	19901	6497	4	1	false
74	sniper	19901	14142	2	1	false
75	sniper	19901	9399	2	1	false
76	sniper	19901	18075	0	1	false
77	sniper	19901	18929	4	1	false
78	sniper	19901	17955	2	1	false
79	sniper	19901	15553	4	1	false
80	sniper	19901	6174	2	1	false
81	sniper	19901	8713	3	1	false
82	sniper	19901	11762	0	1	false
83	sniper	19901	15023	2	1	false
84	sniper	19901	5034	2	1	false
85	sniper	19901	13729	3	1	false
86	sniper	19901	19359	6	1	false
87	sniper	19901	2915	6	1	false
88	sniper	19901	4500	0	1	false
89	sniper	19901	10105	5	1	false
90	sniper	19901	18230	6	1	false
91	sniper	19901	2352	4	1	false
92	sniper	19901	10186	2	1	false
93	sniper	19901	13273	3	1	false
94	sniper	19901	6552	4	1	false
95	sniper	19901	3111	7	1	false
96	sniper	19901	13997	6	1	false
97	sniper	19901	6256	2	1	false
98	sniper	19901	300	0	1	false
99	sniper	19901	15921	7	1	false
