# seed=42 mode=bolter file=sample.msi filesize=9728
trial	mode	filesize	off	bit	span	detected
0	bolter	9728	3030	-	1	false
1	bolter	9728	8873	-	1	false
2	bolter	9728	5275	-	1	false
3	bolter	9728	4483	-	1	false
4	bolter	9728	1709	-	1	false
5	bolter	9728	4658	-	1	false
6	bolter	9728	1324	-	1	false
7	bolter	9728	8663	-	1	false
8	bolter	9728	1544	-	1	false
9	bolter	9728	5813	-	1	false
10	bolter	9728	7641	-	1	false
11	bolter	9728	7809	-	1	false
12	bolter	9728	1500	-	1	false
13	bolter	9728	6038	-	1	false
14	bolter	9728	7761	-	1	false
15	bolter	9728	9323	-	1	false
16	bolter	9728	8922	-	1	false
17	bolter	9728	5188	-	1	false
18	bolter	9728	9251	-	1	false
19	bolter	9728	7108	-	1	false
20	bolter	9728	2120	-	1	false
21	bolter	9728	2327	-	1	false
22	bolter	9728	5328	-	1	false
23	bolter	9728	4011	-	1	false
24	bolter	9728	9091	-	1	false
25	bolter	9728	2593	-	1	false
26	bolter	9728	5546	-	1	false
27	bolter	9728	667	-	1	false
28	bolter	9728	8468	-	1	false
29	bolter	9728	3272	-	1	false
30	bolter	9728	752	-	1	false
31	bolter	9728	8971	-	1	false
32	bolter	9728	2742	-	1	false
33	bolter	9728	6630	-	1	false
34	bolter	9728	5365	-	1	false
35	bolter	9728	6376	-	1	false
36	bolter	9728	8346	-	1	false
37	bolter	9728	3951	-	1	false
38	bolter	9728	9430	-	1	false
39	bolter	9728	8886	-	1	false
40	bolter	9728	2978	-	1	false
41	bolter	9728	9019	-	1	false
42	bolter	9728	8175	-	1	false
43	bolter	9728	8860	-	1	false
44	bolter	9728	7918	-	1	false
45	bolter	9728	1242	-	1	false
46	bolter	9728	4922	-	1	false
47	bolter	9728	4960	-	1	false
48	bolter	9728	665	-	1	false
49	bolter	9728	6613	-	1	false
50	bolter	9728	150	-	1	false
51	bolter	9728	4632	-	1	false
52	bolter	9728	3362	-	1	false
53	bolter	9728	4741	-	1	false
54	bolter	9728	994	-	1	false
55	bolter	9728	4244	-	1	false
56	bolter	9728	8655	-	1	false
57	bolter	9728	668	-	1	false
58	bolter	9728	3567	-	1	false
59	bolter	9728	2055	-	1	false
60	bolter	9728	4168	-	1	false
61	bolter	9728	1689	-	1	false
62	bolter	9728	625	-	1	false
63	bolter	9728	1307	-	1	false
64	bolter	9728	9344	-	1	false
65	bolter	9728	7024	-	1	false
66	bolter	9728	3995	-	1	false
67	bolter	9728	2096	-	1	false
68	bolter	9728	9130	-	1	false
69	bolter	9728	4108	-	1	false
70	bolter	9728	3615	-	1	false
71	bolter	9728	4687	-	1	false
72	bolter	9728	6548	-	1	false
73	bolter	9728	3958	-	1	false
74	bolter	9728	2644	-	1	false
75	bolter	9728	9637	-	1	false
76	bolter	9728	2299	-	1	false
77	bolter	9728	2614	-	1	false
78	bolter	9728	4032	-	1	false
79	bolter	9728	7232	-	1	false
80	bolter	9728	9723	-	1	false
81	bolter	9728	8575	-	1	false
82	bolter	9728	5182	-	1	false
83	bolter	9728	2431	-	1	false
84	bolter	9728	8913	-	1	false
85	bolter	9728	2438	-	1	false
86	bolter	9728	3677	-	1	false
87	bolter	9728	7960	-	1	false
88	bolter	9728	7474	-	1	false
89	bolter	9728	2808	-	1	false
90	bolter	9728	6750	-	1	false
91	bolter	9728	1942	-	1	false
92	bolter	9728	713	-	1	false
93	bolter	9728	8099	-	1	false
94	bolter	9728	3761	-	1	false
95	bolter	9728	8605	-	1	false
96	bolter	9728	7271	-	1	false
97	bolter	9728	6842	-	1	false
98	bolter	9728	6509	-	1	false
99	bolter	9728	3730	-	1	false
