# seed=42 mode=sniper file=sample.msi filesize=9728
trial	mode	filesize	off	bit	span	detected
0	sniper	9728	3030	1	1	false
1	sniper	9728	5275	3	1	false
2	sniper	9728	1709	2	1	false
3	sniper	9728	1324	7	1	false
4	sniper	9728	1544	5	1	false
5	sniper	9728	7641	1	1	false
6	sniper	9728	1500	6	1	false
7	sniper	9728	7761	3	1	false
8	sniper	9728	8922	4	1	false
9	sniper	9728	9251	4	1	false
10	sniper	9728	2120	7	1	false
11	sniper	9728	5328	3	1	false
12	sniper	9728	9091	1	1	false
13	sniper	9728	5546	3	1	false
14	sniper	9728	8468	0	1	false
15	sniper	9728	752	3	1	false
16	sniper	9728	2742	6	1	false
17	sniper	9728	5365	0	1	false
18	sniper	9728	8346	7	1	false
19	sniper	9728	9430	6	1	false
20	sniper	9728	2978	3	1	false
21	sniper	9728	8175	4	1	false
22	sniper	9728	7918	2	1	false
23	sniper	9728	4922	0	1	false
24	sniper	9728	665	5	1	false
25	sniper	9728	150	0	1	false
26	sniper	9728	3362	5	1	false
27	sniper	9728	994	4	1	false
28	sniper	9728	8655	4	1	false
29	sniper	9728	3567	7	1	false
30	sniper	9728	4168	1	1	false
31	sniper	9728	625	3	1	false
32	sniper	9728	9344	0	1	false
33	sniper	9728	3995	0	1	false
34	sniper	9728	9130	4	1	false
35	sniper	9728	3615	7	1	false
36	sniper	9728	6548	6	1	false
37	sniper	9728	2644	5	1	false
38	sniper	9728	2299	6	1	false
39	sniper	9728	4032	0	1	false
40	sniper	9728	9723	7	1	false
41	sniper	9728	5182	7	1	false
42	sniper	9728	8913	6	1	false
43	sniper	9728	3677	0	1	false
44	sniper	9728	7474	0	1	false
45	sniper	9728	6750	6	1	false
46	sniper	9728	713	3	1	false
47	sniper	9728	3761	5	1	false
48	sniper	9728	7271	2	1	false
49	sniper	9728	6509	2	1	false
50	sniper	9728	7769	2	1	false
51	sniper	9728	6741	3	1	false
52	sniper	9728	184	7	1	false
53	sniper	9728	1542	2	1	false
54	sniper	9728	1284	6	1	false
55	sniper	9728	8479	7	1	false
56	sniper	9728	8251	6	1	false
57	sniper	9728	5933	6	1	false
58	sniper	9728	4343	1	1	false
59	sniper	9728	691	2	1	false
60	sniper	9728	809	4	1	false
61	sniper	9728	2414	2	1	false
62	sniper	9728	7796	5	1	false
63	sniper	9728	14	7	1	false
64	sniper	9728	8602	0	1	false
65	sniper	9728	324	0	1	false
66	sniper	9728	7025	3	1	false
67	sniper	9728	4786	7	1	false
68	sniper	9728	2270	1	1	false
69	sniper	9728	8763	3	1	false
70	sniper	9728	5339	2	1	false
71	sniper	9728	605	6	1	false
72	sniper	9728	877	2	1	false
73	sniper	9728	4613	4	1	false
74	sniper	9728	5693	2	1	false
75	sniper	9728	149	2	1	false
76	sniper	9728	6288	0	1	false
77	sniper	9728	3869	4	1	false
78	sniper	9728	3803	2	1	false
79	sniper	9728	3778	4	1	false
80	sniper	9728	235	2	1	false
81	sniper	9728	3565	3	1	false
82	sniper	9728	5669	0	1	false
83	sniper	9728	4509	2	1	false
84	sniper	9728	5248	2	1	false
85	sniper	9728	3871	3	1	false
86	sniper	9728	7387	6	1	false
87	sniper	9728	5062	6	1	false
88	sniper	9728	2918	0	1	false
89	sniper	9728	3486	5	1	false
90	sniper	9728	1892	6	1	false
91	sniper	9728	9321	4	1	false
92	sniper	9728	2313	2	1	false
93	sniper	9728	25	3	1	false
94	sniper	9728	5817	4	1	false
95	sniper	9728	529	7	1	false
96	sniper	9728	801	6	1	false
97	sniper	9728	5429	2	1	false
98	sniper	9728	3843	0	1	false
99	sniper	9728	8794	7	1	false
