# seed=42 mode=shotgun file=Super Mario 64.z64 filesize=8388608
trial	mode	filesize	off	bit	span	detected
0	shotgun	8388608	907856	-	4096	false
1	shotgun	8388608	1197260	-	4096	false
2	shotgun	8388608	5357823	-	4096	false
3	shotgun	8388608	2611024	-	4096	false
4	shotgun	8388608	4854923	-	4096	false
5	shotgun	8388608	1117921	-	4096	false
6	shotgun	8388608	4954221	-	4096	false
7	shotgun	8388608	2226698	-	4096	false
8	shotgun	8388608	2828147	-	4096	false
9	shotgun	8388608	4346674	-	4096	false
10	shotgun	8388608	5975736	-	4096	false
11	shotgun	8388608	2808076	-	4096	false
12	shotgun	8388608	7980963	-	4096	false
13	shotgun	8388608	1598874	-	4096	false
14	shotgun	8388608	7590158	-	4096	false
15	shotgun	8388608	6309961	-	4096	false
16	shotgun	8388608	6409497	-	4096	false
17	shotgun	8388608	876901	-	4096	false
18	shotgun	8388608	4649942	-	4096	false
19	shotgun	8388608	6989652	-	4096	false
20	shotgun	8388608	1783857	-	4096	false
21	shotgun	8388608	4621742	-	4096	false
22	shotgun	8388608	5973080	-	4096	false
23	shotgun	8388608	2516705	-	4096	false
24	shotgun	8388608	7383815	-	4096	false
25	shotgun	8388608	3201923	-	4096	false
26	shotgun	8388608	4002296	-	4096	false
27	shotgun	8388608	8094058	-	4096	false
28	shotgun	8388608	3167099	-	4096	false
29	shotgun	8388608	8012658	-	4096	false
30	shotgun	8388608	2718452	-	4096	false
31	shotgun	8388608	1658781	-	4096	false
32	shotgun	8388608	3219071	-	4096	false
33	shotgun	8388608	3500392	-	4096	false
34	shotgun	8388608	4214493	-	4096	false
35	shotgun	8388608	5915090	-	4096	false
36	shotgun	8388608	2584825	-	4096	false
37	shotgun	8388608	6013493	-	4096	false
38	shotgun	8388608	5940292	-	4096	false
39	shotgun	8388608	226676	-	4096	false
40	shotgun	8388608	663155	-	4096	false
41	shotgun	8388608	7266051	-	4096	false
42	shotgun	8388608	3864926	-	4096	false
43	shotgun	8388608	6268152	-	4096	false
44	shotgun	8388608	4200723	-	4096	false
45	shotgun	8388608	5974217	-	4096	false
46	shotgun	8388608	3294494	-	4096	false
47	shotgun	8388608	7876123	-	4096	false
48	shotgun	8388608	3211154	-	4096	false
49	shotgun	8388608	3524931	-	4096	false
50	shotgun	8388608	2525583	-	4096	false
51	shotgun	8388608	5959992	-	4096	false
52	shotgun	8388608	7625762	-	4096	false
53	shotgun	8388608	6896795	-	4096	false
54	shotgun	8388608	6303807	-	4096	false
55	shotgun	8388608	7380867	-	4096	false
56	shotgun	8388608	4675274	-	4096	false
57	shotgun	8388608	6482848	-	4096	false
58	shotgun	8388608	134760	-	4096	false
59	shotgun	8388608	3247023	-	4096	false
60	shotgun	8388608	7851252	-	4096	false
61	shotgun	8388608	569694	-	4096	false
62	shotgun	8388608	3890326	-	4096	false
63	shotgun	8388608	2318065	-	4096	false
64	shotgun	8388608	8080292	-	4096	false
65	shotgun	8388608	1493951	-	4096	false
66	shotgun	8388608	2181951	-	4096	false
67	shotgun	8388608	7071418	-	4096	false
68	shotgun	8388608	7685340	-	4096	false
69	shotgun	8388608	1866259	-	4096	false
70	shotgun	8388608	5771543	-	4096	false
71	shotgun	8388608	3122981	-	4096	false
72	shotgun	8388608	2687622	-	4096	false
73	shotgun	8388608	8001008	-	4096	false
74	shotgun	8388608	594887	-	4096	false
75	shotgun	8388608	7509530	-	4096	false
76	shotgun	8388608	6997137	-	4096	false
77	shotgun	8388608	5538125	-	4096	false
78	shotgun	8388608	7415658	-	4096	false
79	shotgun	8388608	4407431	-	4096	false
80	shotgun	8388608	1912799	-	4096	false
81	shotgun	8388608	5886930	-	4096	false
82	shotgun	8388608	6492805	-	4096	false
83	shotgun	8388608	4062977	-	4096	false
84	shotgun	8388608	2715132	-	4096	false
85	shotgun	8388608	5420843	-	4096	false
86	shotgun	8388608	1315180	-	4096	false
87	shotgun	8388608	526428	-	4096	false
88	shotgun	8388608	7612622	-	4096	false
89	shotgun	8388608	806155	-	4096	false
90	shotgun	8388608	4434529	-	4096	false
91	shotgun	8388608	5677022	-	4096	false
92	shotgun	8388608	5961771	-	4096	false
93	shotgun	8388608	1520569	-	4096	false
94	shotgun	8388608	7254755	-	4096	false
95	shotgun	8388608	8250060	-	4096	false
96	shotgun	8388608	843182	-	4096	false
97	shotgun	8388608	1078790	-	4096	false
98	shotgun	8388608	1135913	-	4096	false
99	shotgun	8388608	1010250	-	4096	false
