# seed=42 mode=sniper file=sample.ach filesize=950
trial	mode	filesize	off	bit	span	detected
0	sniper	950	826	1	1	false
1	sniper	950	335	3	1	false
2	sniper	950	607	2	1	false
3	sniper	950	450	7	1	false
4	sniper	950	404	5	1	true
5	sniper	950	155	1	1	false
6	sniper	950	18	6	1	false
7	sniper	950	123	3	1	false
8	sniper	950	258	4	1	false
9	sniper	950	131	4	1	false
10	sniper	950	866	7	1	false
11	sniper	950	920	3	1	false
12	sniper	950	693	1	1	false
13	sniper	950	720	3	1	false
14	sniper	950	754	0	1	false
15	sniper	950	866	3	1	false
16	sniper	950	500	6	1	true
17	sniper	950	235	0	1	false
18	sniper	950	138	7	1	false
19	sniper	950	842	6	1	false
20	sniper	950	280	3	1	false
21	sniper	950	5	4	1	false
22	sniper	950	204	2	1	false
23	sniper	950	590	0	1	false
24	sniper	950	551	5	1	false
25	sniper	950	796	0	1	false
26	sniper	950	94	5	1	true
27	sniper	950	272	4	1	false
28	sniper	950	371	4	1	false
29	sniper	950	793	7	1	false
30	sniper	950	672	1	1	false
31	sniper	950	891	3	1	false
32	sniper	950	642	0	1	false
33	sniper	950	43	0	1	false
34	sniper	950	542	4	1	false
35	sniper	950	81	7	1	false
36	sniper	950	316	6	1	true
37	sniper	950	592	5	1	false
38	sniper	950	513	6	1	true
39	sniper	950	650	0	1	false
40	sniper	950	489	7	1	false
41	sniper	950	622	7	1	false
42	sniper	950	363	6	1	false
43	sniper	950	333	0	1	false
44	sniper	950	178	0	1	false
45	sniper	950	404	6	1	true
46	sniper	950	181	3	1	false
47	sniper	950	607	5	1	false
48	sniper	950	165	2	1	false
49	sniper	950	11	2	1	false
50	sniper	950	207	2	1	false
51	sniper	950	623	3	1	false
52	sniper	950	944	7	1	false
53	sniper	950	934	2	1	false
54	sniper	950	600	6	1	false
55	sniper	950	5	7	1	false
56	sniper	950	271	6	1	false
57	sniper	950	43	6	1	false
58	sniper	950	315	1	1	true
59	sniper	950	159	2	1	false
60	sniper	950	277	4	1	false
61	sniper	950	514	2	1	true
62	sniper	950	842	5	1	false
63	sniper	950	698	7	1	false
64	sniper	950	546	0	1	false
65	sniper	950	818	0	1	false
66	sniper	950	717	3	1	false
67	sniper	950	948	7	1	false
68	sniper	950	370	1	1	false
69	sniper	950	745	3	1	false
70	sniper	950	19	2	1	false
71	sniper	950	529	6	1	true
72	sniper	950	345	2	1	false
73	sniper	950	547	4	1	false
74	sniper	950	525	2	1	true
75	sniper	950	301	2	1	false
76	sniper	950	246	0	1	false
77	sniper	950	221	4	1	false
78	sniper	950	611	2	1	false
79	sniper	950	54	4	1	false
80	sniper	950	501	2	1	true
81	sniper	950	221	3	1	true
82	sniper	950	121	0	1	false
83	sniper	950	519	2	1	true
84	sniper	950	612	2	1	false
85	sniper	950	451	3	1	false
86	sniper	950	129	6	1	false
87	sniper	950	768	6	1	false
88	sniper	950	600	0	1	false
89	sniper	950	712	5	1	false
90	sniper	950	448	6	1	false
91	sniper	950	277	4	1	false
92	sniper	950	299	2	1	false
93	sniper	950	481	3	1	true
94	sniper	950	573	4	1	false
95	sniper	950	871	7	1	false
96	sniper	950	3	6	1	false
97	sniper	950	223	2	1	true
98	sniper	950	5	0	1	false
99	sniper	950	776	7	1	false
