# seed=42 mode=sniper file=sample.nii filesize=416
trial	mode	filesize	off	bit	span	detected
0	sniper	416	118	1	1	false
1	sniper	416	379	3	1	false
2	sniper	416	333	2	1	false
3	sniper	416	76	7	1	false
4	sniper	416	104	5	1	false
5	sniper	416	345	1	1	false
6	sniper	416	188	6	1	false
7	sniper	416	81	3	1	false
8	sniper	416	282	4	1	false
9	sniper	416	291	4	1	false
10	sniper	416	296	7	1	false
11	sniper	416	272	3	1	false
12	sniper	416	131	1	1	false
13	sniper	416	330	3	1	false
14	sniper	416	340	0	1	false
15	sniper	416	240	3	1	false
16	sniper	416	22	6	1	false
17	sniper	416	53	0	1	false
18	sniper	416	410	7	1	false
19	sniper	416	150	6	1	false
20	sniper	416	322	3	1	false
21	sniper	416	399	4	1	false
22	sniper	416	270	2	1	false
23	sniper	416	314	0	1	false
24	sniper	416	217	5	1	false
25	sniper	416	150	0	1	false
26	sniper	416	66	5	1	false
27	sniper	416	194	4	1	false
28	sniper	416	239	4	1	false
29	sniper	416	399	7	1	false
30	sniper	416	104	1	1	false
31	sniper	416	337	3	1	false
32	sniper	416	224	0	1	false
33	sniper	416	91	0	1	false
34	sniper	416	170	4	1	false
35	sniper	416	319	7	1	false
36	sniper	416	20	6	1	false
37	sniper	416	84	5	1	false
38	sniper	416	187	6	1	false
39	sniper	416	352	0	1	false
40	sniper	416	187	7	1	false
41	sniper	416	30	7	1	false
42	sniper	416	401	6	1	false
43	sniper	416	157	0	1	false
44	sniper	416	18	0	1	false
45	sniper	416	350	6	1	false
46	sniper	416	137	3	1	false
47	sniper	416	49	5	1	false
48	sniper	416	391	2	1	false
49	sniper	416	333	2	1	false
50	sniper	416	121	2	1	false
51	sniper	416	181	3	1	false
52	sniper	416	344	7	1	false
53	sniper	416	70	2	1	false
54	sniper	416	324	6	1	false
55	sniper	416	383	7	1	false
56	sniper	416	379	6	1	false
57	sniper	416	333	6	1	false
58	sniper	416	375	1	1	false
59	sniper	416	179	2	1	false
60	sniper	416	329	4	1	false
61	sniper	416	174	2	1	false
62	sniper	416	84	5	1	false
63	sniper	416	398	7	1	false
64	sniper	416	90	0	1	false
65	sniper	416	228	0	1	false
66	sniper	416	49	3	1	false
67	sniper	416	306	7	1	false
68	sniper	416	414	1	1	false
69	sniper	416	219	3	1	false
70	sniper	416	219	2	1	false
71	sniper	416	285	6	1	false
72	sniper	416	301	2	1	false
73	sniper	416	5	4	1	false
74	sniper	416	189	2	1	false
75	sniper	416	405	2	1	false
76	sniper	416	112	0	1	false
77	sniper	416	381	4	1	false
78	sniper	416	155	2	1	false
79	sniper	416	162	4	1	false
80	sniper	416	267	2	1	false
81	sniper	416	397	3	1	false
82	sniper	416	101	0	1	false
83	sniper	416	221	2	1	false
84	sniper	416	192	2	1	false
85	sniper	416	351	3	1	false
86	sniper	416	59	6	1	false
87	sniper	416	326	6	1	false
88	sniper	416	230	0	1	false
89	sniper	416	254	5	1	false
90	sniper	416	100	6	1	false
91	sniper	416	41	4	1	true
92	sniper	416	361	2	1	false
93	sniper	416	89	3	1	false
94	sniper	416	409	4	1	false
95	sniper	416	305	7	1	false
96	sniper	416	289	6	1	false
97	sniper	416	149	2	1	false
98	sniper	416	323	0	1	false
99	sniper	416	58	7	1	false
