# seed=42 mode=shotgun file=RAW_NIKON_COOLPIX_P7100.NRW filesize=16455479
trial	mode	filesize	off	bit	span	detected
0	shotgun	16455479	13493894	-	4096	false
1	shotgun	16455479	16252255	-	4096	false
2	shotgun	16455479	12477947	-	4096	false
3	shotgun	16455479	7891296	-	4096	false
4	shotgun	16455479	7078417	-	4096	false
5	shotgun	16455479	10971002	-	4096	false
6	shotgun	16455479	6860073	-	4096	false
7	shotgun	16455479	1154130	-	4096	false
8	shotgun	16455479	6136567	-	4096	false
9	shotgun	16455479	6318526	-	4096	false
10	shotgun	16455479	13353681	-	4096	false
11	shotgun	16455479	11959873	-	4096	false
12	shotgun	16455479	16120013	-	4096	false
13	shotgun	16455479	7382430	-	4096	false
14	shotgun	16455479	11216220	-	4096	false
15	shotgun	16455479	12980443	-	4096	false
16	shotgun	16455479	7680065	-	4096	false
17	shotgun	16455479	9962698	-	4096	false
18	shotgun	16455479	2684269	-	4096	false
19	shotgun	16455479	8398399	-	4096	false
20	shotgun	16455479	393647	-	4096	false
21	shotgun	16455479	2464248	-	4096	false
22	shotgun	16455479	12835383	-	4096	false
23	shotgun	16455479	425211	-	4096	false
24	shotgun	16455479	11896803	-	4096	false
25	shotgun	16455479	8350195	-	4096	false
26	shotgun	16455479	14610303	-	4096	false
27	shotgun	16455479	3149965	-	4096	false
28	shotgun	16455479	6289877	-	4096	false
29	shotgun	16455479	845071	-	4096	false
30	shotgun	16455479	3293915	-	4096	false
31	shotgun	16455479	11188041	-	4096	false
32	shotgun	16455479	9068627	-	4096	false
33	shotgun	16455479	10494695	-	4096	false
34	shotgun	16455479	7271271	-	4096	false
35	shotgun	16455479	5861448	-	4096	false
36	shotgun	16455479	9195486	-	4096	false
37	shotgun	16455479	11293765	-	4096	false
38	shotgun	16455479	732199	-	4096	false
39	shotgun	16455479	1880886	-	4096	false
40	shotgun	16455479	6704532	-	4096	false
41	shotgun	16455479	16040385	-	4096	false
42	shotgun	16455479	4122747	-	4096	false
43	shotgun	16455479	6466152	-	4096	false
44	shotgun	16455479	8905532	-	4096	false
45	shotgun	16455479	6489859	-	4096	false
46	shotgun	16455479	9150229	-	4096	false
47	shotgun	16455479	7181018	-	4096	false
48	shotgun	16455479	10708741	-	4096	false
49	shotgun	16455479	6839530	-	4096	false
50	shotgun	16455479	4060151	-	4096	false
51	shotgun	16455479	8441307	-	4096	false
52	shotgun	16455479	4071879	-	4096	false
53	shotgun	16455479	3534733	-	4096	false
54	shotgun	16455479	7646554	-	4096	false
55	shotgun	16455479	14117349	-	4096	false
56	shotgun	16455479	14911997	-	4096	false
57	shotgun	16455479	321829	-	4096	false
58	shotgun	16455479	8651273	-	4096	false
59	shotgun	16455479	6489443	-	4096	false
60	shotgun	16455479	4938832	-	4096	false
61	shotgun	16455479	6551250	-	4096	false
62	shotgun	16455479	13545407	-	4096	false
63	shotgun	16455479	7029053	-	4096	false
64	shotgun	16455479	7643008	-	4096	false
65	shotgun	16455479	10711748	-	4096	false
66	shotgun	16455479	8031507	-	4096	false
67	shotgun	16455479	6693955	-	4096	false
68	shotgun	16455479	3621994	-	4096	false
69	shotgun	16455479	7530173	-	4096	false
70	shotgun	16455479	3302586	-	4096	false
71	shotgun	16455479	13869167	-	4096	false
72	shotgun	16455479	5864042	-	4096	false
73	shotgun	16455479	3818020	-	4096	false
74	shotgun	16455479	14319493	-	4096	false
75	shotgun	16455479	5933678	-	4096	false
76	shotgun	16455479	11390483	-	4096	false
77	shotgun	16455479	7701798	-	4096	false
78	shotgun	16455479	13966498	-	4096	false
79	shotgun	16455479	733906	-	4096	false
80	shotgun	16455479	1151694	-	4096	false
81	shotgun	16455479	10154455	-	4096	false
82	shotgun	16455479	9993046	-	4096	false
83	shotgun	16455479	3625693	-	4096	false
84	shotgun	16455479	1258922	-	4096	false
85	shotgun	16455479	4282275	-	4096	false
86	shotgun	16455479	2334106	-	4096	false
87	shotgun	16455479	1227712	-	4096	false
88	shotgun	16455479	948319	-	4096	false
89	shotgun	16455479	9071026	-	4096	false
90	shotgun	16455479	12441579	-	4096	false
91	shotgun	16455479	7211590	-	4096	false
92	shotgun	16455479	14352463	-	4096	false
93	shotgun	16455479	5464273	-	4096	false
94	shotgun	16455479	3131588	-	4096	false
95	shotgun	16455479	1771399	-	4096	false
96	shotgun	16455479	3013034	-	4096	false
97	shotgun	16455479	7186167	-	4096	false
98	shotgun	16455479	11054994	-	4096	false
99	shotgun	16455479	5721238	-	4096	false
