# seed=42 mode=sniper file=RAW_NIKON_COOLPIX_P7100.NRW filesize=16455479
trial	mode	filesize	off	bit	span	detected
0	sniper	16455479	12683084	1	1	false
1	sniper	16455479	15805871	3	1	false
2	sniper	16455479	8041207	2	1	false
3	sniper	16455479	12544947	7	1	false
4	sniper	16455479	5354029	5	1	false
5	sniper	16455479	1464090	1	1	false
6	sniper	16455479	7848594	6	1	false
7	sniper	16455479	7264066	3	1	false
8	sniper	16455479	8344201	4	1	false
9	sniper	16455479	4998998	4	1	false
10	sniper	16455479	6630407	7	1	false
11	sniper	16455479	11755374	3	1	false
12	sniper	16455479	5172447	1	1	false
13	sniper	16455479	377178	3	1	false
14	sniper	16455479	11454739	0	1	false
15	sniper	16455479	12685520	3	1	false
16	sniper	16455479	10968700	6	1	false
17	sniper	16455479	151636	0	1	false
18	sniper	16455479	934352	7	1	false
19	sniper	16455479	8080268	6	1	false
20	sniper	16455479	9319829	3	1	false
21	sniper	16455479	8469028	4	1	false
22	sniper	16455479	1268022	2	1	false
23	sniper	16455479	2757702	0	1	false
24	sniper	16455479	7053638	5	1	false
25	sniper	16455479	2314097	0	1	false
26	sniper	16455479	245245	5	1	false
27	sniper	16455479	2310110	4	1	false
28	sniper	16455479	14811742	4	1	false
29	sniper	16455479	10058373	7	1	false
30	sniper	16455479	16401157	1	1	false
31	sniper	16455479	3995370	3	1	false
32	sniper	16455479	11800987	0	1	false
33	sniper	16455479	13529668	0	1	false
34	sniper	16455479	2344384	4	1	false
35	sniper	16455479	2333916	7	1	false
36	sniper	16455479	4114266	6	1	false
37	sniper	16455479	10970031	5	1	false
38	sniper	16455479	9313546	6	1	false
39	sniper	16455479	15551756	0	1	false
40	sniper	16455479	15523432	7	1	false
41	sniper	16455479	11920248	7	1	false
42	sniper	16455479	15738306	6	1	false
43	sniper	16455479	12271814	0	1	false
44	sniper	16455479	299609	0	1	false
45	sniper	16455479	13618185	6	1	false
46	sniper	16455479	8353185	3	1	false
47	sniper	16455479	4449691	5	1	false
48	sniper	16455479	9172832	2	1	false
49	sniper	16455479	11284775	2	1	false
50	sniper	16455479	14722287	2	1	false
51	sniper	16455479	1082486	3	1	false
52	sniper	16455479	633933	7	1	false
53	sniper	16455479	649789	2	1	false
54	sniper	16455479	872619	6	1	false
55	sniper	16455479	7984722	7	1	false
56	sniper	16455479	12579863	6	1	false
57	sniper	16455479	12970133	6	1	false
58	sniper	16455479	11406388	1	1	false
59	sniper	16455479	13608907	2	1	false
60	sniper	16455479	13530067	4	1	false
61	sniper	16455479	2621031	2	1	false
62	sniper	16455479	5836897	5	1	false
63	sniper	16455479	14172754	7	1	false
64	sniper	16455479	10838490	0	1	false
65	sniper	16455479	15469990	0	1	false
66	sniper	16455479	1223559	3	1	false
67	sniper	16455479	3148598	7	1	false
68	sniper	16455479	2093485	1	1	false
69	sniper	16455479	421097	3	1	false
70	sniper	16455479	1982030	2	1	false
71	sniper	16455479	684906	6	1	false
72	sniper	16455479	10191758	2	1	false
73	sniper	16455479	8170219	4	1	false
74	sniper	16455479	6472957	2	1	false
75	sniper	16455479	12251215	2	1	false
76	sniper	16455479	934857	0	1	false
77	sniper	16455479	126214	4	1	false
78	sniper	16455479	8913456	2	1	false
79	sniper	16455479	10633431	4	1	false
80	sniper	16455479	13385241	2	1	false
81	sniper	16455479	3999505	3	1	false
82	sniper	16455479	3763713	0	1	false
83	sniper	16455479	8291326	2	1	false
84	sniper	16455479	13672188	2	1	false
85	sniper	16455479	4011563	3	1	false
86	sniper	16455479	2670586	6	1	false
87	sniper	16455479	13571437	6	1	false
88	sniper	16455479	1293396	0	1	false
89	sniper	16455479	9871909	5	1	false
90	sniper	16455479	6464625	6	1	false
91	sniper	16455479	8607200	4	1	false
92	sniper	16455479	8479576	2	1	false
93	sniper	16455479	7413768	3	1	false
94	sniper	16455479	11765530	4	1	false
95	sniper	16455479	5547218	7	1	false
96	sniper	16455479	2286642	6	1	false
97	sniper	16455479	12222002	2	1	false
98	sniper	16455479	4209019	0	1	false
99	sniper	16455479	7300314	7	1	false
