# seed=42 mode=sniper file=sample.obj filesize=652
trial	mode	filesize	off	bit	span	detected
0	sniper	652	390	1	1	true
1	sniper	652	27	3	1	false
2	sniper	652	209	2	1	false
3	sniper	652	596	7	1	true
4	sniper	652	516	5	1	true
5	sniper	652	333	1	1	true
6	sniper	652	332	6	1	true
7	sniper	652	317	3	1	false
8	sniper	652	586	4	1	true
9	sniper	652	471	4	1	false
10	sniper	652	216	7	1	false
11	sniper	652	376	3	1	true
12	sniper	652	539	1	1	true
13	sniper	652	522	3	1	false
14	sniper	652	232	0	1	true
15	sniper	652	272	3	1	true
16	sniper	652	566	6	1	true
17	sniper	652	601	0	1	false
18	sniper	652	214	7	1	false
19	sniper	652	546	6	1	true
20	sniper	652	646	3	1	true
21	sniper	652	227	4	1	true
22	sniper	652	350	2	1	false
23	sniper	652	350	0	1	false
24	sniper	652	9	5	1	false
25	sniper	652	70	0	1	false
26	sniper	652	14	5	1	false
27	sniper	652	82	4	1	false
28	sniper	652	371	4	1	false
29	sniper	652	547	7	1	true
30	sniper	652	424	1	1	false
31	sniper	652	417	3	1	false
32	sniper	652	192	0	1	false
33	sniper	652	383	0	1	false
34	sniper	652	54	4	1	false
35	sniper	652	83	7	1	false
36	sniper	652	608	6	1	true
37	sniper	652	368	5	1	true
38	sniper	652	175	6	1	true
39	sniper	652	40	0	1	false
40	sniper	652	491	7	1	false
41	sniper	652	554	7	1	true
42	sniper	652	513	6	1	true
43	sniper	652	405	0	1	true
44	sniper	652	70	0	1	false
45	sniper	652	550	6	1	true
46	sniper	652	513	3	1	true
47	sniper	652	161	5	1	true
48	sniper	652	11	2	1	false
49	sniper	652	445	2	1	false
50	sniper	652	53	2	1	false
51	sniper	652	233	3	1	false
52	sniper	652	616	7	1	true
53	sniper	652	74	2	1	false
54	sniper	652	288	6	1	true
55	sniper	652	35	7	1	false
56	sniper	652	247	6	1	false
57	sniper	652	281	6	1	true
58	sniper	652	291	1	1	true
59	sniper	652	295	2	1	false
60	sniper	652	301	4	1	true
61	sniper	652	158	2	1	false
62	sniper	652	404	5	1	true
63	sniper	652	54	7	1	false
64	sniper	652	126	0	1	true
65	sniper	652	56	0	1	false
66	sniper	652	17	3	1	false
67	sniper	652	398	7	1	false
68	sniper	652	510	1	1	false
69	sniper	652	435	3	1	false
70	sniper	652	139	2	1	false
71	sniper	652	433	6	1	false
72	sniper	652	413	2	1	true
73	sniper	652	385	4	1	true
74	sniper	652	49	2	1	false
75	sniper	652	621	2	1	true
76	sniper	652	540	0	1	false
77	sniper	652	597	4	1	true
78	sniper	652	559	2	1	true
79	sniper	652	54	4	1	false
80	sniper	652	527	2	1	true
81	sniper	652	45	3	1	false
82	sniper	652	441	0	1	false
83	sniper	652	393	2	1	false
84	sniper	652	72	2	1	false
85	sniper	652	415	3	1	true
86	sniper	652	391	6	1	true
87	sniper	652	102	6	1	false
88	sniper	652	190	0	1	false
89	sniper	652	106	5	1	false
90	sniper	652	172	6	1	true
91	sniper	652	329	4	1	false
92	sniper	652	597	2	1	true
93	sniper	652	389	3	1	true
94	sniper	652	89	4	1	false
95	sniper	652	321	7	1	false
96	sniper	652	197	6	1	true
97	sniper	652	421	2	1	true
98	sniper	652	39	0	1	false
99	sniper	652	186	7	1	false
