# seed=42 mode=shotgun file=wikipedia_example.ogg filesize=104793
trial	mode	filesize	off	bit	span	detected
0	shotgun	104793	96188	-	4096	true
1	shotgun	104793	24103	-	4096	true
2	shotgun	104793	72669	-	4096	true
3	shotgun	104793	73232	-	4096	true
4	shotgun	104793	91431	-	4096	true
5	shotgun	104793	83470	-	4096	true
6	shotgun	104793	36873	-	4096	true
7	shotgun	104793	35518	-	4096	true
8	shotgun	104793	26735	-	4096	true
9	shotgun	104793	78884	-	4096	true
10	shotgun	104793	29981	-	4096	true
11	shotgun	104793	10771	-	4096	true
12	shotgun	104793	81109	-	4096	true
13	shotgun	104793	83638	-	4096	true
14	shotgun	104793	8400	-	4096	true
15	shotgun	104793	75325	-	4096	true
16	shotgun	104793	76759	-	4096	true
17	shotgun	104793	48186	-	4096	true
18	shotgun	104793	92805	-	4096	true
19	shotgun	104793	79265	-	4096	true
20	shotgun	104793	43009	-	4096	true
21	shotgun	104793	65690	-	4096	true
22	shotgun	104793	39453	-	4096	true
23	shotgun	104793	19983	-	4096	true
24	shotgun	104793	16859	-	4096	true
25	shotgun	104793	69901	-	4096	true
26	shotgun	104793	70967	-	4096	true
27	shotgun	104793	19813	-	4096	true
28	shotgun	104793	477	-	4096	true
29	shotgun	104793	69797	-	4096	true
30	shotgun	104793	97049	-	4096	true
31	shotgun	104793	31185	-	4096	true
32	shotgun	104793	37339	-	4096	true
33	shotgun	104793	74257	-	4096	true
34	shotgun	104793	96219	-	4096	true
35	shotgun	104793	1532	-	4096	true
36	shotgun	104793	67142	-	4096	true
37	shotgun	104793	51969	-	4096	true
38	shotgun	104793	621	-	4096	true
39	shotgun	104793	34346	-	4096	true
40	shotgun	104793	98486	-	4096	true
41	shotgun	104793	76701	-	4096	true
42	shotgun	104793	82687	-	4096	true
43	shotgun	104793	60288	-	4096	true
44	shotgun	104793	55018	-	4096	true
45	shotgun	104793	20907	-	4096	true
46	shotgun	104793	48561	-	4096	true
47	shotgun	104793	7188	-	4096	true
48	shotgun	104793	1991	-	4096	true
49	shotgun	104793	55130	-	4096	true
50	shotgun	104793	100151	-	4096	true
51	shotgun	104793	32409	-	4096	true
52	shotgun	104793	83989	-	4096	true
53	shotgun	104793	58823	-	4096	true
54	shotgun	104793	52936	-	4096	true
55	shotgun	104793	83923	-	4096	true
56	shotgun	104793	13525	-	4096	true
57	shotgun	104793	81609	-	4096	true
58	shotgun	104793	50683	-	4096	true
59	shotgun	104793	98147	-	4096	true
60	shotgun	104793	49500	-	4096	true
61	shotgun	104793	96850	-	4096	true
62	shotgun	104793	919	-	4096	true
63	shotgun	104793	21421	-	4096	true
64	shotgun	104793	54246	-	4096	true
65	shotgun	104793	51090	-	4096	true
66	shotgun	104793	7199	-	4096	true
67	shotgun	104793	61225	-	4096	true
68	shotgun	104793	91494	-	4096	true
69	shotgun	104793	31183	-	4096	true
70	shotgun	104793	91152	-	4096	true
71	shotgun	104793	23775	-	4096	true
72	shotgun	104793	97564	-	4096	true
73	shotgun	104793	87322	-	4096	true
74	shotgun	104793	5809	-	4096	true
75	shotgun	104793	66478	-	4096	true
76	shotgun	104793	15227	-	4096	true
77	shotgun	104793	60874	-	4096	true
78	shotgun	104793	55598	-	4096	true
79	shotgun	104793	70248	-	4096	true
80	shotgun	104793	40374	-	4096	true
81	shotgun	104793	59153	-	4096	true
82	shotgun	104793	65180	-	4096	true
83	shotgun	104793	64851	-	4096	true
84	shotgun	104793	22632	-	4096	true
85	shotgun	104793	62655	-	4096	true
86	shotgun	104793	9554	-	4096	true
87	shotgun	104793	73926	-	4096	true
88	shotgun	104793	88129	-	4096	true
89	shotgun	104793	9404	-	4096	true
90	shotgun	104793	69063	-	4096	true
91	shotgun	104793	29254	-	4096	true
92	shotgun	104793	83665	-	4096	true
93	shotgun	104793	33849	-	4096	true
94	shotgun	104793	54828	-	4096	true
95	shotgun	104793	83797	-	4096	true
96	shotgun	104793	34536	-	4096	true
97	shotgun	104793	56001	-	4096	true
98	shotgun	104793	46134	-	4096	true
99	shotgun	104793	22680	-	4096	true
