# seed=42 mode=sniper file=wikipedia_example.ogg filesize=104793
trial	mode	filesize	off	bit	span	detected
0	sniper	104793	68810	1	1	true
1	sniper	104793	13197	3	1	true
2	sniper	104793	87888	2	1	true
3	sniper	104793	62268	7	1	true
4	sniper	104793	67457	5	1	true
5	sniper	104793	23953	1	1	true
6	sniper	104793	6987	6	1	true
7	sniper	104793	98465	3	1	true
8	sniper	104793	86563	4	1	true
9	sniper	104793	49340	4	1	true
10	sniper	104793	30300	7	1	true
11	sniper	104793	12765	3	1	true
12	sniper	104793	92483	1	1	true
13	sniper	104793	100950	3	1	true
14	sniper	104793	15160	0	1	true
15	sniper	104793	43881	3	1	true
16	sniper	104793	97756	6	1	true
17	sniper	104793	1210	0	1	true
18	sniper	104793	75888	7	1	true
19	sniper	104793	29075	6	1	true
20	sniper	104793	16676	3	1	true
21	sniper	104793	19509	4	1	true
22	sniper	104793	34330	2	1	true
23	sniper	104793	21335	0	1	true
24	sniper	104793	95208	5	1	true
25	sniper	104793	84390	0	1	true
26	sniper	104793	6605	5	1	true
27	sniper	104793	88048	4	1	true
28	sniper	104793	66435	4	1	true
29	sniper	104793	54427	7	1	true
30	sniper	104793	96993	1	1	true
31	sniper	104793	54365	3	1	true
32	sniper	104793	16123	0	1	true
33	sniper	104793	52663	0	1	true
34	sniper	104793	28315	4	1	true
35	sniper	104793	72014	7	1	true
36	sniper	104793	54867	6	1	true
37	sniper	104793	4517	5	1	true
38	sniper	104793	55463	6	1	true
39	sniper	104793	11649	0	1	true
40	sniper	104793	95763	7	1	true
41	sniper	104793	79928	7	1	true
42	sniper	104793	84472	6	1	true
43	sniper	104793	71319	0	1	true
44	sniper	104793	1409	0	1	true
45	sniper	104793	99488	6	1	true
46	sniper	104793	41217	3	1	true
47	sniper	104793	87825	5	1	true
48	sniper	104793	58982	2	1	true
49	sniper	104793	35225	2	1	true
50	sniper	104793	2656	2	1	true
51	sniper	104793	71018	3	1	true
52	sniper	104793	15398	7	1	true
53	sniper	104793	46870	2	1	true
54	sniper	104793	12466	6	1	true
55	sniper	104793	100860	7	1	true
56	sniper	104793	21608	6	1	true
57	sniper	104793	94921	6	1	true
58	sniper	104793	94300	1	1	true
59	sniper	104793	38295	2	1	true
60	sniper	104793	70204	4	1	true
61	sniper	104793	4347	2	1	true
62	sniper	104793	88172	5	1	true
63	sniper	104793	28114	7	1	true
64	sniper	104793	25817	0	1	true
65	sniper	104793	100029	0	1	true
66	sniper	104793	60213	3	1	true
67	sniper	104793	93022	7	1	true
68	sniper	104793	9137	1	1	true
69	sniper	104793	81768	3	1	true
70	sniper	104793	52375	2	1	true
71	sniper	104793	61541	6	1	true
72	sniper	104793	63299	2	1	true
73	sniper	104793	14396	4	1	true
74	sniper	104793	23602	2	1	true
75	sniper	104793	58528	2	1	true
76	sniper	104793	80660	0	1	true
77	sniper	104793	14902	4	1	true
78	sniper	104793	35268	2	1	true
79	sniper	104793	21573	4	1	true
80	sniper	104793	13592	2	1	true
81	sniper	104793	29283	3	1	true
82	sniper	104793	8070	0	1	true
83	sniper	104793	30147	2	1	true
84	sniper	104793	94494	2	1	true
85	sniper	104793	17680	3	1	true
86	sniper	104793	24122	6	1	true
87	sniper	104793	31331	6	1	true
88	sniper	104793	96729	0	1	true
89	sniper	104793	9055	5	1	true
90	sniper	104793	77645	6	1	true
91	sniper	104793	96995	4	1	true
92	sniper	104793	40843	2	1	true
93	sniper	104793	80273	3	1	true
94	sniper	104793	46182	4	1	true
95	sniper	104793	58142	7	1	true
96	sniper	104793	7998	6	1	true
97	sniper	104793	90564	2	1	true
98	sniper	104793	41286	0	1	true
99	sniper	104793	31609	7	1	true
