# seed=42 mode=sniper file=PB120976.ORF filesize=13984788
trial	mode	filesize	off	bit	span	detected
0	sniper	13984788	12412322	1	1	false
1	sniper	13984788	8725479	3	1	false
2	sniper	13984788	10383285	2	1	false
3	sniper	13984788	6540828	7	1	false
4	sniper	13984788	6525068	5	1	false
5	sniper	13984788	11028709	1	1	false
6	sniper	13984788	8687952	6	1	false
7	sniper	13984788	9558761	3	1	false
8	sniper	13984788	12967438	4	1	false
9	sniper	13984788	1783715	4	1	false
10	sniper	13984788	247224	7	1	false
11	sniper	13984788	8127180	3	1	false
12	sniper	13984788	3872795	1	1	false
13	sniper	13984788	7092042	3	1	false
14	sniper	13984788	9363112	0	1	false
15	sniper	13984788	6728784	3	1	false
16	sniper	13984788	3983074	6	1	false
17	sniper	13984788	11489737	0	1	false
18	sniper	13984788	10356822	7	1	false
19	sniper	13984788	8919626	6	1	false
20	sniper	13984788	4994426	3	1	false
21	sniper	13984788	12618435	4	1	false
22	sniper	13984788	7048762	2	1	false
23	sniper	13984788	8172914	0	1	false
24	sniper	13984788	4312185	5	1	false
25	sniper	13984788	4324494	0	1	false
26	sniper	13984788	2255642	5	1	false
27	sniper	13984788	1565518	4	1	false
28	sniper	13984788	10296807	4	1	false
29	sniper	13984788	4940995	7	1	false
30	sniper	13984788	2653284	1	1	false
31	sniper	13984788	13180925	3	1	false
32	sniper	13984788	4118152	0	1	false
33	sniper	13984788	10043623	0	1	false
34	sniper	13984788	2628682	4	1	false
35	sniper	13984788	2570831	7	1	false
36	sniper	13984788	11113428	6	1	false
37	sniper	13984788	7578752	5	1	false
38	sniper	13984788	10200287	6	1	false
39	sniper	13984788	11273736	0	1	false
40	sniper	13984788	8490423	7	1	false
41	sniper	13984788	8102522	7	1	false
42	sniper	13984788	4048213	6	1	false
43	sniper	13984788	4494213	0	1	false
44	sniper	13984788	8835338	0	1	false
45	sniper	13984788	3512042	6	1	false
46	sniper	13984788	11710617	3	1	false
47	sniper	13984788	7346829	5	1	false
48	sniper	13984788	12956711	2	1	false
49	sniper	13984788	2065373	2	1	false
50	sniper	13984788	9604909	2	1	false
51	sniper	13984788	1508933	3	1	false
52	sniper	13984788	4228280	7	1	false
53	sniper	13984788	1360534	2	1	false
54	sniper	13984788	4006672	6	1	false
55	sniper	13984788	4769439	7	1	false
56	sniper	13984788	5878535	6	1	false
57	sniper	13984788	13904257	6	1	false
58	sniper	13984788	6241627	1	1	false
59	sniper	13984788	7273107	2	1	false
60	sniper	13984788	12135649	4	1	false
61	sniper	13984788	6404910	2	1	false
62	sniper	13984788	4205564	5	1	false
63	sniper	13984788	5224114	7	1	false
64	sniper	13984788	1145258	0	1	false
65	sniper	13984788	8294832	0	1	false
66	sniper	13984788	1507857	3	1	false
67	sniper	13984788	12476302	7	1	false
68	sniper	13984788	1870106	1	1	false
69	sniper	13984788	13756059	3	1	false
70	sniper	13984788	3058303	2	1	false
71	sniper	13984788	8191745	6	1	false
72	sniper	13984788	10618205	2	1	false
73	sniper	13984788	10322765	4	1	false
74	sniper	13984788	5362837	2	1	false
75	sniper	13984788	3031813	2	1	false
76	sniper	13984788	9010292	0	1	false
77	sniper	13984788	11735077	4	1	false
78	sniper	13984788	8216247	2	1	false
79	sniper	13984788	8826102	4	1	false
80	sniper	13984788	7333739	2	1	false
81	sniper	13984788	13882269	3	1	false
82	sniper	13984788	11047173	0	1	false
83	sniper	13984788	13009329	2	1	false
84	sniper	13984788	7525920	2	1	false
85	sniper	13984788	9426775	3	1	false
86	sniper	13984788	9717131	6	1	false
87	sniper	13984788	2720702	6	1	false
88	sniper	13984788	4935126	0	1	false
89	sniper	13984788	3867790	5	1	false
90	sniper	13984788	13971464	6	1	false
91	sniper	13984788	10428065	4	1	false
92	sniper	13984788	13657873	2	1	false
93	sniper	13984788	2343773	3	1	false
94	sniper	13984788	2498745	4	1	false
95	sniper	13984788	6528725	7	1	false
96	sniper	13984788	10538073	6	1	false
97	sniper	13984788	2765685	2	1	false
98	sniper	13984788	11302947	0	1	false
99	sniper	13984788	1898638	7	1	false
