# seed=42 mode=bolter file=source_sans_regular.otf filesize=334924
trial	mode	filesize	off	bit	span	detected
0	bolter	334924	142	-	1	true
1	bolter	334924	143645	-	1	true
2	bolter	334924	168131	-	1	true
3	bolter	334924	274067	-	1	true
4	bolter	334924	1289	-	1	true
5	bolter	334924	317642	-	1	true
6	bolter	334924	259832	-	1	true
7	bolter	334924	215687	-	1	true
8	bolter	334924	161836	-	1	true
9	bolter	334924	126345	-	1	true
10	bolter	334924	263773	-	1	true
11	bolter	334924	188993	-	1	true
12	bolter	334924	75636	-	1	true
13	bolter	334924	206678	-	1	true
14	bolter	334924	147317	-	1	true
15	bolter	334924	80835	-	1	true
16	bolter	334924	22074	-	1	true
17	bolter	334924	125372	-	1	true
18	bolter	334924	163847	-	1	true
19	bolter	334924	129520	-	1	true
20	bolter	334924	56024	-	1	true
21	bolter	334924	103287	-	1	true
22	bolter	334924	21104	-	1	true
23	bolter	334924	264139	-	1	true
24	bolter	334924	270975	-	1	true
25	bolter	334924	16661	-	1	true
26	bolter	334924	154454	-	1	true
27	bolter	334924	62003	-	1	true
28	bolter	334924	6096	-	1	true
29	bolter	334924	289472	-	1	true
30	bolter	334924	147084	-	1	true
31	bolter	334924	53071	-	1	true
32	bolter	334924	183102	-	1	true
33	bolter	334924	192454	-	1	true
34	bolter	334924	314809	-	1	true
35	bolter	334924	97916	-	1	true
36	bolter	334924	159074	-	1	true
37	bolter	334924	236635	-	1	true
38	bolter	334924	307310	-	1	true
39	bolter	334924	51410	-	1	true
40	bolter	334924	244542	-	1	true
41	bolter	334924	141975	-	1	true
42	bolter	334924	719	-	1	true
43	bolter	334924	102676	-	1	true
44	bolter	334924	281950	-	1	true
45	bolter	334924	157970	-	1	true
46	bolter	334924	312898	-	1	true
47	bolter	334924	298612	-	1	true
48	bolter	334924	20201	-	1	true
49	bolter	334924	147645	-	1	true
50	bolter	334924	66514	-	1	true
51	bolter	334924	262004	-	1	true
52	bolter	334924	7206	-	1	true
53	bolter	334924	192781	-	1	true
54	bolter	334924	198554	-	1	true
55	bolter	334924	2928	-	1	true
56	bolter	334924	51259	-	1	true
57	bolter	334924	95260	-	1	true
58	bolter	334924	129623	-	1	true
59	bolter	334924	250855	-	1	true
60	bolter	334924	62972	-	1	true
61	bolter	334924	284393	-	1	true
62	bolter	334924	132685	-	1	true
63	bolter	334924	244879	-	1	true
64	bolter	334924	325132	-	1	true
65	bolter	334924	93256	-	1	true
66	bolter	334924	30663	-	1	true
67	bolter	334924	299388	-	1	true
68	bolter	334924	154610	-	1	true
69	bolter	334924	288992	-	1	true
70	bolter	334924	62539	-	1	true
71	bolter	334924	117591	-	1	true
72	bolter	334924	27148	-	1	true
73	bolter	334924	10770	-	1	true
74	bolter	334924	313624	-	1	true
75	bolter	334924	235877	-	1	true
76	bolter	334924	282495	-	1	true
77	bolter	334924	74054	-	1	true
78	bolter	334924	194516	-	1	true
79	bolter	334924	258636	-	1	true
80	bolter	334924	302219	-	1	true
81	bolter	334924	316255	-	1	true
82	bolter	334924	194490	-	1	true
83	bolter	334924	209975	-	1	true
84	bolter	334924	248457	-	1	true
85	bolter	334924	268266	-	1	true
86	bolter	334924	297829	-	1	true
87	bolter	334924	277140	-	1	true
88	bolter	334924	182282	-	1	true
89	bolter	334924	236876	-	1	true
90	bolter	334924	170186	-	1	true
91	bolter	334924	263822	-	1	true
92	bolter	334924	36185	-	1	true
93	bolter	334924	59259	-	1	true
94	bolter	334924	204461	-	1	true
95	bolter	334924	290125	-	1	true
96	bolter	334924	250563	-	1	true
97	bolter	334924	130350	-	1	true
98	bolter	334924	193141	-	1	true
99	bolter	334924	108310	-	1	true
