# seed=42 mode=shotgun file=source_sans_regular.otf filesize=334924
trial	mode	filesize	off	bit	span	detected
0	shotgun	334924	292432	-	4096	false
1	shotgun	334924	135222	-	4096	false
2	shotgun	334924	287841	-	4096	false
3	shotgun	334924	69642	-	4096	false
4	shotgun	334924	162204	-	4096	false
5	shotgun	334924	260192	-	4096	false
6	shotgun	334924	33926	-	4096	false
7	shotgun	334924	96231	-	4096	false
8	shotgun	334924	320517	-	4096	false
9	shotgun	334924	12145	-	4096	false
10	shotgun	334924	244046	-	4096	false
11	shotgun	334924	247771	-	4096	false
12	shotgun	334924	209527	-	4096	false
13	shotgun	334924	326086	-	4096	false
14	shotgun	334924	16840	-	4096	false
15	shotgun	334924	171700	-	4096	false
16	shotgun	334924	41563	-	4096	false
17	shotgun	334924	46633	-	4096	false
18	shotgun	334924	79399	-	4096	false
19	shotgun	334924	166416	-	4096	false
20	shotgun	334924	87472	-	4096	false
21	shotgun	334924	306186	-	4096	false
22	shotgun	334924	241490	-	4096	false
23	shotgun	334924	110231	-	4096	false
24	shotgun	334924	238288	-	4096	false
25	shotgun	334924	150667	-	4096	false
26	shotgun	334924	85023	-	4096	false
27	shotgun	334924	27592	-	4096	false
28	shotgun	334924	280109	-	4096	false
29	shotgun	334924	7305	-	4096	false
30	shotgun	334924	299346	-	4096	false
31	shotgun	334924	215336	-	4096	false
32	shotgun	334924	216246	-	4096	false
33	shotgun	334924	263650	-	4096	false
34	shotgun	334924	80079	-	4096	false
35	shotgun	334924	90682	-	4096	false
36	shotgun	334924	188886	-	4096	false
37	shotgun	334924	163821	-	4096	false
38	shotgun	334924	162368	-	4096	false
39	shotgun	334924	296177	-	4096	false
40	shotgun	334924	51975	-	4096	false
41	shotgun	334924	280596	-	4096	false
42	shotgun	334924	225757	-	4096	false
43	shotgun	334924	85554	-	4096	false
44	shotgun	334924	108499	-	4096	false
45	shotgun	334924	19195	-	4096	false
46	shotgun	334924	318980	-	4096	false
47	shotgun	334924	245936	-	4096	false
48	shotgun	334924	250519	-	4096	false
49	shotgun	334924	52125	-	4096	false
50	shotgun	334924	154858	-	4096	false
51	shotgun	334924	274736	-	4096	false
52	shotgun	334924	263194	-	4096	false
53	shotgun	334924	271727	-	4096	false
54	shotgun	334924	218121	-	4096	false
55	shotgun	334924	174227	-	4096	false
56	shotgun	334924	330110	-	4096	false
57	shotgun	334924	22196	-	4096	false
58	shotgun	334924	96764	-	4096	false
59	shotgun	334924	153627	-	4096	false
60	shotgun	334924	309489	-	4096	false
61	shotgun	334924	61717	-	4096	false
62	shotgun	334924	282812	-	4096	false
63	shotgun	334924	238126	-	4096	false
64	shotgun	334924	119226	-	4096	false
65	shotgun	334924	181070	-	4096	false
66	shotgun	334924	171613	-	4096	false
67	shotgun	334924	330465	-	4096	false
68	shotgun	334924	19354	-	4096	false
69	shotgun	334924	138219	-	4096	false
70	shotgun	334924	263235	-	4096	false
71	shotgun	334924	73722	-	4096	false
72	shotgun	334924	947	-	4096	false
73	shotgun	334924	210599	-	4096	false
74	shotgun	334924	49064	-	4096	false
75	shotgun	334924	140521	-	4096	false
76	shotgun	334924	58016	-	4096	false
77	shotgun	334924	286951	-	4096	false
78	shotgun	334924	160487	-	4096	false
79	shotgun	334924	228730	-	4096	false
80	shotgun	334924	313426	-	4096	false
81	shotgun	334924	119391	-	4096	false
82	shotgun	334924	91069	-	4096	false
83	shotgun	334924	71859	-	4096	false
84	shotgun	334924	102152	-	4096	false
85	shotgun	334924	57978	-	4096	false
86	shotgun	334924	267871	-	4096	false
87	shotgun	334924	244030	-	4096	false
88	shotgun	334924	214205	-	4096	false
89	shotgun	334924	133862	-	4096	false
90	shotgun	334924	123167	-	4096	false
91	shotgun	334924	328836	-	4096	false
92	shotgun	334924	147948	-	4096	false
93	shotgun	334924	129749	-	4096	false
94	shotgun	334924	22801	-	4096	false
95	shotgun	334924	238516	-	4096	false
96	shotgun	334924	250925	-	4096	false
97	shotgun	334924	60889	-	4096	false
98	shotgun	334924	202292	-	4096	false
99	shotgun	334924	253627	-	4096	false
