# seed=42 mode=bolter file=corpus_xorshift.par2 filesize=34488
trial	mode	filesize	off	bit	span	detected
0	bolter	34488	26006	-	1	true
1	bolter	34488	19001	-	1	true
2	bolter	34488	4107	-	1	true
3	bolter	34488	33459	-	1	true
4	bolter	34488	8661	-	1	true
5	bolter	34488	27394	-	1	true
6	bolter	34488	33660	-	1	true
7	bolter	34488	26135	-	1	true
8	bolter	34488	9968	-	1	true
9	bolter	34488	6813	-	1	true
10	bolter	34488	23449	-	1	true
11	bolter	34488	20041	-	1	true
12	bolter	34488	13548	-	1	true
13	bolter	34488	30478	-	1	true
14	bolter	34488	13769	-	1	true
15	bolter	34488	28755	-	1	true
16	bolter	34488	31042	-	1	true
17	bolter	34488	4012	-	1	true
18	bolter	34488	21755	-	1	true
19	bolter	34488	10732	-	1	true
20	bolter	34488	32232	-	1	true
21	bolter	34488	16023	-	1	true
22	bolter	34488	20064	-	1	true
23	bolter	34488	24571	-	1	true
24	bolter	34488	30611	-	1	true
25	bolter	34488	24417	-	1	true
26	bolter	34488	16626	-	1	true
27	bolter	34488	22091	-	1	true
28	bolter	34488	18844	-	1	true
29	bolter	34488	18584	-	1	true
30	bolter	34488	12768	-	1	true
31	bolter	34488	26075	-	1	true
32	bolter	34488	17206	-	1	true
33	bolter	34488	14758	-	1	true
34	bolter	34488	30949	-	1	true
35	bolter	34488	23128	-	1	true
36	bolter	34488	12594	-	1	true
37	bolter	34488	27287	-	1	true
38	bolter	34488	3806	-	1	true
39	bolter	34488	4414	-	1	true
40	bolter	34488	3386	-	1	true
41	bolter	34488	20811	-	1	true
42	bolter	34488	11631	-	1	true
43	bolter	34488	8804	-	1	true
44	bolter	34488	29590	-	1	true
45	bolter	34488	16946	-	1	true
46	bolter	34488	14354	-	1	true
47	bolter	34488	12320	-	1	true
48	bolter	34488	13401	-	1	true
49	bolter	34488	861	-	1	true
50	bolter	34488	33198	-	1	true
51	bolter	34488	29168	-	1	true
52	bolter	34488	33626	-	1	true
53	bolter	34488	23509	-	1	true
54	bolter	34488	27634	-	1	true
55	bolter	34488	21892	-	1	true
56	bolter	34488	2295	-	1	true
57	bolter	34488	24820	-	1	true
58	bolter	34488	439	-	1	true
59	bolter	34488	32647	-	1	true
60	bolter	34488	5256	-	1	true
61	bolter	34488	28233	-	1	true
62	bolter	34488	18281	-	1	true
63	bolter	34488	12915	-	1	true
64	bolter	34488	26488	-	1	true
65	bolter	34488	9096	-	1	true
66	bolter	34488	33907	-	1	true
67	bolter	34488	7872	-	1	true
68	bolter	34488	30562	-	1	true
69	bolter	34488	164	-	1	true
70	bolter	34488	9119	-	1	true
71	bolter	34488	11511	-	1	true
72	bolter	34488	25884	-	1	true
73	bolter	34488	4526	-	1	true
74	bolter	34488	13844	-	1	true
75	bolter	34488	3245	-	1	true
76	bolter	34488	6491	-	1	true
77	bolter	34488	11182	-	1	true
78	bolter	34488	3960	-	1	true
79	bolter	34488	32120	-	1	true
80	bolter	34488	8547	-	1	true
81	bolter	34488	4215	-	1	true
82	bolter	34488	3086	-	1	true
83	bolter	34488	6967	-	1	true
84	bolter	34488	3961	-	1	true
85	bolter	34488	28246	-	1	true
86	bolter	34488	27021	-	1	true
87	bolter	34488	12888	-	1	true
88	bolter	34488	28418	-	1	true
89	bolter	34488	7616	-	1	true
90	bolter	34488	22094	-	1	true
91	bolter	34488	26214	-	1	true
92	bolter	34488	16497	-	1	true
93	bolter	34488	1859	-	1	true
94	bolter	34488	753	-	1	true
95	bolter	34488	26549	-	1	true
96	bolter	34488	3743	-	1	true
97	bolter	34488	24042	-	1	true
98	bolter	34488	4085	-	1	true
99	bolter	34488	12690	-	1	true
