# seed=42 mode=sniper file=sample.parquet filesize=484
trial	mode	filesize	off	bit	span	detected
0	sniper	484	282	1	1	false
1	sniper	484	431	3	1	false
2	sniper	484	461	2	1	false
3	sniper	484	236	7	1	false
4	sniper	484	236	5	1	false
5	sniper	484	405	1	1	false
6	sniper	484	312	6	1	false
7	sniper	484	285	3	1	false
8	sniper	484	46	4	1	false
9	sniper	484	215	4	1	false
10	sniper	484	368	7	1	false
11	sniper	484	320	3	1	false
12	sniper	484	191	1	1	false
13	sniper	484	302	3	1	false
14	sniper	484	240	0	1	false
15	sniper	484	304	3	1	false
16	sniper	484	66	6	1	false
17	sniper	484	309	0	1	false
18	sniper	484	114	7	1	false
19	sniper	484	150	6	1	false
20	sniper	484	50	3	1	false
21	sniper	484	483	4	1	true
22	sniper	484	130	2	1	false
23	sniper	484	282	0	1	false
24	sniper	484	277	5	1	false
25	sniper	484	86	0	1	false
26	sniper	484	334	5	1	false
27	sniper	484	394	4	1	false
28	sniper	484	111	4	1	false
29	sniper	484	87	7	1	false
30	sniper	484	92	1	1	false
31	sniper	484	73	3	1	false
32	sniper	484	144	0	1	false
33	sniper	484	319	0	1	false
34	sniper	484	470	4	1	false
35	sniper	484	311	7	1	false
36	sniper	484	40	6	1	false
37	sniper	484	268	5	1	false
38	sniper	484	51	6	1	false
39	sniper	484	332	0	1	false
40	sniper	484	19	7	1	false
41	sniper	484	246	7	1	false
42	sniper	484	169	6	1	false
43	sniper	484	329	0	1	false
44	sniper	484	262	0	1	false
45	sniper	484	298	6	1	false
46	sniper	484	393	3	1	false
47	sniper	484	389	5	1	false
48	sniper	484	291	2	1	false
49	sniper	484	369	2	1	false
50	sniper	484	177	2	1	false
51	sniper	484	409	3	1	false
52	sniper	484	216	7	1	false
53	sniper	484	22	2	1	false
54	sniper	484	320	6	1	false
55	sniper	484	143	7	1	false
56	sniper	484	91	6	1	false
57	sniper	484	357	6	1	false
58	sniper	484	307	1	1	false
59	sniper	484	411	2	1	false
60	sniper	484	389	4	1	false
61	sniper	484	398	2	1	false
62	sniper	484	156	5	1	false
63	sniper	484	386	7	1	false
64	sniper	484	330	0	1	false
65	sniper	484	252	0	1	false
66	sniper	484	105	3	1	false
67	sniper	484	350	7	1	false
68	sniper	484	458	1	1	false
69	sniper	484	143	3	1	false
70	sniper	484	71	2	1	false
71	sniper	484	129	6	1	false
72	sniper	484	317	2	1	false
73	sniper	484	341	4	1	false
74	sniper	484	97	2	1	false
75	sniper	484	261	2	1	false
76	sniper	484	48	0	1	false
77	sniper	484	121	4	1	false
78	sniper	484	383	2	1	false
79	sniper	484	378	4	1	false
80	sniper	484	451	2	1	false
81	sniper	484	65	3	1	false
82	sniper	484	1	0	1	true
83	sniper	484	121	2	1	false
84	sniper	484	192	2	1	false
85	sniper	484	99	3	1	false
86	sniper	484	471	6	1	false
87	sniper	484	430	6	1	false
88	sniper	484	326	0	1	false
89	sniper	484	330	5	1	false
90	sniper	484	404	6	1	false
91	sniper	484	317	4	1	false
92	sniper	484	65	2	1	false
93	sniper	484	397	3	1	false
94	sniper	484	173	4	1	false
95	sniper	484	405	7	1	false
96	sniper	484	377	6	1	false
97	sniper	484	329	2	1	false
98	sniper	484	123	0	1	false
99	sniper	484	246	7	1	false
