# seed=42 mode=bolter file=sample.pcapng filesize=9648
trial	mode	filesize	off	bit	span	detected
0	bolter	9648	2966	-	1	false
1	bolter	9648	4745	-	1	false
2	bolter	9648	507	-	1	false
3	bolter	9648	7251	-	1	false
4	bolter	9648	5565	-	1	false
5	bolter	9648	3634	-	1	false
6	bolter	9648	2412	-	1	false
7	bolter	9648	2663	-	1	false
8	bolter	9648	9608	-	1	false
9	bolter	9648	2709	-	1	false
10	bolter	9648	8473	-	1	false
11	bolter	9648	3121	-	1	false
12	bolter	9648	12	-	1	false
13	bolter	9648	166	-	1	false
14	bolter	9648	881	-	1	false
15	bolter	9648	1323	-	1	false
16	bolter	9648	7930	-	1	false
17	bolter	9648	1204	-	1	false
18	bolter	9648	8867	-	1	false
19	bolter	9648	2740	-	1	false
20	bolter	9648	7032	-	1	false
21	bolter	9648	615	-	1	false
22	bolter	9648	1200	-	1	false
23	bolter	9648	9163	-	1	false
24	bolter	9648	5699	-	1	false
25	bolter	9648	7569	-	1	false
26	bolter	9648	1434	-	1	false
27	bolter	9648	1355	-	1	false
28	bolter	9648	1636	-	1	false
29	bolter	9648	1160	-	1	false
30	bolter	9648	7296	-	1	false
31	bolter	9648	8507	-	1	false
32	bolter	9648	5398	-	1	false
33	bolter	9648	8422	-	1	false
34	bolter	9648	7045	-	1	false
35	bolter	9648	1240	-	1	false
36	bolter	9648	1578	-	1	false
37	bolter	9648	7487	-	1	false
38	bolter	9648	134	-	1	false
39	bolter	9648	8806	-	1	false
40	bolter	9648	9506	-	1	false
41	bolter	9648	7851	-	1	false
42	bolter	9648	3855	-	1	false
43	bolter	9648	8012	-	1	false
44	bolter	9648	1006	-	1	false
45	bolter	9648	2042	-	1	false
46	bolter	9648	3482	-	1	false
47	bolter	9648	8288	-	1	false
48	bolter	9648	2313	-	1	false
49	bolter	9648	3381	-	1	false
50	bolter	9648	4038	-	1	false
51	bolter	9648	9224	-	1	false
52	bolter	9648	9506	-	1	false
53	bolter	9648	6661	-	1	false
54	bolter	9648	7762	-	1	false
55	bolter	9648	724	-	1	false
56	bolter	9648	4527	-	1	false
57	bolter	9648	1564	-	1	false
58	bolter	9648	9295	-	1	false
59	bolter	9648	4423	-	1	false
60	bolter	9648	6120	-	1	false
61	bolter	9648	8073	-	1	false
62	bolter	9648	7265	-	1	false
63	bolter	9648	315	-	1	false
64	bolter	9648	1216	-	1	false
65	bolter	9648	9456	-	1	false
66	bolter	9648	8059	-	1	false
67	bolter	9648	5568	-	1	false
68	bolter	9648	5866	-	1	false
69	bolter	9648	1244	-	1	false
70	bolter	9648	5663	-	1	false
71	bolter	9648	4527	-	1	false
72	bolter	9648	1044	-	1	false
73	bolter	9648	2006	-	1	false
74	bolter	9648	3908	-	1	false
75	bolter	9648	3605	-	1	false
76	bolter	9648	7499	-	1	false
77	bolter	9648	2038	-	1	false
78	bolter	9648	8208	-	1	false
79	bolter	9648	3680	-	1	false
80	bolter	9648	6891	-	1	false
81	bolter	9648	4431	-	1	false
82	bolter	9648	4526	-	1	false
83	bolter	9648	3727	-	1	false
84	bolter	9648	4177	-	1	false
85	bolter	9648	9382	-	1	false
86	bolter	9648	525	-	1	false
87	bolter	9648	7416	-	1	false
88	bolter	9648	8978	-	1	false
89	bolter	9648	2216	-	1	false
90	bolter	9648	7982	-	1	false
91	bolter	9648	1014	-	1	false
92	bolter	9648	7929	-	1	false
93	bolter	9648	2291	-	1	false
94	bolter	9648	2049	-	1	false
95	bolter	9648	9629	-	1	false
96	bolter	9648	1943	-	1	false
97	bolter	9648	282	-	1	false
98	bolter	9648	4013	-	1	false
99	bolter	9648	4914	-	1	false
