# seed=42 mode=bolter file=1CRN.pdb filesize=49491
trial	mode	filesize	off	bit	span	detected
0	bolter	49491	7736	-	1	false
1	bolter	49491	38747	-	1	false
2	bolter	49491	35427	-	1	true
3	bolter	49491	40110	-	1	false
4	bolter	49491	3531	-	1	false
5	bolter	49491	2518	-	1	false
6	bolter	49491	40311	-	1	false
7	bolter	49491	25478	-	1	true
8	bolter	49491	48425	-	1	false
9	bolter	49491	13014	-	1	false
10	bolter	49491	2074	-	1	false
11	bolter	49491	29518	-	1	true
12	bolter	49491	27345	-	1	true
13	bolter	49491	34582	-	1	false
14	bolter	49491	47726	-	1	false
15	bolter	49491	8028	-	1	false
16	bolter	49491	3493	-	1	false
17	bolter	49491	10717	-	1	false
18	bolter	49491	17633	-	1	false
19	bolter	49491	7330	-	1	false
20	bolter	49491	3585	-	1	false
21	bolter	49491	47199	-	1	false
22	bolter	49491	27039	-	1	false
23	bolter	49491	2476	-	1	false
24	bolter	49491	40340	-	1	false
25	bolter	49491	34254	-	1	false
26	bolter	49491	17373	-	1	false
27	bolter	49491	17384	-	1	false
28	bolter	49491	9466	-	1	false
29	bolter	49491	31724	-	1	true
30	bolter	49491	2931	-	1	false
31	bolter	49491	33383	-	1	false
32	bolter	49491	38905	-	1	false
33	bolter	49491	34783	-	1	true
34	bolter	49491	13066	-	1	false
35	bolter	49491	18484	-	1	false
36	bolter	49491	6195	-	1	false
37	bolter	49491	45359	-	1	false
38	bolter	49491	11564	-	1	false
39	bolter	49491	45760	-	1	false
40	bolter	49491	28766	-	1	false
41	bolter	49491	36642	-	1	true
42	bolter	49491	27192	-	1	false
43	bolter	49491	33815	-	1	true
44	bolter	49491	28519	-	1	false
45	bolter	49491	43073	-	1	false
46	bolter	49491	37286	-	1	false
47	bolter	49491	30293	-	1	false
48	bolter	49491	45288	-	1	false
49	bolter	49491	2409	-	1	false
50	bolter	49491	25773	-	1	false
51	bolter	49491	10646	-	1	false
52	bolter	49491	35543	-	1	false
53	bolter	49491	26452	-	1	true
54	bolter	49491	25726	-	1	true
55	bolter	49491	427	-	1	false
56	bolter	49491	46116	-	1	false
57	bolter	49491	17926	-	1	false
58	bolter	49491	46627	-	1	true
59	bolter	49491	25564	-	1	true
60	bolter	49491	20709	-	1	false
61	bolter	49491	24543	-	1	false
62	bolter	49491	47189	-	1	true
63	bolter	49491	1656	-	1	false
64	bolter	49491	42058	-	1	false
65	bolter	49491	32586	-	1	false
66	bolter	49491	30199	-	1	false
67	bolter	49491	37005	-	1	false
68	bolter	49491	39391	-	1	false
69	bolter	49491	41033	-	1	true
70	bolter	49491	8912	-	1	false
71	bolter	49491	15975	-	1	false
72	bolter	49491	14229	-	1	false
73	bolter	49491	7109	-	1	false
74	bolter	49491	34625	-	1	true
75	bolter	49491	18905	-	1	false
76	bolter	49491	27578	-	1	true
77	bolter	49491	30055	-	1	false
78	bolter	49491	44838	-	1	true
79	bolter	49491	14471	-	1	false
80	bolter	49491	20454	-	1	false
81	bolter	49491	40530	-	1	true
82	bolter	49491	12887	-	1	false
83	bolter	49491	24220	-	1	false
84	bolter	49491	9514	-	1	false
85	bolter	49491	48415	-	1	false
86	bolter	49491	27444	-	1	false
87	bolter	49491	6066	-	1	false
88	bolter	49491	45986	-	1	false
89	bolter	49491	22574	-	1	false
90	bolter	49491	23633	-	1	false
91	bolter	49491	12219	-	1	false
92	bolter	49491	32013	-	1	false
93	bolter	49491	18248	-	1	false
94	bolter	49491	2103	-	1	false
95	bolter	49491	17864	-	1	false
96	bolter	49491	41939	-	1	false
97	bolter	49491	39909	-	1	false
98	bolter	49491	34640	-	1	true
99	bolter	49491	39348	-	1	false
