# seed=42 mode=shotgun file=nasa_satellite_images_1976.pdf filesize=22836039
trial	mode	filesize	off	bit	span	detected
0	shotgun	22836039	5899934	-	4096	true
1	shotgun	22836039	19252159	-	4096	true
2	shotgun	22836039	17716251	-	4096	true
3	shotgun	22836039	10058552	-	4096	false
4	shotgun	22836039	8078385	-	4096	false
5	shotgun	22836039	21209146	-	4096	false
6	shotgun	22836039	14240601	-	4096	true
7	shotgun	22836039	16772866	-	4096	true
8	shotgun	22836039	19445759	-	4096	true
9	shotgun	22836039	18008534	-	4096	true
10	shotgun	22836039	10449953	-	4096	false
11	shotgun	22836039	7817713	-	4096	true
12	shotgun	22836039	6526117	-	4096	false
13	shotgun	22836039	11001550	-	4096	true
14	shotgun	22836039	18144852	-	4096	true
15	shotgun	22836039	15980347	-	4096	true
16	shotgun	22836039	4989769	-	4096	true
17	shotgun	22836039	1511058	-	4096	true
18	shotgun	22836039	16374213	-	4096	true
19	shotgun	22836039	16875071	-	4096	true
20	shotgun	22836039	22392943	-	4096	false
21	shotgun	22836039	5773760	-	4096	true
22	shotgun	22836039	3383775	-	4096	false
23	shotgun	22836039	8044203	-	4096	false
24	shotgun	22836039	18206219	-	4096	true
25	shotgun	22836039	1898491	-	4096	true
26	shotgun	22836039	15610271	-	4096	true
27	shotgun	22836039	2246173	-	4096	false
28	shotgun	22836039	11766645	-	4096	true
29	shotgun	22836039	21773255	-	4096	false
30	shotgun	22836039	11603267	-	4096	true
31	shotgun	22836039	2426793	-	4096	true
32	shotgun	22836039	16997227	-	4096	true
33	shotgun	22836039	9662047	-	4096	false
34	shotgun	22836039	8438559	-	4096	true
35	shotgun	22836039	6647984	-	4096	true
36	shotgun	22836039	10433918	-	4096	false
37	shotgun	22836039	13461021	-	4096	true
38	shotgun	22836039	5422431	-	4096	true
39	shotgun	22836039	19951454	-	4096	true
40	shotgun	22836039	2181620	-	4096	true
41	shotgun	22836039	16517313	-	4096	true
42	shotgun	22836039	18812659	-	4096	true
43	shotgun	22836039	19394592	-	4096	true
44	shotgun	22836039	2763436	-	4096	true
45	shotgun	22836039	13037739	-	4096	true
46	shotgun	22836039	19626837	-	4096	true
47	shotgun	22836039	18180666	-	4096	true
48	shotgun	22836039	11327957	-	4096	true
49	shotgun	22836039	22696730	-	4096	false
50	shotgun	22836039	18607775	-	4096	true
51	shotgun	22836039	1299243	-	4096	false
52	shotgun	22836039	4000735	-	4096	true
53	shotgun	22836039	13844021	-	4096	true
54	shotgun	22836039	11813746	-	4096	true
55	shotgun	22836039	21426733	-	4096	false
56	shotgun	22836039	247117	-	4096	false
57	shotgun	22836039	1321797	-	4096	false
58	shotgun	22836039	17270233	-	4096	true
59	shotgun	22836039	15489155	-	4096	true
60	shotgun	22836039	17486520	-	4096	true
61	shotgun	22836039	266866	-	4096	false
62	shotgun	22836039	10855111	-	4096	true
63	shotgun	22836039	3434965	-	4096	false
64	shotgun	22836039	10500624	-	4096	false
65	shotgun	22836039	10879068	-	4096	true
66	shotgun	22836039	15960107	-	4096	true
67	shotgun	22836039	11313043	-	4096	true
68	shotgun	22836039	22382922	-	4096	false
69	shotgun	22836039	7626349	-	4096	false
70	shotgun	22836039	15540666	-	4096	true
71	shotgun	22836039	3204159	-	4096	true
72	shotgun	22836039	10554274	-	4096	false
73	shotgun	22836039	19056004	-	4096	true
74	shotgun	22836039	18248221	-	4096	true
75	shotgun	22836039	20100550	-	4096	true
76	shotgun	22836039	14176955	-	4096	true
77	shotgun	22836039	6940294	-	4096	true
78	shotgun	22836039	13443458	-	4096	true
79	shotgun	22836039	19971762	-	4096	true
80	shotgun	22836039	7841862	-	4096	true
81	shotgun	22836039	6869975	-	4096	true
82	shotgun	22836039	10850726	-	4096	true
83	shotgun	22836039	6483309	-	4096	false
84	shotgun	22836039	18948738	-	4096	true
85	shotgun	22836039	15591531	-	4096	true
86	shotgun	22836039	10333850	-	4096	false
87	shotgun	22836039	15608016	-	4096	true
88	shotgun	22836039	496423	-	4096	false
89	shotgun	22836039	5548082	-	4096	false
90	shotgun	22836039	17060667	-	4096	true
91	shotgun	22836039	21759214	-	4096	false
92	shotgun	22836039	16900471	-	4096	true
93	shotgun	22836039	6012345	-	4096	true
94	shotgun	22836039	20131044	-	4096	true
95	shotgun	22836039	9151927	-	4096	true
96	shotgun	22836039	4799538	-	4096	true
97	shotgun	22836039	6972735	-	4096	true
98	shotgun	22836039	2770674	-	4096	true
99	shotgun	22836039	2127150	-	4096	true
