# seed=42 mode=sniper file=nasa_satellite_images_1976.pdf filesize=22836039
trial	mode	filesize	off	bit	span	detected
0	sniper	22836039	5314349	1	1	false
1	sniper	22836039	6414159	3	1	false
2	sniper	22836039	11423937	2	1	false
3	sniper	22836039	16259289	7	1	true
4	sniper	22836039	7045394	5	1	true
5	sniper	22836039	8534518	1	1	false
6	sniper	22836039	15237312	6	1	true
7	sniper	22836039	4936121	3	1	true
8	sniper	22836039	5339710	4	1	true
9	sniper	22836039	15412190	4	1	true
10	sniper	22836039	10331427	7	1	false
11	sniper	22836039	20503845	3	1	false
12	sniper	22836039	13244372	1	1	false
13	sniper	22836039	13814844	3	1	false
14	sniper	22836039	17848621	0	1	false
15	sniper	22836039	22110537	3	1	false
16	sniper	22836039	12998338	6	1	false
17	sniper	22836039	10584811	0	1	false
18	sniper	22836039	13708794	7	1	false
19	sniper	22836039	15468986	6	1	false
20	sniper	22836039	4975568	3	1	false
21	sniper	22836039	16865904	4	1	false
22	sniper	22836039	18731659	2	1	true
23	sniper	22836039	1431254	0	1	false
24	sniper	22836039	6065463	5	1	false
25	sniper	22836039	11394180	0	1	false
26	sniper	22836039	9325328	5	1	false
27	sniper	22836039	6342742	4	1	true
28	sniper	22836039	10460820	4	1	false
29	sniper	22836039	4036069	7	1	false
30	sniper	22836039	22118493	1	1	false
31	sniper	22836039	11052476	3	1	false
32	sniper	22836039	737893	0	1	false
33	sniper	22836039	16574125	0	1	false
34	sniper	22836039	13772395	4	1	false
35	sniper	22836039	8051252	7	1	false
36	sniper	22836039	6143904	6	1	false
37	sniper	22836039	2599799	5	1	false
38	sniper	22836039	22412939	6	1	false
39	sniper	22836039	16918170	0	1	false
40	sniper	22836039	11842395	7	1	true
41	sniper	22836039	20662058	7	1	false
42	sniper	22836039	13410361	6	1	true
43	sniper	22836039	12623409	0	1	true
44	sniper	22836039	22810697	0	1	false
45	sniper	22836039	14646326	6	1	false
46	sniper	22836039	15072018	3	1	false
47	sniper	22836039	3793128	5	1	false
48	sniper	22836039	21615662	2	1	false
49	sniper	22836039	2576270	2	1	true
50	sniper	22836039	8699983	2	1	false
51	sniper	22836039	6806483	3	1	true
52	sniper	22836039	13070102	7	1	false
53	sniper	22836039	17801797	2	1	false
54	sniper	22836039	5933392	6	1	false
55	sniper	22836039	18397914	7	1	false
56	sniper	22836039	3201473	6	1	false
57	sniper	22836039	8944162	6	1	false
58	sniper	22836039	22509448	1	1	false
59	sniper	22836039	184563	2	1	false
60	sniper	22836039	10180642	4	1	false
61	sniper	22836039	15063861	2	1	false
62	sniper	22836039	19606175	5	1	true
63	sniper	22836039	12832984	7	1	false
64	sniper	22836039	13531352	0	1	true
65	sniper	22836039	17492967	0	1	true
66	sniper	22836039	12651570	3	1	false
67	sniper	22836039	4501690	7	1	false
68	sniper	22836039	435425	1	1	false
69	sniper	22836039	15875079	3	1	false
70	sniper	22836039	15088084	2	1	true
71	sniper	22836039	15800615	6	1	false
72	sniper	22836039	15915755	2	1	false
73	sniper	22836039	11546288	4	1	true
74	sniper	22836039	14551543	2	1	false
75	sniper	22836039	3542710	2	1	false
76	sniper	22836039	16070549	0	1	true
77	sniper	22836039	17928124	4	1	true
78	sniper	22836039	18656763	2	1	false
79	sniper	22836039	5619285	4	1	false
80	sniper	22836039	11388908	2	1	false
81	sniper	22836039	1313304	3	1	false
82	sniper	22836039	17221362	0	1	false
83	sniper	22836039	16708185	2	1	true
84	sniper	22836039	254505	2	1	false
85	sniper	22836039	2685115	3	1	true
86	sniper	22836039	10410899	6	1	false
87	sniper	22836039	18632210	6	1	false
88	sniper	22836039	19440240	0	1	true
89	sniper	22836039	13586251	5	1	true
90	sniper	22836039	21580334	6	1	false
91	sniper	22836039	17680622	4	1	false
92	sniper	22836039	1435792	2	1	true
93	sniper	22836039	7102139	3	1	false
94	sniper	22836039	20182389	4	1	true
95	sniper	22836039	7231922	7	1	false
96	sniper	22836039	13369719	6	1	true
97	sniper	22836039	20632200	2	1	false
98	sniper	22836039	17660007	0	1	false
99	sniper	22836039	12686038	7	1	true
