# seed=42 mode=bolter file=large_utf8.txt filesize=17866
trial	mode	filesize	off	bit	span	detected
0	bolter	17866	14244	-	1	false
1	bolter	17866	13147	-	1	false
2	bolter	17866	8719	-	1	false
3	bolter	17866	3807	-	1	false
4	bolter	17866	10365	-	1	false
5	bolter	17866	11320	-	1	false
6	bolter	17866	9206	-	1	false
7	bolter	17866	17603	-	1	false
8	bolter	17866	16524	-	1	false
9	bolter	17866	7313	-	1	false
10	bolter	17866	3489	-	1	false
11	bolter	17866	3753	-	1	false
12	bolter	17866	10778	-	1	false
13	bolter	17866	4792	-	1	false
14	bolter	17866	4147	-	1	false
15	bolter	17866	6411	-	1	false
16	bolter	17866	3404	-	1	false
17	bolter	17866	12598	-	1	false
18	bolter	17866	2763	-	1	false
19	bolter	17866	1244	-	1	false
20	bolter	17866	11926	-	1	false
21	bolter	17866	2493	-	1	false
22	bolter	17866	12000	-	1	false
23	bolter	17866	15681	-	1	false
24	bolter	17866	12709	-	1	false
25	bolter	17866	9037	-	1	false
26	bolter	17866	9124	-	1	false
27	bolter	17866	4883	-	1	false
28	bolter	17866	15992	-	1	false
29	bolter	17866	12262	-	1	false
30	bolter	17866	4166	-	1	false
31	bolter	17866	7663	-	1	false
32	bolter	17866	7864	-	1	false
33	bolter	17866	9504	-	1	false
34	bolter	17866	599	-	1	false
35	bolter	17866	2830	-	1	false
36	bolter	17866	17786	-	1	false
37	bolter	17866	7087	-	1	false
38	bolter	17866	10194	-	1	false
39	bolter	17866	14124	-	1	false
40	bolter	17866	10684	-	1	false
41	bolter	17866	2761	-	1	false
42	bolter	17866	12153	-	1	false
43	bolter	17866	6768	-	1	false
44	bolter	17866	6680	-	1	false
45	bolter	17866	13466	-	1	false
46	bolter	17866	17006	-	1	false
47	bolter	17866	4358	-	1	false
48	bolter	17866	11695	-	1	false
49	bolter	17866	3739	-	1	false
50	bolter	17866	1304	-	1	false
51	bolter	17866	8842	-	1	false
52	bolter	17866	4908	-	1	false
53	bolter	17866	15933	-	1	false
54	bolter	17866	12534	-	1	false
55	bolter	17866	7220	-	1	false
56	bolter	17866	10609	-	1	false
57	bolter	17866	15544	-	1	false
58	bolter	17866	8679	-	1	false
59	bolter	17866	12853	-	1	false
60	bolter	17866	4610	-	1	false
61	bolter	17866	8365	-	1	false
62	bolter	17866	1411	-	1	false
63	bolter	17866	1589	-	1	false
64	bolter	17866	4902	-	1	false
65	bolter	17866	7750	-	1	false
66	bolter	17866	9505	-	1	false
67	bolter	17866	17140	-	1	false
68	bolter	17866	5694	-	1	false
69	bolter	17866	4570	-	1	false
70	bolter	17866	15777	-	1	false
71	bolter	17866	3813	-	1	false
72	bolter	17866	13974	-	1	false
73	bolter	17866	3730	-	1	false
74	bolter	17866	17202	-	1	false
75	bolter	17866	14593	-	1	false
76	bolter	17866	8033	-	1	false
77	bolter	17866	8	-	1	false
78	bolter	17866	4692	-	1	false
79	bolter	17866	9994	-	1	false
80	bolter	17866	9451	-	1	false
81	bolter	17866	16059	-	1	false
82	bolter	17866	8954	-	1	false
83	bolter	17866	8153	-	1	false
84	bolter	17866	9903	-	1	false
85	bolter	17866	10600	-	1	false
86	bolter	17866	16583	-	1	false
87	bolter	17866	5104	-	1	false
88	bolter	17866	5680	-	1	false
89	bolter	17866	16134	-	1	false
90	bolter	17866	14056	-	1	false
91	bolter	17866	16592	-	1	false
92	bolter	17866	13329	-	1	false
93	bolter	17866	6719	-	1	false
94	bolter	17866	13517	-	1	false
95	bolter	17866	803	-	1	false
96	bolter	17866	4841	-	1	false
97	bolter	17866	11434	-	1	false
98	bolter	17866	5899	-	1	false
99	bolter	17866	12040	-	1	false
