# seed=42 mode=shotgun file=large_utf8.txt filesize=17866
trial	mode	filesize	off	bit	span	detected
0	shotgun	17866	7548	-	4096	true
1	shotgun	17866	8462	-	4096	true
2	shotgun	17866	13650	-	4096	true
3	shotgun	17866	13682	-	4096	true
4	shotgun	17866	6709	-	4096	true
5	shotgun	17866	13132	-	4096	true
6	shotgun	17866	13662	-	4096	true
7	shotgun	17866	13358	-	4096	true
8	shotgun	17866	11378	-	4096	true
9	shotgun	17866	7900	-	4096	true
10	shotgun	17866	10519	-	4096	true
11	shotgun	17866	7926	-	4096	true
12	shotgun	17866	4005	-	4096	true
13	shotgun	17866	6989	-	4096	true
14	shotgun	17866	4571	-	4096	true
15	shotgun	17866	377	-	4096	false
16	shotgun	17866	3545	-	4096	true
17	shotgun	17866	8830	-	4096	true
18	shotgun	17866	8588	-	4096	true
19	shotgun	17866	9375	-	4096	true
20	shotgun	17866	1470	-	4096	true
21	shotgun	17866	5140	-	4096	true
22	shotgun	17866	10561	-	4096	true
23	shotgun	17866	2927	-	4096	true
24	shotgun	17866	10547	-	4096	true
25	shotgun	17866	6935	-	4096	true
26	shotgun	17866	5858	-	4096	true
27	shotgun	17866	10515	-	4096	true
28	shotgun	17866	1829	-	4096	true
29	shotgun	17866	12563	-	4096	true
30	shotgun	17866	164	-	4096	false
31	shotgun	17866	8640	-	4096	true
32	shotgun	17866	11840	-	4096	true
33	shotgun	17866	8375	-	4096	true
34	shotgun	17866	6766	-	4096	true
35	shotgun	17866	8598	-	4096	true
36	shotgun	17866	9885	-	4096	true
37	shotgun	17866	943	-	4096	true
38	shotgun	17866	7810	-	4096	true
39	shotgun	17866	9483	-	4096	true
40	shotgun	17866	6349	-	4096	true
41	shotgun	17866	10852	-	4096	true
42	shotgun	17866	7697	-	4096	true
43	shotgun	17866	3701	-	4096	true
44	shotgun	17866	11346	-	4096	true
45	shotgun	17866	8676	-	4096	true
46	shotgun	17866	3201	-	4096	true
47	shotgun	17866	9918	-	4096	true
48	shotgun	17866	8502	-	4096	true
49	shotgun	17866	4405	-	4096	true
50	shotgun	17866	268	-	4096	false
51	shotgun	17866	8749	-	4096	true
52	shotgun	17866	2590	-	4096	true
53	shotgun	17866	6276	-	4096	true
54	shotgun	17866	2448	-	4096	true
55	shotgun	17866	6777	-	4096	true
56	shotgun	17866	9376	-	4096	true
57	shotgun	17866	11682	-	4096	true
58	shotgun	17866	517	-	4096	true
59	shotgun	17866	7492	-	4096	true
60	shotgun	17866	11975	-	4096	true
61	shotgun	17866	11988	-	4096	true
62	shotgun	17866	2441	-	4096	true
63	shotgun	17866	108	-	4096	false
64	shotgun	17866	6173	-	4096	true
65	shotgun	17866	11678	-	4096	true
66	shotgun	17866	7545	-	4096	true
67	shotgun	17866	13650	-	4096	true
68	shotgun	17866	8346	-	4096	true
69	shotgun	17866	4360	-	4096	true
70	shotgun	17866	793	-	4096	true
71	shotgun	17866	11944	-	4096	true
72	shotgun	17866	3070	-	4096	true
73	shotgun	17866	12687	-	4096	true
74	shotgun	17866	3382	-	4096	true
75	shotgun	17866	7952	-	4096	true
76	shotgun	17866	1092	-	4096	true
77	shotgun	17866	4064	-	4096	true
78	shotgun	17866	9800	-	4096	true
79	shotgun	17866	12079	-	4096	true
80	shotgun	17866	13576	-	4096	true
81	shotgun	17866	13178	-	4096	true
82	shotgun	17866	1969	-	4096	true
83	shotgun	17866	9990	-	4096	true
84	shotgun	17866	456	-	4096	false
85	shotgun	17866	2999	-	4096	true
86	shotgun	17866	4411	-	4096	true
87	shotgun	17866	4658	-	4096	true
88	shotgun	17866	12060	-	4096	true
89	shotgun	17866	10817	-	4096	true
90	shotgun	17866	4996	-	4096	true
91	shotgun	17866	11919	-	4096	true
92	shotgun	17866	9237	-	4096	true
93	shotgun	17866	3941	-	4096	true
94	shotgun	17866	7365	-	4096	true
95	shotgun	17866	6487	-	4096	true
96	shotgun	17866	3596	-	4096	true
97	shotgun	17866	4715	-	4096	true
98	shotgun	17866	13214	-	4096	true
99	shotgun	17866	538	-	4096	true
