# seed=42 mode=sniper file=large_utf8.txt filesize=17866
trial	mode	filesize	off	bit	span	detected
0	sniper	17866	14244	1	1	false
1	sniper	17866	8719	3	1	false
2	sniper	17866	10365	2	1	false
3	sniper	17866	9206	7	1	false
4	sniper	17866	16524	5	1	false
5	sniper	17866	3489	1	1	false
6	sniper	17866	10778	6	1	false
7	sniper	17866	4147	3	1	false
8	sniper	17866	3404	4	1	false
9	sniper	17866	2763	4	1	false
10	sniper	17866	11926	7	1	false
11	sniper	17866	12000	3	1	false
12	sniper	17866	12709	1	1	false
13	sniper	17866	9124	3	1	false
14	sniper	17866	15992	0	1	false
15	sniper	17866	4166	3	1	false
16	sniper	17866	7864	6	1	false
17	sniper	17866	599	0	1	false
18	sniper	17866	17786	7	1	false
19	sniper	17866	10194	6	1	false
20	sniper	17866	10684	3	1	false
21	sniper	17866	12153	4	1	false
22	sniper	17866	6680	2	1	false
23	sniper	17866	17006	0	1	false
24	sniper	17866	11695	5	1	false
25	sniper	17866	1304	0	1	false
26	sniper	17866	4908	5	1	false
27	sniper	17866	12534	4	1	false
28	sniper	17866	10609	4	1	false
29	sniper	17866	8679	7	1	false
30	sniper	17866	4610	1	1	false
31	sniper	17866	1411	3	1	false
32	sniper	17866	4902	0	1	false
33	sniper	17866	9505	0	1	false
34	sniper	17866	5694	4	1	false
35	sniper	17866	15777	7	1	false
36	sniper	17866	13974	6	1	false
37	sniper	17866	17202	5	1	false
38	sniper	17866	8033	6	1	false
39	sniper	17866	4692	0	1	false
40	sniper	17866	9451	7	1	false
41	sniper	17866	8954	7	1	false
42	sniper	17866	9903	6	1	false
43	sniper	17866	16583	0	1	false
44	sniper	17866	5680	0	1	false
45	sniper	17866	14056	6	1	false
46	sniper	17866	13329	3	1	false
47	sniper	17866	13517	5	1	false
48	sniper	17866	4841	2	1	false
49	sniper	17866	5899	2	1	false
50	sniper	17866	9567	2	1	false
51	sniper	17866	4227	3	1	false
52	sniper	17866	16630	7	1	false
53	sniper	17866	2070	2	1	false
54	sniper	17866	14086	6	1	false
55	sniper	17866	4865	7	1	false
56	sniper	17866	12843	6	1	false
57	sniper	17866	17271	6	1	false
58	sniper	17866	1563	1	1	false
59	sniper	17866	2135	2	1	false
60	sniper	17866	14411	4	1	false
61	sniper	17866	9862	2	1	false
62	sniper	17866	17046	5	1	false
63	sniper	17866	1432	7	1	false
64	sniper	17866	15248	0	1	false
65	sniper	17866	17662	0	1	false
66	sniper	17866	10427	3	1	false
67	sniper	17866	4152	7	1	false
68	sniper	17866	16498	1	1	false
69	sniper	17866	11947	3	1	false
70	sniper	17866	8703	2	1	false
71	sniper	17866	3307	6	1	false
72	sniper	17866	1839	2	1	false
73	sniper	17866	7189	4	1	false
74	sniper	17866	16127	2	1	false
75	sniper	17866	7575	2	1	false
76	sniper	17866	6646	0	1	false
77	sniper	17866	12755	4	1	false
78	sniper	17866	2775	2	1	false
79	sniper	17866	410	4	1	false
80	sniper	17866	12483	2	1	false
81	sniper	17866	1093	3	1	false
82	sniper	17866	4631	0	1	false
83	sniper	17866	16623	2	1	false
84	sniper	17866	1078	2	1	false
85	sniper	17866	2381	3	1	false
86	sniper	17866	14755	6	1	false
87	sniper	17866	10178	6	1	false
88	sniper	17866	12366	0	1	false
89	sniper	17866	16068	5	1	false
90	sniper	17866	12308	6	1	false
91	sniper	17866	16315	4	1	false
92	sniper	17866	17319	2	1	false
93	sniper	17866	5557	3	1	false
94	sniper	17866	6957	4	1	false
95	sniper	17866	6061	7	1	false
96	sniper	17866	7831	6	1	false
97	sniper	17866	9653	2	1	false
98	sniper	17866	14027	0	1	false
99	sniper	17866	228	7	1	false
