# seed=42 mode=sniper file=sample.plist filesize=830
trial	mode	filesize	off	bit	span	detected
0	sniper	830	606	1	1	false
1	sniper	830	85	3	1	false
2	sniper	830	647	2	1	true
3	sniper	830	170	7	1	false
4	sniper	830	354	5	1	false
5	sniper	830	375	1	1	false
6	sniper	830	338	6	1	false
7	sniper	830	443	3	1	false
8	sniper	830	818	4	1	true
9	sniper	830	501	4	1	false
10	sniper	830	666	7	1	true
11	sniper	830	770	3	1	true
12	sniper	830	643	1	1	false
13	sniper	830	490	3	1	true
14	sniper	830	384	0	1	false
15	sniper	830	416	3	1	false
16	sniper	830	40	6	1	true
17	sniper	830	485	0	1	true
18	sniper	830	348	7	1	false
19	sniper	830	442	6	1	false
20	sniper	830	50	3	1	false
21	sniper	830	55	4	1	false
22	sniper	830	634	2	1	false
23	sniper	830	500	0	1	false
24	sniper	830	321	5	1	true
25	sniper	830	106	0	1	false
26	sniper	830	444	5	1	true
27	sniper	830	712	4	1	true
28	sniper	830	81	4	1	false
29	sniper	830	443	7	1	false
30	sniper	830	72	1	1	false
31	sniper	830	611	3	1	true
32	sniper	830	272	0	1	false
33	sniper	830	353	0	1	false
34	sniper	830	122	4	1	false
35	sniper	830	501	7	1	false
36	sniper	830	576	6	1	false
37	sniper	830	322	5	1	true
38	sniper	830	283	6	1	false
39	sniper	830	280	0	1	true
40	sniper	830	619	7	1	true
41	sniper	830	702	7	1	true
42	sniper	830	383	6	1	false
43	sniper	830	603	0	1	false
44	sniper	830	388	0	1	false
45	sniper	830	644	6	1	true
46	sniper	830	131	3	1	false
47	sniper	830	277	5	1	true
48	sniper	830	55	2	1	false
49	sniper	830	531	2	1	false
50	sniper	830	587	2	1	true
51	sniper	830	483	3	1	true
52	sniper	830	424	7	1	false
53	sniper	830	704	2	1	true
54	sniper	830	220	6	1	false
55	sniper	830	715	7	1	true
56	sniper	830	661	6	1	false
57	sniper	830	663	6	1	false
58	sniper	830	595	1	1	true
59	sniper	830	469	2	1	true
60	sniper	830	277	4	1	true
61	sniper	830	274	2	1	true
62	sniper	830	662	5	1	false
63	sniper	830	188	7	1	false
64	sniper	830	526	0	1	true
65	sniper	830	468	0	1	true
66	sniper	830	627	3	1	true
67	sniper	830	268	7	1	false
68	sniper	830	90	1	1	true
69	sniper	830	665	3	1	false
70	sniper	830	759	2	1	true
71	sniper	830	569	6	1	true
72	sniper	830	505	2	1	true
73	sniper	830	407	4	1	true
74	sniper	830	315	2	1	true
75	sniper	830	21	2	1	true
76	sniper	830	6	0	1	true
77	sniper	830	41	4	1	true
78	sniper	830	521	2	1	true
79	sniper	830	434	4	1	true
80	sniper	830	561	2	1	true
81	sniper	830	161	3	1	true
82	sniper	830	771	0	1	true
83	sniper	830	119	2	1	false
84	sniper	830	442	2	1	false
85	sniper	830	231	3	1	true
86	sniper	830	209	6	1	false
87	sniper	830	38	6	1	true
88	sniper	830	810	0	1	true
89	sniper	830	562	5	1	true
90	sniper	830	168	6	1	true
91	sniper	830	377	4	1	false
92	sniper	830	639	2	1	false
93	sniper	830	161	3	1	true
94	sniper	830	773	4	1	true
95	sniper	830	381	7	1	false
96	sniper	830	743	6	1	false
97	sniper	830	143	2	1	true
98	sniper	830	595	0	1	true
99	sniper	830	816	7	1	true
